Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
11/14/2023 11:59:21 AM	4.92	1.95	6.95	0.58	0.00	0.00	0.00	0.70	14.41	100.00	0.03	11.57	2610	1950	3128	17	0	0	0	0	7706	176.78	25.19	7.23	22.90	28.56	25.19	54.89	1.00	16.20	16.72
11/14/2023 11:59:23 AM	4.44	2.29	8.04	0.17	0.00	0.00	0.00	0.75	14.94	100.00	0.17	11.56	2355	2287	3617	5	0	0	0	0	8264	178.29	26.62	7.67	24.29	29.84	25.64	56.89	1.02	16.20	16.68
11/14/2023 11:59:26 AM	3.55	2.35	8.47	0.00	0.00	0.00	0.00	0.81	14.37	100.00	0.23	11.57	1882	2353	3810	0	0	0	0	0	8045	176.84	26.83	7.29	23.97	29.68	24.96	55.67	1.02	16.22	16.70
11/14/2023 11:59:28 AM	5.09	2.18	7.90	0.36	0.00	0.00	0.00	0.73	15.52	100.00	0.36	11.57	2695	2178	3553	11	0	0	0	0	8437	178.03	27.11	7.90	24.65	30.49	26.29	58.92	1.04	16.22	16.74
11/14/2023 11:59:30 AM	4.69	2.35	7.74	0.53	0.00	0.00	0.00	0.83	15.32	100.00	0.43	11.56	2485	2354	3485	16	0	0	0	0	8340	178.64	27.50	7.70	25.20	31.19	27.57	58.65	1.04	16.22	16.68
11/14/2023 11:59:33 AM	4.52	2.45	8.46	0.00	0.00	0.00	0.00	0.71	15.43	100.00	0.44	11.56	2397	2453	3806	0	0	0	0	0	8656	177.94	27.21	7.61	25.44	30.10	25.83	57.98	1.04	16.22	16.74
11/14/2023 11:59:35 AM	5.09	2.49	8.62	0.07	0.00	0.00	0.00	0.76	16.28	100.00	0.47	11.57	2699	2494	3881	2	0	0	0	0	9076	177.45	28.29	7.99	26.09	31.80	27.36	61.23	1.05	16.21	16.69
11/14/2023 11:59:38 AM	4.71	2.42	8.11	0.18	0.00	0.00	0.00	0.75	15.42	100.00	0.52	11.57	2496	2417	3650	5	0	0	0	0	8568	178.41	27.08	7.81	25.16	30.45	26.56	58.13	1.05	16.22	16.68
11/14/2023 11:59:40 AM	4.77	2.08	7.50	0.57	0.00	0.00	0.00	0.78	14.91	100.00	0.57	11.57	2528	2075	3376	17	0	0	0	0	7996	178.10	26.69	7.62	23.91	30.21	26.16	57.47	1.06	16.22	16.70
11/14/2023 11:59:42 AM	5.01	2.29	8.54	0.12	0.00	0.00	0.00	0.72	15.96	100.00	0.63	11.58	2655	2286	3843	4	0	0	0	0	8788	177.61	27.98	7.19	24.87	31.13	26.87	60.49	1.06	16.22	16.67
11/14/2023 11:59:45 AM	5.15	2.40	8.49	0.10	0.00	0.00	0.00	0.80	16.14	100.00	0.70	11.57	2728	2396	3823	3	0	0	0	0	8949	177.81	28.12	8.04	25.71	32.04	26.92	61.25	1.07	16.23	16.69
11/14/2023 11:59:47 AM	4.90	2.40	8.30	0.11	0.00	0.00	0.00	0.74	15.71	100.00	0.78	11.55	2595	2402	3736	3	0	0	0	0	8736	176.91	27.37	8.27	25.46	30.83	26.29	59.19	1.08	16.22	16.69
11/14/2023 11:59:49 AM	5.14	2.14	7.91	0.55	0.00	0.00	0.00	0.73	15.74	100.00	0.83	11.55	2726	2136	3558	17	0	0	0	0	8436	177.21	27.72	8.34	25.04	30.93	26.81	60.00	1.08	16.23	16.67
11/14/2023 11:59:52 AM	4.89	2.15	7.80	0.61	0.00	0.00	0.00	0.78	15.45	100.00	0.88	11.56	2592	2151	3511	18	0	0	0	0	8272	177.79	27.67	8.02	24.80	31.03	27.00	59.40	1.09	16.23	16.69
11/14/2023 11:59:54 AM	4.93	2.53	8.87	0.00	0.00	0.00	0.00	0.69	16.33	100.00	0.93	11.56	2612	2529	3993	0	0	0	0	0	9134	177.66	28.40	8.23	26.40	31.17	27.01	60.92	1.09	16.23	16.69
11/14/2023 11:59:57 AM	5.46	2.15	7.95	0.63	0.00	0.00	0.00	0.72	16.18	100.00	1.02	11.57	2891	2147	3576	19	0	0	0	0	8633	177.95	28.22	8.45	25.54	31.44	27.50	61.41	1.10	16.24	16.65
11/14/2023 11:59:59 AM	4.35	2.37	8.70	0.13	0.00	0.00	0.00	0.79	15.55	100.00	1.09	11.57	2305	2367	3916	4	0	0	0	0	8593	178.12	28.19	7.92	25.14	31.21	26.51	59.65	1.11	16.22	16.68
11/14/2023 12:00:01 PM	5.15	2.02	7.79	0.67	0.00	0.00	0.00	0.71	15.62	100.00	1.15	11.57	2728	2019	3506	20	0	0	0	0	8273	178.23	27.66	8.33	24.65	30.67	26.63	59.82	1.11	16.24	16.64
11/14/2023 12:00:04 PM	4.19	2.39	9.16	0.11	0.00	0.00	0.00	0.77	15.85	100.00	1.21	11.57	2223	2388	4122	3	0	0	0	0	8736	178.70	29.08	8.24	25.57	31.54	26.77	60.91	1.12	16.22	16.68
