Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
6/2/2025 11:59:59 AM	26.00	2.78	0.00	2.00	0.00	0.00	0.00	0.00	30.78	75.20	0.10	18.96	13780	2782	0	60	0	0	0	0	16622	137.17	21.16	7.78	39.94	61.88	40.69	99.08	1.01	18.54	18.35
6/2/2025 12:00:01 PM	27.17	2.89	1.06	1.62	0.00	0.00	0.00	0.00	32.73	76.05	0.19	18.74	14398	2886	478	48	0	0	0	0	17811	138.72	23.12	8.34	41.56	66.72	41.31	105.53	1.02	18.57	18.30
6/2/2025 12:00:04 PM	30.63	2.78	1.54	1.33	0.00	0.00	0.00	0.00	36.28	75.04	0.32	18.16	16232	2777	695	40	0	0	0	0	19743	136.88	24.67	8.48	44.41	73.19	43.12	119.23	1.03	18.62	18.35
6/2/2025 12:00:07 PM	35.33	1.97	0.00	3.02	0.00	0.00	0.00	0.00	40.32	75.18	0.53	17.63	18723	1970	0	91	0	0	0	0	20784	137.13	27.88	10.58	47.92	82.98	48.93	135.47	1.05	18.65	18.33
6/2/2025 12:00:09 PM	38.07	2.23	0.00	3.20	0.00	0.00	0.00	0.00	43.50	74.34	0.71	17.63	20178	2228	0	96	0	0	0	0	22503	135.59	29.70	10.74	51.58	88.71	53.09	146.25	1.07	18.68	18.38
6/2/2025 12:00:12 PM	38.44	2.32	1.49	2.89	0.00	0.00	0.00	0.00	45.14	73.61	0.90	17.43	20374	2316	673	87	0	0	0	0	23450	134.26	32.40	10.92	53.58	91.57	53.46	152.95	1.09	18.72	18.38
6/2/2025 12:00:15 PM	37.42	2.20	1.35	3.02	0.00	0.00	0.00	0.00	43.99	73.86	0.89	17.46	19832	2204	608	91	0	0	0	0	22735	134.72	31.99	11.81	52.60	89.95	52.10	148.86	1.09	18.73	18.41
6/2/2025 12:00:18 PM	39.30	1.91	0.24	3.57	0.00	0.00	0.00	0.00	45.02	74.36	0.81	17.55	20827	1913	110	107	0	0	0	0	22957	135.63	32.13	12.49	53.35	93.09	53.35	152.37	1.08	18.77	18.43
6/2/2025 12:00:20 PM	40.02	2.84	2.07	2.69	0.00	0.00	0.00	0.00	47.62	75.39	1.00	17.44	21211	2841	932	81	0	0	0	0	25065	137.51	34.44	11.37	56.71	97.33	56.38	159.38	1.10	18.79	18.50
