Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
6/25/2025 9:57:08 AM	0.67	0.11	0.00	1.06	0.00	0.00	0.00	0.29	1.83	77.84	0.17	29.57	353	107	0	32	0	0	0	0	492	141.99	4.89	1.30	5.01	8.98	8.54	8.27	1.02	25.42	25.58
6/25/2025 9:57:11 AM	1.87	0.05	0.00	0.48	0.00	0.00	0.00	0.14	2.40	78.63	0.44	29.58	992	46	0	14	0	0	0	0	1052	143.41	2.75	1.01	3.71	8.31	7.91	8.99	1.04	25.46	25.61
6/25/2025 9:57:14 AM	2.08	0.51	0.00	0.24	0.00	0.00	0.00	0.14	2.83	78.20	0.64	29.54	1102	513	0	7	0	0	0	0	1622	142.64	2.81	2.44	6.04	8.59	7.34	8.85	1.06	25.52	25.61
6/25/2025 9:57:16 AM	1.94	0.84	0.00	0.00	0.00	0.00	0.00	0.21	2.78	78.65	0.80	29.43	1026	841	0	0	0	0	0	0	1867	143.45	2.29	1.53	7.28	8.93	6.93	8.00	1.08	25.55	25.65
6/25/2025 9:57:19 AM	2.10	0.00	0.42	0.17	0.00	0.00	0.00	0.00	2.69	78.57	0.97	29.59	1112	0	190	5	0	0	0	0	1308	143.31	3.12	0.92	4.09	6.66	6.12	9.52	1.09	25.60	25.68
6/25/2025 9:57:22 AM	0.76	0.54	0.97	0.00	0.00	0.00	0.00	0.27	2.27	78.55	1.26	29.57	404	543	436	0	0	0	0	0	1382	143.27	4.13	1.16	5.40	9.03	6.79	8.33	1.12	25.62	25.65
6/25/2025 9:57:25 AM	2.55	0.00	0.00	0.47	0.00	0.00	0.00	0.00	3.02	78.39	1.50	29.55	1353	0	0	14	0	0	0	0	1367	142.99	3.37	1.47	4.93	7.79	6.99	10.19	1.15	25.69	25.68
6/25/2025 9:57:28 AM	1.50	0.49	0.74	0.00	0.00	0.00	0.00	0.18	2.73	78.43	1.69	29.48	795	488	332	0	0	0	0	0	1616	143.06	3.73	2.31	6.04	8.87	6.19	9.18	1.17	25.71	25.73
6/25/2025 9:57:30 AM	1.77	0.73	0.60	0.06	0.00	0.00	0.00	0.13	3.15	78.21	1.89	29.41	936	725	270	2	0	0	0	0	1932	142.65	3.90	1.28	6.61	8.91	7.98	9.49	1.19	25.76	25.74
6/25/2025 9:57:33 AM	2.74	0.57	0.72	0.00	0.00	0.00	0.00	0.04	4.04	78.99	2.10	29.34	1450	574	326	0	0	0	0	0	2351	144.08	4.23	1.45	7.05	9.92	7.83	12.26	1.21	25.78	25.77
6/25/2025 9:57:36 AM	2.01	0.00	1.21	0.83	0.00	0.00	0.00	0.10	4.05	78.78	2.35	28.51	1067	0	545	25	0	0	0	0	1637	143.69	7.00	2.43	6.43	11.79	9.05	15.31	1.23	25.83	25.76
6/25/2025 9:57:38 AM	2.21	0.33	1.86	0.00	0.00	0.00	0.00	0.07	4.40	78.64	2.52	27.89	1173	327	835	0	0	0	0	0	2336	143.43	6.34	0.46	6.33	11.70	8.43	15.21	1.25	25.86	25.76
6/25/2025 9:57:41 AM	1.55	0.58	2.33	0.00	0.00	0.00	0.00	0.07	4.46	79.01	2.62	27.72	821	578	1048	0	0	0	0	0	2447	144.11	7.13	1.50	7.39	11.62	8.79	15.03	1.26	25.90	25.81
6/25/2025 9:57:44 AM	2.58	0.39	1.61	0.10	0.00	0.00	0.00	0.00	4.68	78.93	2.81	27.42	1370	391	722	3	0	0	0	0	2485	143.97	5.91	1.44	7.25	10.42	8.59	15.96	1.28	25.93	25.85
6/25/2025 9:57:46 AM	2.73	0.07	1.53	0.46	0.00	0.00	0.00	0.03	4.79	78.95	2.98	27.14	1449	72	686	14	0	0	0	0	2222	144.00	6.94	1.99	6.88	12.52	8.78	17.04	1.29	25.99	25.90
6/25/2025 9:57:50 AM	2.12	0.28	1.85	0.22	0.00	0.00	0.00	0.15	4.48	78.57	3.18	26.93	1126	275	833	7	0	0	0	0	2241	143.30	6.97	2.40	7.10	13.19	8.23	16.35	1.31	26.00	25.85
6/25/2025 9:57:52 AM	3.34	0.21	1.17	0.47	0.00	0.00	0.00	0.02	5.19	78.25	3.28	26.81	1770	209	526	14	0	0	0	0	2519	142.72	6.59	2.44	7.70	13.08	9.18	17.63	1.32	26.05	25.90
6/25/2025 9:57:55 AM	2.36	0.31	2.15	0.06	0.00	0.00	0.00	0.14	4.87	78.27	3.44	26.52	1249	310	966	2	0	0	0	0	2528	142.76	7.28	1.66	7.07	13.86	8.59	17.55	1.34	26.11	25.93
6/25/2025 9:57:58 AM	2.81	0.00	1.50	0.71	0.00	0.00	0.00	0.06	5.02	78.74	3.60	26.26	1490	0	673	21	0	0	0	0	2184	143.62	7.65	2.30	7.19	13.54	9.51	18.31	1.35	26.13	25.90
6/25/2025 9:58:00 AM	2.85	0.10	2.29	0.35	0.00	0.00	0.00	0.02	5.60	78.42	3.82	25.82	1512	103	1031	11	0	0	0	0	2656	143.04	8.35	1.90	7.46	14.34	9.48	20.03	1.37	26.19	25.98
6/25/2025 9:58:03 AM	3.14	0.00	2.88	0.46	0.00	0.00	0.00	0.00	6.48	78.21	4.03	25.11	1666	0	1295	14	0	0	0	0	2975	142.65	9.95	1.95	7.54	16.31	10.77	23.71	1.39	26.19	25.97
6/25/2025 9:58:06 AM	3.06	0.00	3.28	0.72	0.00	0.00	0.00	0.01	7.07	78.18	4.17	24.08	1624	0	1478	22	0	0	0	0	3124	142.60	11.49	2.84	8.06	17.87	12.14	26.21	1.41	26.24	26.03
6/25/2025 9:58:09 AM	2.40	0.00	4.59	0.59	0.00	0.00	0.00	0.05	7.58	78.37	4.25	23.46	1272	0	2065	18	0	0	0	0	3355	142.94	13.67	3.50	9.43	19.85	11.71	28.84	1.42	26.27	26.03
6/25/2025 9:58:11 AM	3.04	0.00	3.55	0.96	0.00	0.00	0.00	0.11	7.56	78.32	4.41	23.50	1611	0	1599	29	0	0	0	0	3239	142.85	13.05	3.64	9.84	20.59	12.66	28.69	1.43	26.31	26.06
6/25/2025 9:58:14 AM	2.65	0.12	3.92	0.97	0.00	0.00	0.00	0.10	7.67	77.79	4.54	21.93	1405	122	1763	29	0	0	0	0	3320	141.88	13.72	3.86	10.54	20.52	13.00	28.80	1.45	26.33	26.11
6/25/2025 9:58:17 AM	3.15	0.00	3.66	1.16	0.00	0.00	0.00	0.09	7.97	77.94	4.79	21.50	1667	0	1647	35	0	0	0	0	3349	142.15	13.89	3.94	10.64	21.25	13.46	30.02	1.47	26.36	26.10
6/25/2025 9:58:20 AM	2.87	0.12	3.64	1.17	0.00	0.00	0.00	0.21	7.80	78.04	4.96	21.12	1518	125	1639	35	0	0	0	0	3317	142.35	14.10	3.76	10.86	22.41	13.88	29.96	1.49	26.38	26.11
6/25/2025 9:58:22 AM	2.21	0.39	4.00	0.85	0.00	0.00	0.00	0.26	7.45	77.68	5.12	20.71	1173	393	1798	26	0	0	0	0	3390	141.69	13.82	3.85	10.99	21.83	13.31	28.39	1.50	26.39	26.14
6/25/2025 9:58:25 AM	1.84	0.49	3.86	0.93	0.00	0.00	0.00	0.37	7.12	77.81	5.35	20.19	976	495	1737	28	0	0	0	0	3236	141.93	13.86	3.66	11.03	22.39	13.73	27.69	1.52	26.41	26.10
6/25/2025 9:58:28 AM	1.51	0.40	4.34	0.87	0.00	0.00	0.00	0.38	7.11	77.97	5.59	19.37	801	399	1951	26	0	0	0	0	3177	142.22	14.49	3.67	10.74	22.78	13.40	28.37	1.55	26.44	26.18
6/25/2025 9:58:31 AM	1.42	0.49	4.45	0.86	0.00	0.00	0.00	0.44	7.22	77.84	5.87	18.63	753	488	2004	26	0	0	0	0	3270	141.98	14.84	4.02	11.19	23.71	13.60	28.93	1.58	26.46	26.22
6/25/2025 9:58:34 AM	1.51	0.49	4.70	0.81	0.00	0.00	0.00	0.44	7.51	77.96	6.16	18.22	803	486	2116	24	0	0	0	0	3430	142.19	15.31	3.78	11.28	24.49	13.89	30.07	1.60	26.47	26.19
