Reservoir,Depth_m,SA_m2,Volume_layer_L,Volume_below_L
CCR,0,2475798.959,1219051257,23011636613
CCR,0.5,2401152.285,1182847247,21792585357
CCR,1,2330982.922,1148881521,20609738109
CCR,1.5,2204406.158,1088644458,19460856588
CCR,2,2150528.012,1062239893,18372212130
CCR,2.5,2098787.899,1036904146,17309972237
CCR,3,2016578.522,994453484.9,16273068091
CCR,3.5,1961582.456,967476009.2,15278614606
CCR,4,1908668.618,941539647.2,14311138597
CCR,4.5,1857837.008,901649742.9,13369598950
CCR,5,1767988.509,869878832.4,12467949207
CCR,5.5,1711758.218,842110782.9,11598070375
CCR,6,1656916.311,797692708.2,10755959592
CCR,6.5,1557831.527,764535174.2,9958266883
CCR,7,1500665.838,736487332.4,9193731709
CCR,7.5,1445640.159,693547336.1,8457244377
CCR,8,1350596.859,660946937,7763697041
CCR,8.5,1293360.596,632583366,7102750104
CCR,9,1237142.575,592746257.8,6470166738
CCR,9.5,1152014.742,562589646.5,5877420480
CCR,10,1098682.68,536431870.2,5314830833
CCR,10.5,1047383.637,495023915.7,4778398963
CCR,11,942758.9529,458605733.3,4283375047
CCR,11.5,892084.4307,433899147.7,3824769314
CCR,12,843932.6105,388910601.2,3390870166
CCR,12.5,722143.1048,347066261.8,3001959565
CCR,13,667167.0712,321145938,2654893303
CCR,13.5,618461.8094,288783398.7,2333747365
CCR,14,544114.5027,262531455.9,2044963967
CCR,14.5,506763.2479,244983718.9,1782432511
CCR,15,473923.5547,225679843.6,1537448792
CCR,15.5,430524.1367,207582460.8,1311768948
CCR,16,400404.5127,193420857.9,1104186487
CCR,16.5,373877.725,174163089.3,910765629.5
CCR,17,326527.1736,156749186,736602540.2
CCR,17.5,300657.5168,144096277.4,579853354.2
CCR,18,275915.5393,126633759.9,435757076.8
CCR,18.5,222612.9935,102415809.5,309123316.9
CCR,19,187670.1631,85874272.41,206707507.5
CCR,19.5,156446.8453,56596999.29,120833235.1
CCR,20,58952.05843,26769623.84,64236235.78
CCR,20.5,48254.56294,21613065.09,37466611.93
CCR,21,38325.82343,11956965.01,15853546.84
CCR,21.5,5932.079468,2310519.764,3896581.826
CCR,22,3423.938818,1227358.282,1586062.062
CCR,22.5,1599.433536,358703.7803,358703.7803
CCR,23,0,0,0
BVR,0,180562.8383,83810870.71,700728965.5
BVR,0.5,161138.2961,77432329.26,616918094.8
BVR,1,148635.6414,71169274.78,539485765.6
BVR,1.5,136223.8923,64841097.67,468316490.8
BVR,2,123068.0371,58236620.82,403475393.1
BVR,2.5,109925.8049,51653070.96,345238772.3
BVR,3,96791.51796,45729672.74,293585701.3
BVR,3.5,86577.22006,40510287.67,247856028.6
BVR,4,75692.6595,35559772.31,207345740.9
BVR,4.5,67173.37841,32029338.83,171785968.6
BVR,5,61064.24538,28964576.28,139756629.8
BVR,5.5,54657.64729,25519721.04,110792053.5
BVR,6,47133.12251,21998405.31,85272332.45
BVR,6.5,41431.27242,19405793.16,63273927.14
BVR,7,35938.12615,15920870.33,43868133.98
BVR,7.5,26927.58978,11059723.62,27947263.65
BVR,8,17748.09502,7260926.271,16887540.03
BVR,8.5,11800.23117,4691088.278,9626613.759
BVR,9,7635.905197,3020558.12,4935525.48
BVR,9.5,4633.172592,1568994.38,1914967.361
BVR,10,1706.874172,345972.9802,345972.9802
BVR,10.5,0,0,0
FCR,0,81845.42765,40655582.45,329526871.7
FCR,0.5,80576.96882,39600027.64,288871289.2
FCR,1,77359.41476,37182594.53,249271261.6
FCR,1.5,71312.92048,33937237.71,212088667
FCR,2,64246.13613,30434690.72,178151429.3
FCR,2.5,57609.61333,27010447.63,147716738.6
FCR,3,50026.04721,23108764.84,120706291
FCR,3.5,42726.39513,19920542.89,97597526.16
FCR,4,37038.63161,17008884.86,77676983.26
FCR,4.5,30723.68324,13820814.13,60668098.4
FCR,5,24543.38141,11037949.33,46847284.27
FCR,5.5,19813.08201,9012972.383,35809334.94
FCR,6,16251.74382,7165315.052,26796362.56
FCR,6.5,12444.65021,5521275.855,19631047.51
FCR,7,9603.173627,4247673.172,14109771.65
FCR,7.5,7531.787445,3381926.085,9862098.48
FCR,8,5996.189662,2660158.967,6480172.395
FCR,8.5,4701.248871,2011258.898,3820013.429
FCR,9,3291.083777,1230114.749,1808754.531
FCR,9.5,1765.191959,534864.9337,578639.7818
FCR,10,343.5144911,43774.8481,43774.8481
FCR,10.5,0,0,0
