"","Reservoir","Site","Date","Depth_m","Temp_C","DO_mgL","DO_pSat","Cond_uScm","Spec_Cond_uScm","Chla_ugL","Turb_NTU","pH","ORP_mV","PAR_umolm2s","Desc_rate","Flag_Temp","Flag_DO","Flag_Cond","Flag_SpecCond","Flag_Chla","Flag_Turb","Flag_pH","Flag_ORP","Flag_PAR","Flag_DescRate"
"1","FCR",50,2020-06-18 20:01:02,0.1,18.5038,6.3413,96.52,29.485,25.651834,2.7208,7.9786,7.431,227.894,18.136,0.027,0,0,0,0,0,0,0,0,0,0
"2","FCR",50,2020-06-22 08:34:20,0.1,22.0244,6.1143,99.403,31.844,29.684957,1.7091,3.4925,8.186,195.3369,129.01,0.066,0,0,0,0,0,0,0,0,0,0
"3","FCR",50,2020-06-25 09:31:50,0.1,22.684,6.0754,100.626,31.49,30.034667,0.9158,2.3476,7.93,136.8468,1292.9,0.023,0,0,0,0,0,0,0,0,0,0
"4","FCR",50,2020-06-28 21:40:34,0.1,22.4383,5.2314,84.974,31.708,30.080908,2.3324,1.5661,7.497,207.108,0.12376,0.037,0,0,0,0,0,0,0,0,0,0
"5","FCR",50,2020-06-28 22:41:31,0.1,23.0989,6.2332,106.547,31.594,30.355613,1.8748,1.434,7.314,169.7734,0.12356,0.039,0,0,0,0,0,0,0,0,0,0
"6","FCR",50,2020-06-29 10:47:05,0.1,22.9834,5.9318,98.956,31.617,30.341534,0.4519,1.5951,7.5,181.542,325.11,0.025,0,0,0,0,0,0,0,0,0,0
"7","FCR",50,2020-06-29 18:00:17,0.1,23.9264,6.2041,105.378,31.603,30.914582,1.1683,1.4128,7.436,185.2967,442.25,0.015,0,0,0,0,0,0,0,0,0,0
"8","FCR",50,2020-07-02 09:32:25,0.1,24.7463,5.6729,98.309,31.575,31.416793,0.383,1.1099,7.868,141.2144,550.07,0.034,0,0,0,0,0,0,0,0,0,0
"9","FCR",50,2020-07-06 10:24:12,0.1,26.7874,5.7236,101.353,32.2,33.354734,0.8453,1.1293,8.022,242.1122,417.04,0.011,0,0,0,0,0,0,0,0,0,0
"10","FCR",50,2020-07-09 09:42:08,0.1,26.9767,5.4492,97.574,32.896,34.200325,0.5933,1.3679,7.717,160.8488,965.33,0.02,0,0,0,0,0,0,0,0,0,0
"11","FCR",50,2020-07-09 15:22:06,0.1,27.8321,5.5846,101.785,32.381,34.194709,1.0104,1.0967,7.83,90.5904,372.06,0.036,0,0,0,0,0,0,0,0,0,0
"12","FCR",50,2020-07-13 11:08:51,0.1,26.1109,4.696,77.77,31.984,32.698643,0.8814,1.6796,7.385,230.1116,99.511,0.024,0,0,0,0,0,0,0,0,0,0
"13","FCR",50,2020-07-13 13:18:57,0.1,26.9532,4.2341,76.506,31.854,33.098418,0.9404,1.6262,7.48,231.2448,118.98,0.022,0,0,0,0,0,0,0,0,0,0
"14","FCR",50,2020-07-17 09:52:45,0.1,26.787,5.1168,94.168,35.835,37.221493,0.593,1.967,9.058,195.6093,1119.1,0.078,0,0,0,0,0,0,0,0,0,0
"15","FCR",50,2020-07-23 14:47:15,0.1,27.8846,5.3113,99.172,32.129,33.924978,0.4686,28.8759,7.072,170.1936,497.19,0.165,0,0,0,0,0,0,0,0,0,0
"16","FCR",50,2020-07-27 09:24:05,0.1,26.8112,5.4689,103.312,32.969,34.162486,1.1938,6.1552,8.975,131.849,586.81,0.105,0,0,0,0,0,0,0,0,0,0
"17","FCR",50,2020-07-30 14:06:20,0.1,26.9068,8.5107,150.396,35.458,36.777891,2.3478,9.4514,7.053,93.9312,105.07,0.032,0,0,0,0,0,0,0,0,0,0
"18","FCR",50,2020-08-03 11:16:39,0.1,26.2773,6.0147,107.639,32.955,33.800109,5.0229,9.1948,7.357,117.7533,253.89,0.016,0,0,0,0,0,0,0,0,0,0
"19","FCR",50,2020-08-06 09:42:29,0.1,25.5965,7.0105,123.09,33.298,33.69692,2.2118,8.4941,NA,109.1187,460.6,-0.062,0,0,0,0,0,0,2,0,0,0
"20","FCR",50,2020-08-10 11:11:15,0.1,27.0549,6.0687,105.71,33.638,35.01584,2.0793,4.8336,NA,132.9343,179.72,0.073,0,0,0,0,0,0,2,0,0,0
"21","FCR",50,2020-08-17 09:25:40,0.1,23.2411,4.5351,76.117,32.971,31.81405,2.0741,5.9112,NA,164.6721,399.83,0.013,0,0,0,0,0,0,2,0,0,0
"22","FCR",50,2020-08-24 08:54:31,0.1,24.7968,5.4263,92.78,34.032,33.904218,2.9886,4.2736,NA,140.564,249.17,0.056,0,0,0,0,0,0,2,0,0,0
"23","FCR",50,2020-09-02 09:40:29,0.1,24.0047,5.192,88.14,34.662,33.964054,4.4264,6.1513,NA,218.4883,351.76,0.018,0,0,0,0,0,0,2,0,0,0
"24","FCR",50,2020-09-03 09:10:45,0.1,25.188,5.7238,98.756,34.191,34.324799,3.3128,5.3787,NA,159.373,285.08,0.116,0,0,0,0,0,0,2,0,0,0
"25","FCR",50,2020-09-09 13:42:23,0.1,24.8999,5.7838,100.044,36.323,36.256514,3.9159,7.898,NA,228.5359,257.13,0.038,0,0,0,0,0,0,2,0,0,0
"26","FCR",50,2020-09-11 09:05:27,0.1,24.4949,6.614,114.309,36.44,36.078804,6.2954,9.2272,NA,138.2203,135.61,0.006,0,0,0,0,0,0,2,0,0,0
"27","FCR",50,2020-09-15 08:20:40,0.1,23.1985,5.8381,103.783,36.486,35.225654,5.8779,13.1458,NA,181.6969,91.682,0.114,0,0,0,0,0,0,2,0,0,0
