"","Reservoir","Site","DateTime","Depth_m","Chla_ugL","Pheo_ugL","Flag_DateTime","Flag_Chla_ugL","Flag_Pheo_ugL"
"1","GWR",50,2014-04-18 12:00:00,0.1,6.3,NA,1,0,2
"2","GWR",50,2014-04-18 12:00:00,5,5.8,NA,1,0,2
"3","GWR",50,2014-04-18 12:00:00,10,1.7,NA,1,0,2
"4","CCR",50,2014-04-20 12:00:00,0.1,4,NA,1,0,2
"5","CCR",50,2014-04-20 12:00:00,5,7.5,NA,1,0,2
"6","CCR",50,2014-04-20 12:00:00,14,9.2,NA,1,0,2
"7","GWR",50,2014-04-26 12:00:00,0.1,6.3,NA,1,0,2
"8","GWR",50,2014-04-26 12:00:00,4,8.1,NA,1,0,2
"9","GWR",50,2014-04-26 12:00:00,10,2.3,NA,1,0,2
"10","CLY",50,2014-04-28 12:00:00,0.1,11.5,NA,1,0,2
"11","CLY",50,2014-04-28 12:00:00,5,10.9,NA,1,0,2
"12","SHR",50,2014-05-02 12:00:00,0.1,0.6,NA,1,0,2
"13","SHR",50,2014-05-02 12:00:00,5,0.6,NA,1,0,2
"14","SHR",50,2014-05-02 12:00:00,14,1.2,NA,1,0,2
"15","CCR",50,2014-05-02 12:00:00,0.1,5.2,NA,1,0,2
"16","CCR",50,2014-05-02 12:00:00,5,6.9,NA,1,0,2
"17","CCR",50,2014-05-02 12:00:00,14,4,NA,1,0,2
"18","SML",50,2014-05-06 12:00:00,0.1,35.7,NA,1,0,2
"19","SML",50,2014-05-06 12:00:00,8,8.1,NA,1,0,2
"20","SML",50,2014-05-06 12:00:00,30,2.3,NA,1,0,2
"21","SHR",50,2014-05-08 12:00:00,0.1,1.2,NA,1,0,2
"22","SHR",50,2014-05-08 12:00:00,8,0.6,NA,1,0,2
"23","SHR",50,2014-05-08 12:00:00,14,0.6,NA,1,0,2
"24","CCR",50,2014-05-08 12:00:00,0.1,4,NA,1,0,2
"25","CCR",50,2014-05-08 12:00:00,6,8.6,NA,1,0,2
"26","CCR",50,2014-05-08 12:00:00,14,8.1,NA,1,0,2
"27","GWR",50,2014-05-09 12:00:00,0.1,5.2,NA,1,0,2
"28","GWR",50,2014-05-09 12:00:00,5,2.9,NA,1,0,2
"29","GWR",50,2014-05-09 12:00:00,10,22.4,NA,1,0,2
"30","CCR",50,2014-05-15 12:00:00,0.1,3.5,NA,1,0,2
"31","CCR",50,2014-05-15 12:00:00,6,4,NA,1,0,2
"32","CCR",50,2014-05-15 12:00:00,14,3.5,NA,1,0,2
"33","GWR",50,2014-05-16 12:00:00,0.1,10.4,NA,1,0,2
"34","GWR",50,2014-05-16 12:00:00,5,9.8,NA,1,0,2
"35","GWR",50,2014-05-16 12:00:00,10,3.5,NA,1,0,2
"36","GWR",50,2014-05-20 12:00:00,9,0.6,1.5,1,4,0
"37","CCR",50,2014-05-27 12:00:00,0.1,2.3,NA,1,0,2
"38","CCR",50,2014-05-27 12:00:00,6,9.8,NA,1,0,2
"39","CCR",50,2014-05-27 12:00:00,14,8.1,NA,1,0,2
"40","SHR",50,2014-05-30 12:00:00,0.1,0.6,NA,1,0,2
"41","SHR",50,2014-05-30 12:00:00,8,2.9,NA,1,0,2
"42","SHR",50,2014-05-30 12:00:00,25,1.2,NA,1,0,2
"43","SML",50,2014-06-03 12:00:00,0.1,8.6,NA,1,0,2
"44","SML",50,2014-06-03 12:00:00,0.1,10.4,NA,1,0,2
"45","SML",50,2014-06-03 12:00:00,8,13.8,NA,1,0,2
"46","SML",50,2014-06-03 12:00:00,8,6.3,NA,1,0,2
"47","SML",50,2014-06-03 12:00:00,25,1.2,NA,1,0,2
"48","GWR",50,2014-06-04 12:00:00,0.1,2.9,NA,1,0,2
"49","GWR",50,2014-06-04 12:00:00,5,10.9,NA,1,0,2
"50","GWR",50,2014-06-04 12:00:00,12,5.2,NA,1,0,2
