"Reservoir","Site","DateTime","Secchi_m","Flag_DateTime","Flag_Secchi"
"BVR",50,2021-03-08 11:20:00,2.26,0,0
"BVR",50,2021-04-05 11:00:00,1.3,0,0
"BVR",50,2021-05-03 10:45:00,2.2,0,0
"BVR",50,2021-05-14 11:26:00,2.75,0,0
"BVR",50,2021-05-31 10:18:00,3,0,0
"BVR",50,2021-06-15 17:26:00,3.1,0,0
"BVR",50,2021-06-28 11:27:00,2.8,0,0
"BVR",50,2021-07-12 14:48:00,2.85,0,0
"BVR",50,2021-07-26 10:30:00,2.4,0,0
"BVR",50,2021-08-09 10:40:00,1.4,0,0
"BVR",50,2021-08-23 10:05:00,1.3,0,0
"BVR",50,2021-09-06 10:35:00,1.25,0,0
"BVR",50,2021-09-21 10:55:00,2.25,0,0
"BVR",50,2021-10-12 12:00:00,1.95,0,0
"BVR",50,2021-10-26 12:09:00,1,0,0
"BVR",50,2021-11-09 11:39:00,1.2,0,0
"BVR",50,2021-11-22 10:09:00,1.8,0,0
"BVR",50,2021-12-06 10:27:00,1.75,0,0
"CCR",50,2021-04-19 10:54:00,2.9,0,0
"CCR",50,2021-07-01 11:00:00,3.4,0,0
"CCR",50,2021-07-28 10:41:00,2.7,0,0
"CCR",50,2021-08-19 12:18:00,2.35,0,0
"CCR",50,2021-09-23 14:24:00,2.1,0,0
"CCR",50,2021-11-19 12:56:00,1.79,0,0
"FCR",50,2021-02-08 11:15:00,1.4,0,0
"FCR",50,2021-02-26 12:20:00,1.5,0,0
"FCR",50,2021-03-22 11:40:00,1.75,0,0
"FCR",50,2021-04-16 13:25:00,1.5,0,0
"FCR",50,2021-04-18 10:25:00,1.45,0,0
"FCR",50,2021-05-24 12:28:00,1.25,0,0
"FCR",50,2021-05-31 12:00:00,0.6,0,0
"FCR",50,2021-06-07 11:54:00,0.3,0,0
"FCR",50,2021-06-15 12:01:00,0.5,0,0
"FCR",50,2021-06-21 11:09:00,0.25,0,0
"FCR",50,2021-06-28 12:00:00,0.6,1,0
"FCR",50,2021-07-07 16:07:00,1.75,0,0
"FCR",50,2021-07-12 17:11:00,2.25,0,0
"FCR",50,2021-07-21 14:06:00,1.3,0,0
"FCR",50,2021-07-26 14:20:00,2.05,0,0
"FCR",50,2021-08-02 11:41:00,1.9,0,0
"FCR",50,2021-08-09 14:37:00,1.8,0,0
"FCR",50,2021-08-23 13:58:00,1.75,0,0
"FCR",50,2021-08-31 12:00:00,1.9,0,0
"FCR",50,2021-09-06 14:02:00,2.2,0,0
"FCR",50,2021-09-14 14:05:00,3,0,0
"FCR",50,2021-09-21 15:54:00,2,0,0
"FCR",50,2021-09-27 13:35:00,1.9,0,0
"FCR",50,2021-10-04 14:35:00,1.8,0,0
"FCR",50,2021-10-11 13:32:00,1.5,0,0
"FCR",50,2021-10-18 12:38:00,1.5,0,0
"FCR",50,2021-10-25 13:22:00,1.4,0,0
"FCR",50,2021-11-03 11:44:00,1.25,0,0
"FCR",50,2021-11-08 12:12:00,1.3,0,0
"FCR",50,2021-11-22 14:18:00,2.3,0,0
"FCR",50,2021-12-06 13:00:00,1.75,0,0
