Reservoir ,Site,DateTime,Depth_m,Temp_C,DO_mgL,DOSat,Cond_uScm,SpCond_uScm,PAR_umolm2s,ORP_mV,pH,Flag_Temp,Flag_DO,Flag_DOSat,Flag_Cond,Flag_PAR,Flag_ORP,Flag_pH,Notes
FCR,100,1/26/22 11:22,0.1,0.7,13.3,91.6,NA,,,,,,,,,,,,
BVR,50,1/26/22 13:40,0.1,2.8,12.45,91.6,NA,,,,,,,,,,,,
BVR,50,1/26/22 13:42,1,2.7,12.55,92.1,NA,,,,,,,,,,,,
BVR,50,1/26/22 13:44,2,2.7,12.52,91.5,NA,,,,,,,,,,,,
BVR,50,1/26/22 13:46,3,2.7,12.53,91.6,NA,,,,,,,,,,,,
BVR,50,1/26/22 13:48,4,2.7,12.48,91.3,NA,,,,,,,,,,,,
BVR,50,1/26/22 13:50,5,2.7,12.41,91.4,NA,,,,,,,,,,,,
BVR,50,1/26/22 13:52,6,2.7,12.48,90.9,NA,,,,,,,,,,,,
BVR,50,1/26/22 13:54,7,2.7,12.33,91.2,NA,,,,,,,,,,,,
BVR,50,1/26/22 13:56,8,2.7,12.38,91,NA,,,,,,,,,,,,
BVR,50,1/26/22 13:58,9,2.7,12.32,90.6,NA,,,,,,,,,,,,
BVR,50,1/26/22 14:00,10,2.8,12.05,90.2,NA,,,,,,,,,,,,
FCR,50,1/31/22 10:24,-0.1,,,,NA,,220.2,,,,,,,,,,
FCR,50,1/31/22 10:25,0.1,4,12.87,97.5,NA,39.2,NA,,,,,,,,,,
FCR,50,1/31/22 10:26,0.5,,,,NA,,43.5,,,,,,,,,,
FCR,50,1/31/22 10:27,1,4.1,12.75,96.7,NA,39.7,20.24,,,,,,,,,,
FCR,50,1/31/22 10:27,1.5,,,,NA,,13.82,,,,,,,,,,
FCR,50,1/31/22 10:27,2,4.1,12.65,95.3,NA,39.7,8.81,,,,,,,,,,
FCR,50,1/31/22 10:28,2.5,,,,NA,,6.05,,,,,,,,,,
FCR,50,1/31/22 10:28,3,4.1,12.15,92.2,NA,39.8,4.8,,,,,,,,,,
FCR,50,1/31/22 10:29,3.5,,,,NA,,3.17,,,,,,,,,,
FCR,50,1/31/22 10:29,4,4.1,11.55,87.5,NA,39.8,2.17,,,,,,,,,,
FCR,50,1/31/22 10:30,4.5,,,,NA,,1.6,,,,,,,,,,
FCR,50,1/31/22 10:30,5,4.1,10.87,82.6,NA,NA,1.18,,,,,,,,,,
FCR,50,1/31/22 10:31,6,4.1,9.39,71.6,NA,NA,,,,,,,,,,,
FCR,50,1/31/22 10:33,7,4.1,7.36,55.8,NA,,,,,,,,,,,,
FCR,50,1/31/22 10:34,8,4.3,4.86,36,NA,,,,,,,,,,,,
FCR,50,1/31/22 10:35,9,4.4,3.95,30,NA,,,,,,,,,,,,
FCR,50,1/31/22 10:36,10,4.6,1.85,14.2,NA,,,,,,,,,,,,
FCR,50,2/24/22 10:26,0.1,5.5,12.56,96.6,NA,,,,,,,,,,,,
FCR,50,2/24/22 10:27,1,5.4,12.4,97.1,NA,,,,,,,,,,,,
FCR,50,2/24/22 10:28,2,5.3,12.32,96.4,NA,,,,,,,,,,,,
FCR,50,2/24/22 10:30,3,5.2,12.27,96.3,NA,,,,,,,,,,,,
FCR,50,2/24/22 10:31,4,5.1,12.22,95.6,NA,,,,,,,,,,,,
FCR,50,2/24/22 10:32,5,5,12.19,95.2,NA,,,,,,,,,,,,
FCR,50,2/24/22 10:33,6,5,12.15,94.8,NA,,,,,,,,,,,,
FCR,50,2/24/22 10:35,7,5,12.15,94.8,NA,,,,,,,,,,,,
FCR,50,2/24/22 10:36,8,5,12.1,94.3,NA,,,,,,,,,,,,
FCR,50,2/24/22 10:37,9,4.9,12.07,94,NA,,,,,,,,,,,,
FCR,50,2/24/22 10:38,10,4.9,11.98,93.6,NA,,,,,,,,,,,,
BVR,50,2/24/22 12:42,0.1,6.4,12.41,100.6,NA,,,,,,,,,,,,
BVR,50,2/24/22 12:44,1,6.7,12.38,99.7,NA,,,,,,,,,,,,
BVR,50,2/24/22 12:47,2,6.2,12.17,96.8,NA,,,,,,,,,,,,
BVR,50,2/24/22 12:48,3,5.8,11.95,94.6,NA,,,,,,,,,,,,
BVR,50,2/24/22 12:50,4,5.8,11.92,94,NA,,,,,,,,,,,,
BVR,50,2/24/22 12:51,5,5.7,11.8,92.8,NA,,,,,,,,,,,,
BVR,50,2/24/22 12:52,6,5.5,11.72,91.8,NA,,,,,,,,,,,,
BVR,50,2/24/22 12:54,7,6.4,11.64,91,NA,,,,,,,,,,,,
BVR,50,2/24/22 12:55,8,5.1,11.58,89.4,NA,,,,,,,,,,,,
BVR,50,2/24/22 12:56,9,5,11.48,88.5,NA,,,,,,,,,,,,
CCR,50,2/28/22 10:45,0.1,6.3,13.1,102.5,NA,,,,,,,,,,,,
CCR,50,2/28/22 10:46,1,6.1,13.1,102.8,NA,,,,,,,,,,,,
CCR,50,2/28/22 10:48,2,6,13.2,102.6,NA,,,,,,,,,,,,
CCR,50,2/28/22 10:49,3,5.9,13.1,102.6,NA,,,,,,,,,,,,
CCR,50,2/28/22 10:50,4,5.8,13.2,102,NA,,,,,,,,,,,,
CCR,50,2/28/22 10:53,5,5.8,13.2,102.8,NA,,,,,,,,,,,,
CCR,50,2/28/22 10:54,6,5.8,13.1,101.5,NA,,,,,,,,,,,,
CCR,50,2/28/22 10:55,7,5.8,13.1,101.3,NA,,,,,,,,,,,,
CCR,50,2/28/22 10:56,8,5.8,13.1,101.5,NA,,,,,,,,,,,,
CCR,50,2/28/22 10:58,9,5.8,13,100.9,NA,,,,,,,,,,,,
CCR,50,2/28/22 11:00,10,5.8,13,101.3,NA,,,,,,,,,,,,
CCR,50,2/28/22 11:01,11,5.8,12.9,101.1,NA,,,,,,,,,,,,
CCR,50,2/28/22 11:03,15,5.6,12.9,100.2,NA,,,,,,,,,,,,
CCR,50,2/28/22 11:05,19,5.4,12.6,97,NA,,,,,,,,,,,,
CCR,100,2/28/22 12:00,0.1,6.8,12.5,99.5,NA,24.9,,,,,,,,,,,
CCR,400,2/28/22 13:45,0.1,9.9,11.57,99.4,NA,329.8,,,,,,,,,,,
CCR,301,2/28/22 14:45,0.1,8.9,11.88,100.2,NA,23.68,,,,,,,,,,,
CCR,500,2/28/22 16:00,0.1,9.2,11.6,98.7,NA,139.7,,,,,,,,,,,
FCR,50,3/17/22 12:12,0.1,10.7,11.5,103.9,NA,,,,,,,,,,,,
FCR,50,3/17/22 12:14,1,10.4,11.69,104.1,NA,,,,,,,,,,,,
FCR,50,3/17/22 12:15,2,10.3,11.75,104.4,NA,,,,,,,,,,,,
FCR,50,3/17/22 12:16,3,10.2,11.8,105,NA,,,,,,,,,,,,
FCR,50,3/17/22 12:17,4,8.3,11.3,95.3,NA,,,,,,,,,,,,
FCR,50,3/17/22 12:18,5,7.5,10.52,87.4,NA,,,,,,,,,,,,
FCR,50,3/17/22 12:19,6,7.1,9.95,81.4,NA,,,,,,,,,,,,
FCR,50,3/17/22 12:20,7,7,9.69,78.9,NA,,,,,,,,,,,,
FCR,50,3/17/22 12:21,8,6.9,9.52,78.1,NA,,,,,,,,,,,,
FCR,50,3/17/22 12:23,9,6.7,9.02,73.6,NA,,,,,,,,,,,,
FCR,50,3/17/22 12:24,10,6.6,7.82,63.1,NA,,,,,,,,,,,,
BVR,50,3/22/22 11:51,0.1,12.1,11.58,106.9,NA,,,,,,,,,,,,
BVR,50,3/22/22 11:53,1,11.1,11.63,105.5,NA,,,,,,,,,,,,
BVR,50,3/22/22 11:54,2,10.3,11.57,102.7,NA,,,,,,,,,,,,
BVR,50,3/22/22 11:55,3,9.8,11.43,100.4,NA,,,,,,,,,,,,
BVR,50,3/22/22 11:56,4,9.2,11.2,96.9,NA,,,,,,,,,,,,
BVR,50,3/22/22 11:57,5,8.7,10.89,93.5,NA,,,,,,,,,,,,
BVR,50,3/22/22 11:58,6,8.4,10.46,89,NA,,,,,,,,,,,,
BVR,50,3/22/22 11:59,7,7.9,10.16,85.6,NA,,,,,,,,,,,,
BVR,50,3/22/22 12:00,8,7.4,9.55,79.2,NA,,,,,,,,,,,,
BVR,50,3/22/22 12:01,9,7.2,9.33,76.8,NA,,,,,,,,,,,,
BVR,50,3/22/22 12:02,10,7.2,8.46,69.4,NA,,,,,,,,,,,,
FCR,50,3/29/22 11:34,0.1,8.3,11.6,97.9,NA,,,,,,,,,,,,
FCR,50,3/29/22 11:36,1,8.9,11.33,96.8,NA,,,,,,,,,,,,
FCR,50,3/29/22 11:38,2,8.9,11.26,96,NA,,,,,,,,,,,,
FCR,50,3/29/22 11:39,3,8.8,11.12,95.1,NA,,,,,,,,,,,,
FCR,50,3/29/22 11:40,4,8.5,10.02,84.1,NA,,,,,,,,,,,,
FCR,50,3/29/22 11:41,5,8.3,9.25,76.1,NA,,,,,,,,,,,,
FCR,50,3/29/22 11:43,6,7.8,8.4,68.9,NA,,,,,,,,,,,,
