attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Reservoir	Three-letter code corresponding to sampled reservoir	categorical			NA	value is missing
Site	Sampling site at each reservoir; see site_descriptions.csv provided in this data package for further information regarding sampling sites	numeric	dimensionless		NA	value is missing
DateTime	"Date and time of sampling. All data were collected in the eastern time zone of the U.S.A., with daylight savings time observed"	Date		YYYY-MM-DD hh:mm:ss	NA	value is missing
Depth_m	Depth at which sample was taken	numeric	meter		NA	value is missing
Temp_C	Water temperature	numeric	celsius		NA	value is missing
DO_mgL	Dissolved oxygen (DO) concentration	numeric	milligramsPerLiter		NA	value is missing
DOsat_percent	Dissolved oxygen (DO) percent saturation	numeric	percent		NA	value is missing
Cond_uScm	Conductivity	numeric	microSiemenPerCentimeter		NA	value is missing
SpCond_uScm	Specific conductance	numeric	microSiemenPerCentimeter		NA	value is missing
PAR_umolm2s	Photosynthetic active radiation	numeric	micromolePerMeterSquaredPerSecond		NA	value is missing
ORP_mV	Oxidation-reduction potential	numeric	millivolt		NA	value is missing
pH	Water pH	numeric	dimensionless		NA	value is missing
Flag_DateTime	Data flag for datetime	numeric	dimensionless		NA	value is missing
Flag_Temp_C	Data flag for water temperature	numeric	dimensionless		NA	value is missing
Flag_DO_mgL	Data flag for dissolved oxygen (DO) concentration	numeric	dimensionless		NA	value is missing
Flag_DOsat_percent	Data flag for dissolved oxygen (DO) percent saturation	numeric	dimensionless		NA	value is missing
Flag_Cond_uScm	Data flag for conductivity	numeric	dimensionless		NA	value is missing
Flag_SpCond_uScm	Data flag for specific conductance	numeric	dimensionless		NA	value is missing
Flag_PAR_umolm2s	Data flag for photosynthetic active radiation (PAR)	numeric	dimensionless		NA	value is missing
Flag_ORP_mV	Data flag for ORP	numeric	dimensionless		NA	value is missing
Flag_pH	Data flag for pH	numeric	dimensionless		NA	value is missing
