Reservoir,Site,DateTime,StartDepth_m,EndDepth_m,CollectionMethod,Taxon,Density_IndPerL,MeanLength_mm,MeanWeight_ug,Biomass_ugL,Flag_Length,Flag_Weight,Flag_Biomass
FCR,50,4/21/14,8.5,0,Tow,Bosmina,0.57615487,0.257178527,NA,NA,0,1,1
FCR,50,4/21/14,8.5,0,Tow,Chydorus,0.064017208,0.449438202,NA,NA,0,1,1
FCR,50,4/21/14,8.5,0,Tow,Cyclopoids,0.064017208,0.516853933,NA,NA,0,1,1
FCR,50,4/21/14,8.5,0,Tow,Diaptomus,0.128034416,0.662921348,NA,NA,0,1,1
FCR,50,4/21/14,8.5,0,Tow,D. ambigua,2.560688313,0.668539326,NA,NA,0,1,1
FCR,50,4/21/14,8.5,0,Tow,Ceriodaphnia,0,NA,NA,NA,1,1,1
FCR,50,4/21/14,8.5,0,Tow,Chaoborus,0,NA,NA,NA,1,1,1
FCR,50,4/21/14,8.5,0,Tow,Nauplii,2.688722729,NA,NA,NA,1,1,1
FCR,50,4/21/14,8.5,0,Tow,Total Rotifers,2.240602274,NA,NA,NA,1,1,1
FCR,50,4/28/14,4.5,0,Tow,Bosmina,0.70754717,0.239824222,0.430412495,0.304537143,0,0,0
FCR,50,4/28/14,4.5,0,Tow,Diaptomus,0.078616352,0.475248,0.458387893,0.036036784,0,0,0
FCR,50,4/28/14,4.5,0,Tow,D. ambigua,1.179245283,0.450165467,0.827475477,0.975796553,0,0,0
FCR,50,4/28/14,4.5,0,Tow,Cyclopoids,0.393081761,0.554456,1.38689499,0.545163125,0,0,0
FCR,50,4/28/14,4.5,0,Tow,Ceriodaphnia,0,NA,NA,NA,1,1,1
FCR,50,4/28/14,4.5,0,Tow,Chaoborus,0,NA,NA,NA,1,1,1
FCR,50,4/28/14,4.5,0,Tow,Chydorus,0,NA,NA,NA,1,1,1
FCR,50,4/28/14,4.5,0,Tow,Nauplii,8.726415094,NA,NA,NA,1,1,1
FCR,50,4/28/14,4.5,0,Tow,Total Rotifers,3.066037736,NA,NA,NA,1,1,1
FCR,50,4/28/14,8.5,0,Tow,Bosmina,0.277407901,0.242696629,0.422905813,0.117317414,0,0,0
FCR,50,4/28/14,8.5,0,Tow,Diaptomus,0.05548158,0.606741573,0.835984911,0.046381764,0,0,0
FCR,50,4/28/14,8.5,0,Tow,D. ambigua,0.665778961,0.599250936,1.700415848,1.132101097,0,0,0
FCR,50,4/28/14,8.5,0,Tow,Cyclopoids,0.332889481,0.5917603,2.237261303,0.744760753,0,0,0
FCR,50,4/28/14,8.5,0,Tow,Ceriodaphnia,0,NA,NA,NA,1,1,1
FCR,50,4/28/14,8.5,0,Tow,Chaoborus,0,NA,NA,NA,1,1,1
FCR,50,4/28/14,8.5,0,Tow,Chydorus,0,NA,NA,NA,1,1,1
FCR,50,4/28/14,8.5,0,Tow,Nauplii,5.492676431,NA,NA,NA,1,1,1
FCR,50,4/28/14,8.5,0,Tow,Total Rotifers,1.165113182,NA,NA,NA,1,1,1
FCR,50,5/5/14,4.5,0,Tow,Bosmina,0.817610063,0.194973538,0.251121433,0.205319411,0,0,0
FCR,50,5/5/14,4.5,0,Tow,Chydorus,0.188679245,0.244224667,0.624908233,0.117907214,0,0,0
FCR,50,5/5/14,4.5,0,Tow,Diaptomus,0.377358491,0.514852,0.645639147,0.243637414,0,0,0
FCR,50,5/5/14,4.5,0,Tow,Cyclopoids,1.320754717,0.4514856,0.814055937,1.075168219,0,0,0
FCR,50,5/5/14,4.5,0,Tow,D. ambigua,1.886792453,0.4900995,0.985203846,1.858875181,0,0,0
FCR,50,5/5/14,4.5,0,Tow,Ceriodaphnia,0,NA,NA,NA,1,1,1
FCR,50,5/5/14,4.5,0,Tow,Chaoborus,0,NA,NA,NA,1,1,1
FCR,50,5/5/14,4.5,0,Tow,Nauplii,6.729559748,NA,NA,NA,1,1,1
FCR,50,5/5/14,4.5,0,Tow,Total Rotifers,1.635220126,NA,NA,NA,1,1,1
FCR,50,5/5/14,8.5,0,Tow,Bosmina,0.665778961,0.237827715,0.425004709,0.282959194,0,0,0
FCR,50,5/5/14,8.5,0,Tow,Diaptomus,0.16644474,0.546816479,0.663475918,0.110432077,0,0,0
FCR,50,5/5/14,8.5,0,Tow,Chydorus,0.05548158,0.292134831,1.071176066,0.059430541,0,0,0
FCR,50,5/5/14,8.5,0,Tow,D. ambigua,2.829560586,0.53258427,1.241137134,3.511872716,0,0,0
FCR,50,5/5/14,8.5,0,Tow,Cyclopoids,0.554815801,0.543820225,1.437432332,0.797510171,0,0,0
FCR,50,5/5/14,8.5,0,Tow,Ceriodaphnia,0,NA,NA,NA,1,1,1
FCR,50,5/5/14,8.5,0,Tow,Chaoborus,0,NA,NA,NA,1,1,1
FCR,50,5/5/14,8.5,0,Tow,Nauplii,2.885042166,NA,NA,NA,1,1,1
FCR,50,5/5/14,8.5,0,Tow,Total Rotifers,0.943186862,NA,NA,NA,1,1,1
FCR,50,5/12/14,4.5,0,Tow,Diaptomus,0.062893082,0.415842,0.330044841,0.020757537,0,0,0
FCR,50,5/12/14,4.5,0,Tow,D. ambigua,0.691823899,0.424842909,0.718669303,0.497192599,0,0,0
FCR,50,5/12/14,4.5,0,Tow,Chydorus,0.062893082,0.277228,0.885432578,0.055687584,0,0,0
FCR,50,5/12/14,4.5,0,Tow,Cyclopoids,3.396226415,0.4306935,1.061403105,3.604765262,0,0,0
FCR,50,5/12/14,4.5,0,Tow,Bosmina,0,NA,NA,NA,1,1,1
FCR,50,5/12/14,4.5,0,Tow,Ceriodaphnia,0,NA,NA,NA,1,1,1
FCR,50,5/12/14,4.5,0,Tow,Chaoborus,0,NA,NA,NA,1,1,1
FCR,50,5/12/14,4.5,0,Tow,Nauplii,10.37735849,NA,NA,NA,1,1,1
FCR,50,5/12/14,4.5,0,Tow,Total Rotifers,6.918238994,NA,NA,NA,1,1,1
FCR,50,5/12/14,8.5,0,Tow,Bosmina,0.11096316,0.213483146,0.304541015,0.033792833,0,0,0
FCR,50,5/12/14,8.5,0,Tow,Cyclopoids,2.108300044,0.430337079,0.771801719,1.627189598,0,0,0
FCR,50,5/12/14,8.5,0,Tow,D. ambigua,0.998668442,0.526841448,1.163539691,1.16199037,0,0,0
