attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Reservoir	Three-letter code corresponding to sampled reservoir, BVR = Beaverdam Reservoir, FCR = Falling Creek Reservoir	categorical			NA	No data
Site	Sampling site within each reservoir, 49 = Littoral site southeast of deep site in Beaverdam Reservoir, 50 = Deep hole or site nearest to dam in each reservoir, 51 = Littoral site southwest of deep site in Beaverdam Reservoir	numeric	dimensionless		NA	No data
DateTime	Date and time of sampling. All data were collected in the eastern time zone of the U.S.A., with daylight savings time observed	Date		YYYY-MM-DD hh:mm:ss	NA	No data
StartDepth_m	Water depth where the start of the sample was collected	numeric	meter		NA	No data
EndDepth_m	Water depth where the sample collection ended	numeric	meter		NA	No data
Rep	Field replicate that distinguishes samples collected from the same site, depth, or general time	numeric	dimensionless		NA	No data
CollectionMethod	Method that was used to sample the zooplankton, either a vertical net tow or Schindler trap	categorical			NA	No data
InitialSampleVolume_mL	Sample volume after dilution or concentration	numeric	milliliter		NA	No data
Subsample	Alphabetical identifier to differentiate between aliquots taken from each sample	categorical			NA	No data
SubsampleVolume_mL	Volume of sample counted in each aliquot	numeric	milliliter		NA	No data
Zooplankton_No.	Number of zooplankton counted in each aliquot	numeric	dimensionless		NA	No data
