attributeName	code	definition
ColumnNumber	15	
ColumnNumber	16	
ColumnNumber	17	
ColumnNumber	27	
ColumnNumber	28	
ColumnNumber	29	
ColumnNumber	45	
ColumnNumber	46	
ColumnNumber	5	
ColumnNumber	9	
ColumnNumber	c(1:46)	
ColumnNumber	c(18:19)	
ColumnNumber	c(21:22)	
ColumnNumber	c(24:44)	
ColumnNumber	c(27:29)	
ColumnNumber	c(32:35)	
Flag	1	
Flag	2	
Flag	5	
Flag	6	
Flag	7	
FlagColumn	47	
FlagColumn	51	
FlagColumn	57	
FlagColumn	58	
FlagColumn	59	
FlagColumn	67	
FlagColumn	68	
FlagColumn	69	
FlagColumn	71	
FlagColumn	85	
FlagColumn	86	
FlagColumn	c(46:86)	
FlagColumn	c(47:86)	
FlagColumn	c(60:61)	
FlagColumn	c(63:64)	
FlagColumn	c(66:84)	
FlagColumn	c(67:69)	
FlagColumn	c(72:75)	
Parameter	All_BVR	
Parameter	c(EXOChla:EXOBGAPC)	
Parameter	c(EXOSpCond:EXOTDS)	
Parameter	Cond*	
Parameter	EXO*	
Parameter	EXODOsat	
Parameter	Lvl_psi	
Parameter	RDO_13	
Parameter	RDO_6	
Parameter	SpCond*	
Parameter	TDS*	
Parameter	wtr_1	
Parameter	wtr_11	
Parameter	wtr_12	
Parameter	wtr_13	
Parameter	wtr_5	
Parameter	wtr_pt_13	
Reservoir	BVR	
Station	BVR	
