attributeName	code	definition
Flag_EXObat_1	0	no flag
Flag_EXObat_1	1	value removed due to maintenance and set to NA
Flag_EXObat_1	7	missing data
Flag_EXObat_9	0	no flag
Flag_EXObat_9	1	value removed due to maintenance and set to NA
Flag_EXObat_9	7	missing data
Flag_EXOcab_1	0	no flag
Flag_EXOcab_1	1	value removed due to maintenance and set to NA
Flag_EXOcab_1	7	missing data
Flag_EXOcab_9	0	no flag
Flag_EXOcab_9	1	value removed due to maintenance and set to NA
Flag_EXOcab_9	7	missing data
Flag_EXOChla_RFU_1	0	no flag
Flag_EXOChla_RFU_1	1	value removed due to maintenance and set to NA
Flag_EXOChla_RFU_1	2	"negative or outlier value removed and set to NA, see Methods section for more detail on QAQC process"
Flag_EXOChla_RFU_1	5	questionable value but left in dataset 
Flag_EXOChla_RFU_1	7	missing data
Flag_EXOChla_ugL_1	1	value removed due to maintenance and set to NA
Flag_EXOChla_ugL_1	5	questionable value but left in dataset 
Flag_EXOChla_ugL_1	7	missing data
Flag_EXOCond_1	0	no flag
Flag_EXOCond_1	1	value removed due to maintenance and set to NA
Flag_EXOCond_1	7	missing data
Flag_EXOCond_9	0	no flag
Flag_EXOCond_9	1	value removed due to maintenance and set to NA
Flag_EXOCond_9	7	missing data
Flag_EXOdep_1	0	no flag
Flag_EXOdep_1	1	value removed due to maintenance and set to NA
Flag_EXOdep_1	7	missing data
Flag_EXOdep_9	0	no flag
Flag_EXOdep_9	1	value removed due to maintenance and set to NA
Flag_EXOdep_9	7	missing data
Flag_EXODO_obs_1	0	no flag
Flag_EXODO_obs_1	1	value removed due to maintenance and set to NA
Flag_EXODO_obs_1	7	missing data
Flag_EXODO_obs_9	0	no flag
Flag_EXODO_obs_9	1	value removed due to maintenance and set to NA
Flag_EXODO_obs_9	7	missing data
Flag_EXODO_sat_1	0	no flag
Flag_EXODO_sat_1	1	value removed due to maintenance and set to NA
Flag_EXODO_sat_1	7	missing data
Flag_EXODO_sat_9	0	no flag
Flag_EXODO_sat_9	1	value removed due to maintenance and set to NA
Flag_EXODO_sat_9	7	missing data
Flag_EXOfDOM_1	0	no flag
Flag_EXOfDOM_1	1	value removed due to maintenance and set to NA
Flag_EXOfDOM_1	2	"negative or outlier value removed and set to NA, see Methods section for more detail on QAQC process"
Flag_EXOfDOM_1	7	missing data
Flag_EXOfDOM_9	0	no flag
Flag_EXOfDOM_9	1	value removed due to maintenance and set to NA
Flag_EXOfDOM_9	2	"negative or outlier value removed and set to NA, see Methods section for more detail on QAQC process"
Flag_EXOfDOM_9	7	missing data
Flag_EXOPhyco_RFU_1	0	no flag
Flag_EXOPhyco_RFU_1	1	value removed due to maintenance and set to NA
Flag_EXOPhyco_RFU_1	2	"negative or outlier value removed and set to NA, see Methods section for more detail on QAQC process"
Flag_EXOPhyco_RFU_1	3	3: negative values set to 0
Flag_EXOPhyco_RFU_1	7	missing data
