attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Reservoir	Three-letter code corresponding to sampled reservoir; CCR=Carvins Cove Reservoir	character			NA	value is missing
Site	Sampling site within each reservoir; 51=Site nearest to the dam in the reservoir, attached to the platform 	numeric	dimensionless		NA	value is missing
DateTime	Date and time of sampling. All data were collected in the eastern time zone of the U.S.A., with daylight savings time not observed, GMT -5	Date		YYYY-MM-DD hh:mm:ss	NA	value is missing
ThermistorTemp_C_1	water temperature measured by thermistor at position 1 (position closest to surface when reservoir is at full pond)	numeric	celsius		NA	value is missing
ThermistorTemp_C_2	water temperature measured by thermistor at position 2 (1 meter below thermistor 1)	numeric	celsius		NA	value is missing
ThermistorTemp_C_3	water temperature measured by thermistor at position 3 (2 meters below thermistor 1)	numeric	celsius		NA	value is missing
ThermistorTemp_C_4	water temperature measured by thermistor at position 4 (3 meters below thermistor 1)	numeric	celsius		NA	value is missing
ThermistorTemp_C_5	water temperature measured by thermistor at position 5 (4 meters below thermistor 1)	numeric	celsius		NA	value is missing
ThermistorTemp_C_6	water temperature measured by thermistor at position 6 (5 meters below thermistor 1)	numeric	celsius		NA	value is missing
ThermistorTemp_C_7	water temperature measured by thermistor at position 7 (6 meters below thermistor 1)	numeric	celsius		NA	value is missing
ThermistorTemp_C_8	water temperature measured by thermistor at position 8 (7 meters below thermistor 1)	numeric	celsius		NA	value is missing
ThermistorTemp_C_9	water temperature measured by thermistor at position 9 (8 meters below thermistor 1)	numeric	celsius		NA	value is missing
ThermistorTemp_C_10	water temperature measured by thermistor at position 10 (10 meters below thermistor 1)	numeric	celsius		NA	value is missing
ThermistorTemp_C_11	water temperature measured by thermistor at position 11 (11 meters below thermistor 1)	numeric	celsius		NA	value is missing
ThermistorTemp_C_12	water temperature measured by thermistor at position 12 (15 meters below thermistor 1)	numeric	celsius		NA	value is missing
ThermistorTemp_C_13	water temperature measured by thermistor at position 13 (19 meters below thermistor 1)	numeric	celsius		NA	value is missing
EXOTemp_C_1	water temperature at 1.5 m as measured by the EXO2 Sonde	numeric	celsius		NA	value is missing
EXOCond_uScm_1	Conductivity at 1.5 m as measured by the EXO2 Sonde	numeric	microSiemensPerCentimeter		NA	value is missing
EXOSpCond_uScm_1	Specific conductance at 1.5 m as measured by the EXO2 Sonde	numeric	microSiemensPerCentimeter		NA	value is missing
EXOTDS_mgL_1	Total Dissolved Solids (TDS) at 1.5 m as measured by the EXO Sonde as measured by the EXO2 Sonde	numeric	milligramsPerLiter		NA	value is missing
EXODOsat_percent_1	Dissolved Oxygen percent saturation at 1.5 m as measured by the EXO2 Sonde	numeric	dimensionless		NA	value is missing
EXODO_mgL_1	Dissolved Oxygen at 1.5 m as measured by the EXO2 Sonde	numeric	milligramsPerLiter		NA	value is missing
EXOChla_RFU_1	Total Chlorophyll a at 1.5 m as measured by the EXO2 Sonde	numeric	RelativeFluorescenceUnits		NA	value is missing
EXOChla_ugL_1	Total Chlorophyll a in at 1.5 m as measured by the EXO2 Sonde	numeric	microgramsPerLiter		NA	value is missing
EXOBGAPC_RFU_1	Blue-Green Algae phycocyanin at 1.5 m as measured by the EXO2 Sonde	numeric	RelativeFluorescenceUnits		NA	value is missing
EXOBGAPC_ugL_1	Blue-Green Algae phycocyanin at 1.5 m as measured by the EXO2 Sonde	numeric	microgramsPerLiter		NA	value is missing
EXOfDOM_RFU_1	Fluorescent Dissolved Organic Matter at 1.5 m as measured by the EXO2 Sonde	numeric	RelativeFluorescenceUnits		NA	value is missing
EXOfDOM_QSU_1	Fluorescent Dissolved Organic Matter at 1.5 m as measured by the EXO2 Sonde	numeric	QuinineSulfateUnits		NA	value is missing
EXOPressure_psi_1	Gauge pressure of EXO2 sonde at 1.5 m	numeric	psig		NA	value is missing
EXODepth_m_1	Depth of the EXO sonde at 1.5 m measured by the EXO2 sonde.	numeric	meter		NA	value is missing
EXOBattery_V_1	Voltage of the EXO2 sonde at 1.5 m internal batteries.	numeric	volt		NA	value is missing
EXOCablepower_V_1	Measure of power being used by the cable connected to the CR3000 datalogger as measured by the EXO2 sonde at 1.5 m.	numeric	volt		NA	value is missing
EXOWiper_V_1	Wiper brush cleaning system activation signal as measured by the EXO sonde at 1.5 m	numeric	volt		NA	value is missing
EXOTemp_C_9	water temperature at 9 m as measured by the EXO3 Sonde	numeric	celsius		NA	value is missing
EXOCond_uScm_9	Conductivity at 9 m as measured by the EXO3 Sonde	numeric	microSiemensPerCentimeter		NA	value is missing
EXOSpCond_uScm_9	Specific conductance at 9 m as measured by the EXO3 Sonde	numeric	microSiemensPerCentimeter		NA	value is missing
EXOTDS_mgL_9	Total Dissolved Solids (TDS) at 9 m as measured by the EXO3 Sonde	numeric	milligramsPerLiter		NA	value is missing
EXODOsat_percent_9	Dissolved Oxygen percent saturation at 9 m as measured by the EXO3 Sonde	numeric	dimensionless		NA	value is missing
EXODO_mgL_9	Dissolved Oxygen at 9 m as measured by the EXO3 Sonde	numeric	milligramsPerLiter		NA	value is missing
EXOfDOM_RFU_9	Fluorescent Dissolved Organic Matter in RFU at 9 m as measured by the EXO3 Sonde	numeric	RelativeFluorescenceUnits		NA	value is missing
EXOfDOM_QSU_9	Fluorescent Dissolved Organic Matter in QSU at 9 m as measured by the EXO3 Sonde	numeric	QuinineSulfateUnits		NA	value is missing
EXOPressure_psi_9	Gauge pressure of EXO3 sonde at 9 m	numeric	psig		NA	value is missing
EXODepth_m_9	Depth of the EXO sonde at 9 m measured by the EXO3 sonde	numeric	meter		NA	value is missing
EXOBattery_V_9	Voltage of the EXO3 sonde at 9 m internal batteries	numeric	volt		NA	value is missing
EXOCablepower_V_9	Measure of power being used by the cable connected to the CR3000 datalogger as measured by the EXO3 sonde at 9 m.	numeric	volt		NA	value is missing
EXOWiper_V_9	Wiper brush cleaning system activation signal as measured by the EXO sonde at 9 m	numeric	volt		NA	value is missing
LvlPressure_psi_13	Gauge pressure of EXO sonde at position 13, measured relative to ambient atmospheric pressure	numeric	psig		NA	value is missing
LvlDepth_m_13	Depth of the pressure sensor at position 13 in meters calculated by LvlPressure_psi_0m_13 * 0.70455	numeric	meter		NA	value is missing
LvlTemp_C_13	water temperature at position 13 as measured by the water level logger	numeric	celsius		NA	value is missing
RECORD	Number of observations that changes when the program is restarted	numeric	number		NA	value is missing
CR3000Battery_V	The volts in the rechargeable battery for the CR3000 datalogger	numeric	volt		NA	value is missing
CR3000Panel_Temp_C	Temperature measured from the sensor inside the CR3000 datalogger	numeric	celsius		NA	value is missing
Flag_ThermistorTemp_C_1	Data flag for temperature data at position 1 (ThermistorTemp_C_1)	categorical 			NA	value is missing
