keyword	keywordThesaurus		
Carey Lab	carey lab controlled vocabulary		
greenhouse gas	carey lab controlled vocabulary		
reservoir	cuahsi controlled vocabulary		
reservoirs	carey lab controlled vocabulary	 	
methane	lter controlled vocabulary		
carbon dioxide	lter controlled vocabulary		
Virginia Tech	carey lab controlled vocabulary		
lake	cuahsi controlled vocabulary		
lakes	lter controlled vocabulary		
Western Virginia Water Authority	carey lab controlled vocabulary		
Falling Creek Reservoir	carey lab controlled vocabulary		
gas flux	lter controlled vocabulary		
heat flux	lter controlled vocabulary		
eddy covariance	lter controlled vocabulary		
fluxes	lter controlled vocabulary		
meteorology	lter controlled vocabulary		
eddy flux	carey lab controlled vocabulary		
FCR	carey lab controlled vocabulary		
LTREB	carey lab controlled vocabulary		
Virginia Reservoirs	carey lab controlled vocabulary		
Virginia Reservoirs LTREB	carey lab controlled vocabulary		
eddy-flux	carey lab controlled vocabulary		 
FCR flux system	carey lab controlled vocabulary		
