attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Reservoir	Three-letter code corresponding to sampled reservoir; FCR = Falling Creek Reservoir; BVR = Beaverdam Reservoir	character			NA	value is missing
Site	Sampling site (see site_descriptions.csv for more information)	numeric	dimensionless		NA	value is missing
DateTime	"Date and time of sampling. All data were collected in the eastern time zone of the U.S.A., with daylight savings time observed"	Date		YYYY-MM-DD hh:mm:ss	NA	value is missing
Depth_m	Water depth where the sample was collected	numeric	meter		NA	value is missing
Rep	"Field replicates collected at the same site, date, and depth"	numeric	dimensionless		NA	value is missing
CH4_umolL	Dissolved methane concentration	numeric	micromolePerLiter		NA	value is missing
CO2_umolL	Dissolved carbon dioxide concentration	numeric	micromolePerLiter		NA	value is missing
Flag_DateTime	Flag value for DateTime; 0 = Time recorded; 1 = Time not recorded and set to 12:00	numeric	dimensionless		NA	value is missing
Flag_CH4_umolL	Flag value for methane concentration; 0 = the samples and replicates are good; 1 = Sample was either not collected or was not retained due to issues with the GC; 2 = Sample was below the method detection limit; 3 = Sample value was negative and changed to zero; 4 = The difference between the reps are above the limit of quantification and >30% and <50% different from each other. Both replicates were retained but flagged; 5 = The difference between the reps are above the limit of quantification and >50% different from each other. Both replicates were retained but flagged	numeric	dimensionless		NA	value is missing
Flag_CO2_umolL	Flag value for carbon dioxide concentration; 0 = the samples and replicates are good; 1 = Sample was either not collected or was not retained due to issues with the GC; 2 = Sample was below the method detection limit; 3 = Sample value was negative and changed to zero; 4 = The difference between the reps are above the limit of quantification and >30% and <50% different from each other. Both replicates were retained but flagged; 5 = The difference between the reps are above the limit of quantification and >50% different from each other. Both replicates were retained but flagged	numeric	dimensionless		NA	value is missing
