attributeName	code	definition
Flag_Cumulative_flow_L	0	no issues
Flag_Concentration_mgL	0	no issues
Flag_Cumulative_flow_L	1	sample not taken
Flag_Concentration_mgL	1	sample not taken
Flag_Cumulative_flow_L	2	over 10% of observations were over top of weir 
Flag_Concentration_mgL	3	sample below MRL and set to MRL 
Flag_Cumulative_flow_L	4	more than 60 missing water level observations
Flag_Concentration_mgL	6	non-standard method 
Flag_Concentration_mgL	7	sample run multiple times and values averaged
Flag_Concentration_mgL	8	abnormally high concentration that is greater than 3 sd above the mean but is kept in the dataset
Flag_Concentration_mgL	68	non-standard method and abnormally high concentration that is greater than 3 sd above the mean but is kept in the dataset
Reservoir	FCR	Falling Creek Reservoir
Site	100.1	Inflow stream site on Tunnel Branch primary inflow to Falling Creek Reservoir; where ISCO is located
Element_name	TN_mgL	Total nitrogen
Element_name	TP_mgL	Total phosphorus
Element_name	TLi_mgL	Total lithium
Element_name	TNa_mgL	Total sodium
Element_name	TMg_mgL	Total magnesium 
Element_name	TAl_mgL	Total aluminum 
Element_name	TSi_mgL 	Total silicon 
Element_name	TK_mgL	Total potassium 
Element_name	TCa_mgL	Total calcium 
Element_name	TFe_mgL	Total iron 
Element_name	TMn_mgL	Total manganese
Element_name	TCu_mgL	Total copper
Element_name	TSr_mgL	Total strontium 
Element_name	TBa_mgL	Total barium 
Flag_Load_kg	0	no issues
Flag_Load_kg	11	sample not taken for either cumulative flow nor concentration
Flag_Load_kg	17	sample not taken for cumulative flow and concentration sample run multiple times and values averaged
Flag_Load_kg	13	sample not taken for cumulative flow and concentration below MRL and set to MRL 
Flag_Load_kg	10	sample not taken for cumulative flow and no issues with concentration
Flag_Load_kg	16	sample not taken for cumulative flow and non-standard method for concentration
Flag_Load_kg	163	"sample not taken for cumulative flow, non-standard method and sample below MRL and set to MRL for concentration"
Flag_Load_kg	6	non-standard method for concentration
Flag_Load_kg	3	sample below MRL and set to MRL 
Flag_Load_kg	63	non-standard method and sample below MRL and set to MRL 
Flag_Load_kg	463	more than 60 missing water level obervations for cumulative flow and non-standard method and sample below MRL and set to MRL for concentration
Flag_Load_kg	46	more than 60 missing water level observations and non-standard method for concentration
Flag_Load_kg	40	more than 60 missing water level observations and no issues with concentration
Flag_Load_kg	43	more than 60 missing water level observations and sample below MRL and set to MRL
Flag_Load_kg	41	more than 60 missing water level observations and concentration sample not taken
Flag_Load_kg	1	no issues with cumulative flow and sample not taken for concentration
Flag_Load_kg	168	"no issues with cumulative flow, non-standard method, and abnormally high concentration that is greater than 3 sd above the mean but is kept in the dataset"
Flag_Load_kgD	0	no issues
Flag_Load_kgD	11	sample not taken for either cumulative flow nor concentration
Flag_Load_kgD	17	sample not taken for cumulative flow and concentration sample run multiple times and values averaged
Flag_Load_kgD	13	sample not taken for cumulative flow and concentration below MRL and set to MRL 
Flag_Load_kgD	10	sample not taken for cumulative flow and no issues with concentration
Flag_Load_kgD	16	sample not taken for cumulative flow and non-standard method for concentration
Flag_Load_kgD	163	"sample not taken for cumulative flow, non-standard method and sample below MRL and set to MRL for concentration"
Flag_Load_kgD	6	non-standard method for concentration
Flag_Load_kgD	3	sample below MRL and set to MRL 
Flag_Load_kgD	63	non-standard method and sample below MRL and set to MRL 
Flag_Load_kgD	463	more than 60 missing water level obervations for cumulative flow and non-standard method and sample below MRL and set to MRL for concentration
Flag_Load_kgD	46	more than 60 missing water level observations and non-standard method for concentration
Flag_Load_kgD	40	more than 60 missing water level observations and no issues with concentration
Flag_Load_kgD	43	more than 60 missing water level observations and sample below MRL and set to MRL
Flag_Load_kgD	41	more than 60 missing water level observations and concentration sample not taken
Flag_Load_kgD	1	no issues with cumulative flow and sample not taken for concentration
Flag_Load_kgD	168	"no issues with cumulative flow, non-standard method, and abnormally high concentration that is greater than 3 sd above the mean but is kept in the dataset"
