"","Reservoir","Site","Depth_m","Filter","DataStream","Sample_ID","Sample_Date","start_parameter","end_parameter","flag","notes"
"1","FCR",100.1,0.1,"T","Metals",29,2020-03-24,"Li_mgL","Ba_mgL",10,"Sample was originally labelled; '03/24/2020 - 29 (decant)'; name was edited for ease of automation"
"2","FCR",100.1,0.1,"T","Metals",30,2020-03-24,"Li_mgL","Ba_mgL",10,"Sample was originally labelled; '03/24/2020 - 30 (decant)'; name was edited for ease of automation"
"3","FCR",100.1,0.1,"T","Metals",29,2022-04-19,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"4","FCR",100.1,0.1,"T","Metals",30,2022-04-19,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"5","FCR",100.1,0.1,"T","Metals",29,2022-05-02,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"6","FCR",100.1,0.1,"T","Metals",29,2022-05-09,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"7","FCR",100.1,0.1,"T","Metals",30,2022-05-09,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"8","FCR",100.1,0.1,"T","Metals",29,2022-05-17,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"9","FCR",100.1,0.1,"T","Metals",30,2022-05-17,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"10","FCR",100.1,0.1,"T","Metals",29,2022-05-23,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"11","FCR",100.1,0.1,"T","Metals",30,2022-05-23,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"12","FCR",100.1,0.1,"T","Metals",29,2022-06-07,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
