attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Reservoir	Three-letter code corresponding to sampled reservoir; FCR = Falling Creek Reservoir	character			NA	value is missing
Site	Sampling site within each reservoir; 100 = Inflow stream of Falling Creek Reservoir	numeric	dimensionless		NA	value is missing
DateTime	Date and time of sampling. All data were collected in the Eastern Standard Time zone of the U.S.A.	Date		YYYY-MM-DD hh:mm:ss	NA	value is missing
WVWA_Pressure_psi	Uncorrected pressure measured by the WVWA INW sensor at the weir	numeric	poundsPerSquareInch		NA	value is missing
WVWA_Baro_pressure_psi	Atmospheric pressure measured by WVWA INW sensor at the dam of Falling Creek Reservoir	numeric	poundsPerSquareInch		NA	value is missing
WVWA_Pressure_psia	Corrected pressure (with atmospheric pressure subtracted) measured by WVWA INW sensor at the weir	numeric	poundsPerSquareInch		NA	value is missing
WVWA_Flow_cms	Discharge flow rate derived from the WVWA pressure measured at the weir and weir rating curve. For 15 May 2013 - 6 June 2019 (rectangular weir) see Gerling et al. 2014 for equations. For 7 June 2019 - present (v-notch weir), see equations in metadata.	numeric	cubicMetersPerSecond		NA	value is missing
WVWA_Temp_C	Water temperature measured at the weir entering the reservoir by WVWA	numeric	celsius		NA	value is missing
VT_Pressure_psia	Corrected pressure (with atmospheric pressure subtracted) by VT sensor	numeric	poundsPerSquareInch		NA	value is missing
VT_Flow_cms	Discharge flow rate derived from the VT pressure measured at the weir and weir rating curve. For 22 April 2019 - 6 June 2019 (rectangular weir) see Gerling et al. 2014 for equations. For 7 June 2019 - present (v-notch weir), see equations in metadata.	numeric	cubicMetersPerSecond		NA	value is missing
VT_Temp_C	Water temperature measured at the weir entering the reservoir by VT sensor	numeric	celsius		NA	value is missing
Flag_WVWA_Pressure_psi	Data flag for WVWA_Pressure_psi 	categorical	dimensionless		NA	value is missing
Flag_WVWA_Baro_pressure_psi	Data flag for  WVWA_Baro_pressure_psi	categorical	dimensionless		NA	value is missing
Flag_WVWA_Pressure_psia	Data flag for  WVWA_Pressure_psia	categorical	dimensionless		NA	value is missing
Flag_WVWA_Flow_cms	Data flag for  WVWA_Flow_cms	categorical	dimensionless		NA	value is missing
Flag_WVWA_Temp_C	Data flag for  WVWA_Temp_C	categorical	dimensionless		NA	value is missing
Flag_VT_Pressure_psia	Data flag for  VT_Pressure_psia	categorical	dimensionless		NA	value is missing
Flag_VT_Flow_cms	Data flag for  VT_Flow_cms	categorical	dimensionless		NA	value is missing
Flag_VT_Temp_C	Data flag for  VT_Temp_C	categorical	dimensionless		NA	value is missing
