Sensor,Start,End,Slope,Intercept,Low_psi,High_psi
WVWA_Flow_cms,2013-05-15 15:00:00,2019-06-07,NA,NA,0.184,0.611
WVWA_Flow_cms,2019-06-07 00:15:00,2020-08-24 13:00:00,63.1630089556174,-8.701,0.138,0.573
VT_Flow_cms,2019-06-07 00:15:00,2020-08-24 13:00:00,70.639726614463,-5.663,0.08,0.469
WVWA_Flow_cms,2020-08-24 15:00:00,2020-09-02 13:15:00,53.1914893617015,-1.085,0.02,0.537
VT_Flow_cms,2020-08-24 15:00:00,2020-09-02 13:15:00,58.139534883721,2.93,-0.05,0.423
WVWA_Flow_cms,2020-09-02 13:45:00,2021-11-08 13:45:00,69.0210614944878,0.812,-0.012,0.387
VT_Flow_cms,2020-09-02 13:45:00,2021-11-08 13:45:00,71.9930609097918,5.801,-0.081,0.301
WVWA_Flow_cms,2021-11-08 14:00:00,2022-05-09 13:15:00,84.5208158703564,-6.381,0.075,0.401
VT_Flow_cms,2021-11-08 14:00:00,2022-05-09 13:15:00,84.8623853211009,1.719,-0.02,0.304
VT_Flow_cms,2022-05-09 13:20:00,2022-11-16 16:38:00,71.6103020434657,2.413,-0.034,0.35
WVWA_Flow_cms,2022-05-09 14:15:00,2023-06-05 11:30:00,72.8922027983327,-5.22,0.072,0.449
VT_Flow_cms,2022-11-16 17:15:00,2023-04-01,76.0233918128655,1.032,-0.014,0.348
WVWA_Flow_cms,2023-06-05 12:30:00,2023-07-10 14:30:00,10.5263157894738,7.453,-0.708,1.904
VT_Flow_cms,2023-06-05 12:30:00,2023-07-10 15:00:00,No observations,NA,NA,NA
WVWA_Flow_cms,2023-07-10 14:45:00,2023-07-13 08:45:00,125.000000000017,-25.5,0.204,0.424
VT_Flow_cms,2023-07-10 15:15:00,2023-07-13 08:45:00,83.3333333333341,-13.833,0.166,0.496
WVWA_Flow_cms,2023-07-13 09:00:00,2023-08-07 09:00:00,76.9230769230677,-16.077,0.209,0.567
VT_Flow_cms,2023-07-17 13:15:00,2023-08-07 09:00:00,142.857142857144,-28.857,0.202,0.394
WVWA_Flow_cms,2023-08-21 13:15:00,2024-12-31 23:45:00,47.3730415991361,1.23,-0.026,0.555
VT_Flow_cms,2023-08-14 12:45:00,2024-12-31 23:45:00,68.4821878023863,-6.985,0.102,0.504
