Date,Reservoir,Depth_m,AvgSedFlux_gm2d,TLiFlux_gm2d,TNaFlux_gm2d,TMgFlux_gm2d,TAlFlux_gm2d,TKFlux_gm2d,TCaFlux_gm2d,TFeFlux_gm2d,TMnFlux_gm2d,TCuFlux_gm2d,TSrFlux_gm2d,TBaFlux_gm2d,TOCFlux_gm2d,TNFlux_gm2d,Flag_AvgSedFlux_gm2d,Flag_TLiFlux_gm2d,Flag_TNaFlux_gm2d,Flag_TMgFlux_gm2d,Flag_TAlFlux_gm2d,Flag_TKFlux_gm2d,Flag_TCaFlux_gm2d,Flag_TFeFlux_gm2d,Flag_TMnFlux_gm2d,Flag_TCuFlux_gm2d,Flag_TSrFlux_gm2d,Flag_TBaFlux_gm2d,Flag_TOCFlux_gm2d,Flag_TNFlux_gm2d
2018-05-21,FCR,4,1.7654460677796533,NA,0.00975264937800413,0.00639681615306242,0.108606897287005,0.0070249978992481,0.0444711982356568,0.125143903963804,0.00913462107571267,1.84519998373633e-4,1.5247527891309e-4,0.00134584620749198,0.234555969404573,0.142093976366505,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2018-05-28,FCR,8,1.467069124380918,NA,0.010700544896185,0.00566822123218107,0.0720262528231421,0.00609566830271918,0.026451233048849,0.140694938731764,0.0168234312112592,1.60493334765169e-4,9.31377291161456e-5,0.00117555432646658,0.192775376953825,0.177042696413309,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2018-06-04,FCR,4,3.7140905968220332,NA,0.0125569854740327,0.00884441931256013,0.117406142097683,0.00870003997519204,0.0341894395439489,0.267091749929247,0.0260145882040992,2.55206142884395e-4,1.33661970183882e-4,0.00212557674300719,0.458813003280644,0.263435729197733,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2018-06-11,FCR,8,2.6042132304027366,NA,0.0150883981799906,0.00632894347038791,0.0917950956862388,0.00838554752908506,0.0363261990147301,0.345039128205228,0.0300147745350163,3.10191382160815e-4,1.27286259876448e-4,0.00180205102401908,0.416503028173381,0.199437182012266,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2018-06-25,FCR,4,0.7532804461339622,NA,0.0148964096640295,0.00335396228257016,0.0453686028554494,0.00599359487292258,0.0560307141851206,0.116435828324782,0.00989738430877767,6.72687233548749e-5,1.66547350518125e-4,9.6702682738415e-4,0.186115789673298,0.0984020866483125,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2018-06-25,FCR,8,1.8232053525707768,NA,0.0208564712499035,0.00413167986663035,0.0492766706081579,0.00818714260733559,0.0583162046411958,0.422755969206602,0.0727369797121545,2.43241939803848e-4,1.89711719185624e-4,0.00304253759065682,0.359389038634322,0.348884974874655,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2018-07-02,FCR,4,1.0919141422045555,NA,0.0200653210455008,0.00328640524210064,0.0279977461357597,0.00714430937468914,0.0539044815619599,0.136325463949644,0.0120858265074298,6.3867248692609e-5,1.64601477614779e-4,0.00136511115618789,0.262133412864102,0.388786161646287,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2018-07-09,FCR,8,1.732761555308529,NA,0.0185896368580053,0.00270408725245281,0.0280700367750106,0.0063733951425116,0.0533928343420483,0.29949469906623,0.0679050829035762,1.12760660649658e-4,1.5926386745378e-4,0.00204772038101943,0.338592305398151,0.236415150611393,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2018-07-16,FCR,4,0.9654021664337284,NA,0.022249624788824,0.00347844628185501,0.02801969353838,0.00773538700777593,0.0702430153455994,0.130012850534241,0.0107510021985777,5.02397849817222e-5,2.08951377320037e-4,0.00126023817658242,0.269410478178745,0.386519534745005,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2018-07-23,FCR,8,3.287883043441752,NA,0.0266458568086744,0.00396485811665732,0.0312579576650541,0.00941508540741299,0.0671119067947568,0.772741692201822,0.0995108635124093,1.83761711875421e-4,2.22550040181101e-4,0.00418466694529553,0.552526501408679,0.589821026815575,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2018-08-02,BVR,8,2.469672553922512,NA,0.0293105142192351,0.00397068235949392,0.0547453494611423,0.00926354700310626,0.107011178490141,0.574447576747836,0.00418147539751185,6.41902612892821e-5,3.12794093813206e-4,0.00230794824969675,0.395648283821108,0.348552237451212,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2018-08-13,FCR,8,1.4747198985194827,NA,0.0139553975100792,0.00164828396987177,0.0139757315577988,0.00444023966228118,0.0376958732650128,0.31960421983783,0.0107906685963919,3.84726802176315e-5,1.20601199921634e-4,0.00202815185787878,0.297284483088241,0.339152844372051,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2018-08-20,FCR,4,0.8884344100861127,NA,0.00643287269467192,0.0011215243414173,0.00704368770655351,0.00259531137733215,0.015109812014031,0.088165748973436,0.00441433167836734,2.74866597353775e-5,4.80399828101123e-5,4.99285934029832e-4,0.179073197862342,0.181910511764374,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2018-08-27,FCR,8,3.3790635252013126,NA,0.0354585361090835,0.00445674185706638,0.0326585347758419,0.0110621846983089,0.0958802207095324,1.15258171073974,0.0154701573609151,1.26246750063923e-4,2.8749547424577e-4,0.0022843750699504,0.5530897118764,0.37999333345029,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2018-09-03,FCR,4,1.0842978777624352,NA,0.0266728505593778,0.00447153547410916,0.0433257212187741,0.00854683740954951,0.127743407845325,0.179158706009367,0.0111899286608935,4.60880383934739e-5,3.59470155926932e-4,0.00148148434979596,0.327518345984046,0.314916639713017,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2018-09-07,BVR,4,1.911475590338994,NA,0.0271973961975887,0.00384879552814025,0.0404085422880652,0.0110609332894414,0.0885240963281971,0.796821887151357,0.00564683277225371,2.04282624638886e-5,2.61803528994728e-4,0.00182603269037529,0.651074689864153,0.322236210935633,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2018-09-07,BVR,8,1.0499860974774218,NA,0.013427334006754,0.00323862275899924,0.0365211891797157,0.00515905093837654,0.100193708204001,0.0675205875866071,0.0243709802713042,8.17073161068659e-6,2.84251881156652e-4,0.00260910187357681,NA,NA,3,2,1,1,1,1,1,1,1,1,1,1,2,2
2018-09-10,FCR,8,16.097333425099603,NA,0.0455377806698,0.00783976220181157,0.0544526096996843,0.0150291939380404,0.16824080037384,2.97846242360705,0.0183690482760211,1.8866575386155e-4,5.15872520580545e-4,0.00347831736660352,NA,NA,3,2,1,1,1,1,1,1,1,1,1,1,2,2
2018-09-21,BVR,4,2.1433251483100255,NA,0.0216625048442698,0.00547767904935417,0.0833478428944122,0.00987844746021211,0.0778148221025434,0.164471676117411,0.0429806450617397,1.85810371672238e-5,2.45119230912045e-4,0.00318919181177334,0.478313087916428,0.332497722894383,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2018-09-21,BVR,8,2.8780196838651957,NA,0.0407622020135396,0.00567982438088028,0.0706837602161591,0.0136121657164288,0.13691469085564,0.785943327381698,0.00661086935869839,7.56400677228665e-5,7.89680949743121e-4,0.00298101328296649,NA,NA,3,2,1,1,1,1,1,1,1,1,1,1,2,2
2018-10-05,BVR,4,1.054418465934707,NA,0.0165459804893955,0.00371334936248766,0.0645011418348513,0.00662280876257579,0.081356812429607,0.0931578580115131,0.0245414375260958,1.22536935127314e-5,2.40039705730462e-4,0.00174291715983297,0.293319415448852,0.290008947211452,3,2,1,1,1,1,1,1,1,1,1,1,1,1
2018-10-05,BVR,8,6.1192930868356425,NA,0.0288089177222905,0.00441560660607084,0.0687551532169711,0.0102670677946403,0.089258002744692,0.846082928708658,0.00525665309627178,1.77106472637581e-5,2.66068734769324e-4,0.00230909974499834,0.576154088933545,0.521717980420374,3,2,1,1,1,1,1,1,1,1,1,1,1,1
