No. ,Hole  Pos.,Weight  [mg],Name  ,Method  ,N  Area,C  Area,N  [%],C  [%],N  Factor,C  Factor,N  Blank,C  Blank,C/N  ratio,Memo  ,Info  ,Date,Time,
1,1,50,machine blank,blank,0,161,0,0.062,1,1,0,0,0,,Nnp,Cu,2/10/22,3:44:07 PM
2,2,50,machine blank,blank,90,4215,0.056,2.529,1,1,0,0,45.3961,,,2/10/22,3:51:37 PM,
3,3,50,crucible blank,very low,76,159,0.045,0.061,1,1,0,0,1.3681,,Cu,2/10/22,4:02:13 PM,
4,4,10.5,RunIn,very low,3417,12488,11.627,36.687,1,1,0,0,3.1553,,,2/10/22,4:12:49 PM,
5,5,9.82,aspartic acid,very low,3198,11876,10.52,36.06,0.9007,0.9661,0,0,3.4278,,,2/10/22,4:23:25 PM,
6,6,10.48,aspartic acid,very low,3339,12333,10.52,36.06,0.9227,0.9932,0,0,3.4278,,,2/10/22,4:34:07 PM,
7,7,10.63,aspartic acid,very low,3354,12669,10.52,36.06,0.9321,0.981,0,0,3.4278,,,2/10/22,4:44:43 PM,
8,8,673.93,internal reference zzyzx,very low,429,5181,0.022,0.221,0.9185,0.9801,0,0,9.9259,,,2/10/22,4:55:20 PM,
9,9,638.38,internal reference zzyzx,very low,346,4969,0.019,0.225,0.9185,0.9801,0,0,12.0176,,,2/10/22,5:05:53 PM,
10,10,608.79,internal reference zzyzx,very low,457,4682,0.026,0.224,0.9185,0.9801,0,0,8.5053,,,2/10/22,5:16:28 PM,
40,40,20,f29apr19_4m_f2,very low,4057,9756,6.599,14.79,0.9185,0.9801,0,0,2.2413,,,2/10/22,10:40:05 PM,
41,41,20,b28oct19_5m_f2,very low,1396,5213,2.48,7.474,0.9185,0.9801,0,0,3.0133,,,2/10/22,10:50:55 PM,
42,42,20,b4sep19_10m_f2,very low,4742,10456,7.662,15.836,0.9185,0.9801,0,0,2.0668,,,2/10/22,11:01:39 PM,
43,43,20,b13jun19_10m_f2,very low,3554,11002,5.82,16.654,0.9185,0.9801,0,0,2.8613,,,2/10/22,11:12:24 PM,
44,44,20,b20jun19_5m_f1,very low,1809,5416,3.116,7.721,0.9185,0.9801,0,0,2.4776,,,2/10/22,11:23:08 PM,
45,45,20,f2sep19_8m_f2,very low,4005,15013,6.519,22.657,0.9185,0.9801,0,0,3.4753,,,2/10/22,11:33:49 PM,
46,46,9.7,aa as unknown,very low,3131,11604,10.648,36.195,0.9185,0.9801,0,0,3.3992,,,2/10/22,11:44:35 PM,
47,47,20,f8nov19_8m_f2,very low,5044,10440,8.13,15.812,0.9185,0.9801,0,0,1.9449,,,2/10/22,11:55:21 PM,
48,48,20,b13jun19_10m_f2,very low,3794,25088,6.192,37.743,0.9185,0.9801,0,0,6.0953,,,2/11/22,12:06:11 AM,
49,49,20,f27sep19_8m_f2,very low,6565,13704,10.49,20.697,0.9185,0.9801,0,0,1.973,,,2/11/22,12:16:57 AM,
50,50,20,b28oct19_10m_f2,very low,2698,10335,4.493,15.656,0.9185,0.9801,0,0,3.4844,,,2/11/22,12:27:46 AM,
51,51,20,f8jul19_8m_f2,very low,5321,18049,8.56,27.203,0.9185,0.9801,0,0,3.1781,,,2/11/22,12:38:30 AM,
52,52,20,b13jun19_5m_f2,very low,5566,19524,8.939,29.411,0.9185,0.9801,0,0,3.2901,,,2/11/22,12:49:23 AM,
53,53,20,b11Jul19_10m_f2,very low,6373,28698,10.192,43.15,0.9185,0.9801,0,0,4.2337,,,2/11/22,1:00:11 AM,
54,54,20,b4sep19_5m_f2,very low,2522,7296,4.22,11.108,0.9185,0.9801,0,0,2.632,,,2/11/22,1:11:04 AM,
55,55,20,b29apr19_5m_f2,very low,2694,8380,4.487,12.73,0.9185,0.9801,0,0,2.8371,,,2/11/22,1:21:48 AM,
56,56,20,f13may19_8m_f1,very low,4052,9523,6.591,14.44,0.9185,0.9801,0,0,2.1908,,,2/11/22,1:32:27 AM,
57,57,20,b18oct19_10m_f2,very low,5649,10551,9.069,15.978,0.9185,0.9801,0,0,1.762,,,2/11/22,1:43:03 AM,
58,58,9.14,aa as unknown,very low,3012,10957,10.895,36.294,0.9185,0.9801,0,0,3.3312,,,2/11/22,1:53:43 AM,
59,59,20,b18oct19_5m_f2,very low,7561,8225,12.035,12.499,0.9185,0.9801,0,0,1.0385,,,2/11/22,2:04:25 AM,
60,60,20,b4oct19_10m_f2,very low,6317,11069,10.104,16.755,0.9185,0.9801,0,0,1.6582,,,2/11/22,2:15:07 AM,
61,61,20,b20sep19_5m_f1,very low,4332,7632,7.026,11.611,0.9185,0.9801,0,0,1.6526,,,2/11/22,2:25:44 AM,
62,62,20,b11jul19_5m_f2,very low,4799,16194,7.751,24.424,0.9185,0.9801,0,0,3.1512,,,2/11/22,2:36:28 AM,
63,70,9.64,aa as unknown,very low,2988,11329,10.254,35.566,0.9185,0.9801,0,0,3.4685,,,2/11/22,2:47:18 AM,
64,83,0,,,0,0,0,0,0.9185,0.9801,0,0,0,,,,,
