VC:46e9e7d BD:Jun  9 2016 SN:US4300170200001328
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,     [CH4L]_ppm,  [CH4L]_ppm_sd,     [CH4H]_ppm,  [CH4H]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
  07/09/2018 11:48:11.813,    1.85898e+00,    4.45493e-03,    1.85898e+00,    4.45493e-03,   -1.00000e-02,    6.33741e-19,    2.05860e+04,    9.68167e+01,    3.89892e+02,    2.38486e-01,    1.89805e+00,    4.66392e-03,    3.98087e+02,    2.39817e-01,    1.40331e+02,    4.10001e-02,    2.74905e+01,    2.15623e-03,    3.08210e+01,    1.48225e-02,    5.85985e+00,    3.27615e-03,    6.91125e+00,    2.76473e-03,              3,              0,       1 meters
  07/09/2018 11:48:21.774,    1.85924e+00,    3.51779e-03,    1.85924e+00,    3.51779e-03,   -1.00000e-02,    1.09731e-18,    2.07345e+04,    1.07140e+02,    3.89504e+02,    4.30885e-01,    1.89860e+00,    3.70634e-03,    3.97751e+02,    4.54334e-01,    1.40338e+02,    3.66556e-02,    2.74996e+01,    3.35763e-03,    3.08888e+01,    2.81627e-02,    5.85937e+00,    2.67997e-03,    6.90980e+00,    2.36353e-03,              3,              0,       1 meters
  07/09/2018 11:48:31.727,    1.84919e+00,    4.08725e-03,    1.84919e+00,    4.08725e-03,   -1.00000e-02,    1.09731e-18,    2.03488e+04,    1.15367e+02,    3.89907e+02,    2.71839e-01,    1.88760e+00,    4.32213e-03,    3.98006e+02,    2.65005e-01,    1.40344e+02,    3.70408e-02,    2.75100e+01,    3.05569e-03,    3.09739e+01,    2.12310e-02,    5.85825e+00,    2.74213e-03,    6.90700e+00,    2.74240e-03,              3,              0,       1 meters
  07/09/2018 11:48:41.679,    1.84289e+00,    1.48288e-03,    1.84289e+00,    1.48288e-03,   -1.00000e-02,    1.09731e-18,    2.08023e+04,    2.08906e+02,    3.89788e+02,    5.12080e-01,    1.88204e+00,    1.42635e-03,    3.98069e+02,    4.75522e-01,    1.40339e+02,    4.14236e-02,    2.75201e+01,    2.98036e-03,    3.10359e+01,    1.85662e-02,    5.86013e+00,    3.14943e-03,    6.90646e+00,    4.07461e-03,              3,              0,       1 meters
  07/09/2018 11:48:51.632,    1.84046e+00,    3.77717e-03,    1.84046e+00,    3.77717e-03,   -1.00000e-02,    1.09731e-18,    2.09719e+04,    2.37889e+02,    3.88770e+02,    5.03217e-01,    1.87988e+00,    3.79050e-03,    3.97098e+02,    5.14747e-01,    1.40343e+02,    4.03865e-02,    2.75301e+01,    3.03223e-03,    3.11066e+01,    2.26038e-02,    5.85816e+00,    3.91896e-03,    6.90897e+00,    3.69084e-03,              3,              0,       1 meters
  07/09/2018 11:49:01.587,    1.84188e+00,    2.26153e-03,    1.84188e+00,    2.26153e-03,   -1.00000e-02,    1.09731e-18,    2.02068e+04,    1.43568e+02,    3.89173e+02,    4.25880e-01,    1.87986e+00,    2.37311e-03,    3.97199e+02,    3.96461e-01,    1.40335e+02,    3.53260e-02,    2.75397e+01,    2.73087e-03,    3.11854e+01,    2.21765e-02,    5.85767e+00,    1.90025e-03,    6.91348e+00,    2.25144e-03,              3,              0,       1 meters
  07/09/2018 11:49:11.541,    1.84131e+00,    1.23425e-03,    1.84131e+00,    1.23425e-03,   -1.00000e-02,    1.09731e-18,    1.99472e+04,    1.78154e+02,    3.89512e+02,    3.82662e-01,    1.87878e+00,    1.31849e-03,    3.97440e+02,    3.92522e-01,    1.40337e+02,    4.01059e-02,    2.75488e+01,    2.83173e-03,    3.12545e+01,    1.59471e-02,    5.85849e+00,    1.99658e-03,    6.91463e+00,    2.92486e-03,              3,              0,       1 meters
  07/09/2018 11:49:21.494,    1.84178e+00,    1.97991e-03,    1.84178e+00,    1.97991e-03,   -1.00000e-02,    1.09731e-18,    1.94402e+04,    1.74140e+02,    3.89782e+02,    3.81345e-01,    1.87830e+00,    1.90113e-03,    3.97509e+02,    3.80019e-01,    1.40335e+02,    3.87060e-02,    2.75579e+01,    2.75077e-03,    3.13144e+01,    2.30916e-02,    5.85840e+00,    2.89139e-03,    6.91142e+00,    4.11623e-03,              3,              0,       1 meters
  07/09/2018 11:49:31.447,    1.84249e+00,    2.43418e-03,    1.84249e+00,    2.43418e-03,   -1.00000e-02,    1.09731e-18,    1.95871e+04,    2.41586e+02,    3.89297e+02,    3.01569e-01,    1.87930e+00,    2.53732e-03,    3.97075e+02,    3.57160e-01,    1.40334e+02,    3.96526e-02,    2.75667e+01,    2.35961e-03,    3.13778e+01,    1.17351e-02,    5.85660e+00,    3.29122e-03,    6.91361e+00,    3.85041e-03,              3,              0,       1 meters
  07/09/2018 11:49:41.401,    1.84344e+00,    2.07440e-03,    1.84344e+00,    2.07440e-03,   -1.00000e-02,    1.09731e-18,    2.00611e+04,    9.00856e+01,    3.88844e+02,    4.16954e-01,    1.88117e+00,    2.09999e-03,    3.96804e+02,    4.47448e-01,    1.40332e+02,    3.31032e-02,    2.75752e+01,    2.79913e-03,    3.14290e+01,    2.24127e-02,    5.85863e+00,    2.58364e-03,    6.91400e+00,    5.24645e-03,              3,              0,       1 meters
