file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,diagnostic_flags_LI-7200,,,,,,,,,diagnostic_flags_LI-7700,,,,,,,,,,,,,,,,RSSI_LI-7200,variances,,,,,,,covariances,,,,custom_variables,,,,,,,,,,,,,,,,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,ch4_flux,qc_ch4_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,head_detect_LI-7200,t_out_LI-7200,t_in_LI-7200,aux_in_LI-7200,delta_p_LI-7200,chopper_LI-7200,detector_LI-7200,pll_LI-7200,sync_LI-7200,not_ready_LI-7700,no_signal_LI-7700,re_unlocked_LI-7700,bad_temp_LI-7700,laser_temp_unregulated_LI-7700,block_temp_unregulated_LI-7700,motor_spinning_LI-7700,pump_on_LI-7700,top_heater_on_LI-7700,bottom_heater_on_LI-7700,calibrating_LI-7700,motor_failure_LI-7700,bad_aux_tc1_LI-7700,bad_aux_tc2_LI-7700,bad_aux_tc3_LI-7700,box_connected_LI-7700,mean_value_RSSI_LI-7200,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,co2_mean,h2o_mean,air_p_mean,vin_sf_mean,co2_mean,h2o_mean,dew_point_mean,avg_signal_strength_7200_mean,co2_signal_strength_7200_mean,h2o_signal_strength_7200_mean,delta_signal_strength_7200_mean,flowrate_mean,hit_power_mean,hit_vin_mean,ch4_mean,rssi_77_mean,ch4_aux-1_mean,ch4_aux-2_mean,ch4_aux-3_mean,ch4_aux-4_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
not_enough_data,2022-07-05,11:00,186.458,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
not_enough_data,2022-07-05,11:30,186.479,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-07-05T113000_AIU-0547.ghg,2022-07-05,12:00,186.4999,1,18000,18000,-0.180094,1,94.9860,1,-9999,-9999,-9999,-9999,-9999,-9999,-0.226874E-01,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.130324E-12,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,0,0.835566E-01,2.17655,2.17655,-0.200000,0,302.189,299.422,95566.8,1.11194,1005.73,0.260488E-01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.984898,0.132458,0.103152,0.999105,-0.111423E-13,0.155971E-14,0.999105,4.78203,157.772,172.340,5.92604,-9999,0.402447,0.413291,-57.8750,-0.501080E-01,-9999,-0.211053,0,87.4902,-13.2770,30.0325,74.7853,114.052,159.960,239.649,-0.177778,1.01303,93.5714,1.01512,-9999,-9999,-9999,-9999,-9999,-9999,-0.197547E-01,1.14846,800000009,800001109,800000009,800000009,800001119,800001119,899999999,899999999,89999,89999,89,89,18,23,2,0,0,0,1,0,0,0,0,18000,0,0,0,0,0,328,0,0,0,0,0,0,5630,0,0,0,18000,18000,18000,18000,60,0.530831,0.175689,0.120062,0.375240,-9999,-9999,0.108282E-06,0.836727E-01,-9999,-9999,-0.197547E-04,14.7452,1103.98,95967.0,11.1900,389.806,29.1851,22.8898,59.7674,58.2038,61.3311,-3.12737,0.294008E-03,-1.00000,0.00000,2.06222,82.4160,1.00002,-273.150,9.00031,-273.150
2022-07-05T120000_AIU-0547.ghg,2022-07-05,12:30,186.5207,1,18000,18000,-0.174103,1,66.3508,0,-9999,-9999,-9999,-9999,-9999,-9999,-0.166838E-01,1,1.04066,-9999,-9999,-9999,0.263605E-03,-9999,-9999,0.277938E-12,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,0,0.835211E-01,2.18082,2.18082,-0.200000,0,302.853,300.001,95523.5,1.10929,1005.74,0.261110E-01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.883357,-0.659500E-01,0.165805,0.890944,0.849077E-14,0.332775E-14,0.890944,4.23562,150.122,184.270,6.15079,-9999,0.396169,0.538501,-79.0105,-0.367040E-01,-9999,-0.150119,0,82.5296,-12.5242,28.3297,70.5450,107.586,150.890,226.061,-0.171680,1.01411,65.3213,1.01576,-9999,-9999,-9999,-9999,-9999,-9999,-0.145195E-01,1.14907,800000009,800001109,800000009,811011109,800101119,800101119,899999999,899999999,89999,89999,89,89,15,6,1,3,0,0,3,600,779,773,600,17921,0,0,0,0,0,0,0,0,0,0,0,0,5677,0,0,0,17400,17400,17400,17400,60,0.501296,0.441082,0.134624,0.377492,-9999,-9999,0.792024E-07,0.585496E-01,-9999,-9999,-0.145195E-04,14.5591,1135.10,92665.8,10.9594,369.389,645.499,650.592,0.552347E+08,0.125001E+08,59.3091,-2.94245,0.335737E-03,2.10212,0.00000,2.07297,87.4471,1.00001,-273.401,9.00019,-273.150
2022-07-05T123000_AIU-0547.ghg,2022-07-05,13:00,186.5415,1,18000,18000,-0.125678,1,68.8778,0,-9999,-9999,-9999,-9999,-9999,-9999,-0.143317E-01,0,1.95593,-9999,-9999,-9999,-0.421638E-03,-9999,-9999,-0.445008E-12,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,0,0.829595E-01,2.17396,2.17396,-0.100000,0,303.824,301.093,95527.0,1.10531,1005.78,0.262051E-01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.638336,-0.225853,0.962517E-01,0.683921,0.322345E-14,-0.536416E-14,0.683921,3.75238,134.746,199.485,8.09039,-9999,0.337201,0.388222,-46.9358,-0.617866E-01,-9999,-0.183741,0,77.3013,-11.7308,26.5350,66.0760,100.770,141.331,211.740,-0.123563,1.01712,67.6844,1.01763,-9999,-9999,-9999,-9999,-9999,-9999,-0.124486E-01,1.15127,800000009,800001109,800000009,800001109,800001119,800001119,899999999,899999999,89999,89999,89,89,6,16,3,7,5,3,4,0,0,0,0,13923,0,0,0,0,0,0,0,0,0,0,0,0,4595,0,0,0,18000,18000,18000,18000,84,0.330643,0.330933,0.114868,0.285079,-9999,-9999,0.943626E-07,0.608843E-01,-9999,-9999,-0.124486E-04,26.6643,1153.59,95900.2,11.1298,468.453,35.6695,23.4100,87.9048,87.1334,88.6786,-1.54236,0.299668E-03,-1.00000,0.00000,2.06930,86.9319,1.00001,-273.150,9.00018,-273.150
2022-07-05T130000_AIU-0547.ghg,2022-07-05,13:30,186.5624,1,18000,18000,-0.190783,1,-13.7395,2,-9999,-9999,-9999,-9999,-9999,-9999,0.477667E-01,1,0.515250,-9999,-9999,-9999,-0.949446E-03,-9999,-9999,0.238521E-11,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,0,0.822539E-01,2.15850,2.15850,0.00000,1,304.036,301.382,95484.3,1.10376,1005.78,0.262419E-01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.159675,-0.140719,0.123954,0.246298,0.601116E-13,0.289981E-13,0.246298,3.84077,95.2560,221.389,30.2164,-9999,0.415751,0.330647,440.870,0.657791E-02,-9999,0.297687E-01,0,79.9434,-12.1317,27.4420,68.3344,104.214,146.162,218.977,-0.186891,1.02083,-13.4890,1.01857,-9999,-9999,-9999,-9999,-9999,-9999,0.405857E-01,1.17693,800000009,800001109,800000009,800000009,800001119,800001119,899999999,899999999,89999,89999,89,89,5,15,2,14,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,5313,0,0,0,18000,18000,18000,18000,100,0.209615,0.291134,0.160545,0.418523,-9999,-9999,0.745372E-06,-0.121508E-01,-9999,-9999,0.405857E-04,14.3322,959.036,95864.6,11.0395,387.094,25.9017,20.9109,100.062,100.067,100.057,0.993851E-02,0.300429E-03,-1.00000,0.00000,2.05446,87.3629,1.00002,-273.150,9.00022,-273.150
not_enough_data,2022-07-05,14:00,186.583,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
not_enough_data,2022-07-05,14:30,186.604,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-07-05T143000_AIU-0547.ghg,2022-07-05,15:00,186.6249,1,18000,18000,-0.299073E-01,2,25.2410,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,0,298.326,298.326,95065.1,1.11016,1005.69,0.260904E-01,-9999,-9999,-9999,3191.82,-9999,-9999,-9999,-9999,2.44540,1.26706,0.459569,2.79224,0.919997E-14,0.180163E-14,2.79224,7.82187,305.483,27.3906,9.47328,-9999,0.164133,1.09341,-14.7182,-0.197034,-9999,-0.137739,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.296702E-01,1.00799,24.8967,1.01383,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,800000009,800001119,800000009,800000009,800001119,800101119,899999999,899999999,89999,89999,89,89,5,4,3,18,0,0,0,0,0,0,0,18000,0,0,0,0,0,18000,0,0,0,0,101,0,16109,0,0,16,18000,18000,18000,18000,100,1.11040,0.841022,0.235402,0.150254,-9999,-9999,-9999,0.222991E-01,-9999,-9999,-9999,14.9157,959.077,95752.8,11.0227,387.380,24.9096,20.2570,100.302,100.327,100.277,0.499193E-01,0.288705E-03,-1.00000,0.00000,-5.98498,0.103914,1.00008,-401.018,9.00059,-307.388
