file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,diagnostic_flags_LI-7500,,,,diagnostic_flags_LI-7700,,,,,,,,,,,,,,,,RSSI_LI-7500,variances,,,,,,,covariances,,,,custom_variables,,,,,,,,,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,ch4_flux,qc_ch4_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,chopper_LI-7500,detector_LI-7500,pll_LI-7500,sync_LI-7500,not_ready_LI-7700,no_signal_LI-7700,re_unlocked_LI-7700,bad_temp_LI-7700,laser_temp_unregulated_LI-7700,block_temp_unregulated_LI-7700,motor_spinning_LI-7700,pump_on_LI-7700,top_heater_on_LI-7700,bottom_heater_on_LI-7700,calibrating_LI-7700,motor_failure_LI-7700,bad_aux_tc1_LI-7700,bad_aux_tc2_LI-7700,bad_aux_tc3_LI-7700,box_connected_LI-7700,mean_value_RSSI_LI-7500,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,air_t_mean,air_p_mean,vin_sf_mean,co2_mean,h2o_mean,dew_point_mean,co2_signal_strength_7500_mean,ch4_mean,rssi_77_mean,ch4_aux-1_mean,ch4_aux-2_mean,ch4_aux-3_mean,ch4_aux-4_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
not_enough_data,2022-11-16,13:30,320.562,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2022-11-16T133000_AIU-0547.ghg,2022-11-16,14:00,320.5832,1,18000,18000,-0.774937E-01,2,60.2608,1,-9999,-9999,-9999,-9999,-9999,-9999,-0.313746E-01,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.115503E-11,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,0,0.946644E-01,2.30724,2.30724,-0.100000,0,279.489,279.438,95321.0,1.18840,1005.26,0.243729E-01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.55485,-0.382091,0.181173,1.61132,-0.175515E-12,-0.122013E-13,1.61132,9.69081,345.830,346.194,6.45582,-9999,0.255360,2.85040,-23.2512,-0.124725,-9999,-0.197535,0,40.2259,-6.10444,13.8082,34.3845,52.4385,73.5458,110.185,-0.767482E-01,1.00971,59.4598,1.01347,-9999,-9999,-9999,-9999,-9999,-9999,-0.273185E-01,1.14847,800000009,800001109,800000009,800000009,800001119,800011119,899999999,899999999,89999,89999,89,89,7,11,6,25,0,0,3,18000,18000,18000,0,0,0,0,0,0,0,0,0,4011,0,0,0,18000,18000,18000,18000,-9999,2.48689,2.87667,0.337232,0.129932,-9999,-9999,0.210511E-06,0.497720E-01,-9999,-9999,-0.273185E-04,12.0180,95702.6,11.5000,0.00000,0.00000,-9999,0.00000,2.13896,86.4934,1.00008,-374.532,9.00063,-273.150
2022-11-16T140000_AIU-0547.ghg,2022-11-16,14:30,320.6040,1,18000,18000,-0.179299,1,68.5047,0,-9999,-9999,-9999,-9999,-9999,-9999,-0.416980E-02,1,0.649403,-9999,-9999,-9999,-0.238563E-03,-9999,-9999,-0.234040E-12,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,0,0.944123E-01,2.30363,2.30363,-0.200000,0,279.318,279.776,95331.4,1.18709,1005.26,0.243997E-01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.543276,0.367596,0.725747E-01,0.659957,-0.110613E-13,-0.247892E-14,0.659957,7.12198,274.407,34.0834,6.31352,-9999,0.388640,2.32547,-72.1075,-0.402177E-01,-9999,-0.147710,0,57.5897,-8.73945,19.7687,49.2268,75.0739,105.292,157.747,-0.176200,1.01759,67.2982,1.01793,-9999,-9999,-9999,-9999,-9999,-9999,-0.362072E-02,1.15165,800000009,800001109,800000009,800000009,800001119,800001119,899999999,899999999,89999,89999,89,89,11,12,1,19,0,0,2,18000,18000,18000,0,0,0,0,0,0,0,0,0,7202,0,0,0,18000,18000,18000,18000,-9999,2.43470,1.89773,0.318508,0.907333E-01,-9999,-9999,0.141218E-06,0.563949E-01,-9999,-9999,-0.362072E-05,12.0180,95745.5,11.4929,0.00000,0.00000,-9999,0.00000,2.13640,86.8487,1.00007,-402.431,9.00063,-273.150
2022-11-16T143000_AIU-0547.ghg,2022-11-16,15:00,320.6249,1,18000,18000,-0.683956,1,22.3986,1,-9999,-9999,-9999,-9999,-9999,-9999,-0.106312E-01,1,-0.481068,-9999,-9999,-9999,-0.766487E-03,-9999,-9999,-0.328855E-12,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,0,0.940083E-01,2.29203,2.29203,-0.200000,0,279.343,279.526,95318.5,1.18799,1005.26,0.243812E-01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.322883,-0.168207,0.151614,0.394378,-0.377421E-14,-0.349815E-14,0.394378,6.00337,11.4434,332.483,22.6089,-9999,0.758766,1.97196,-1641.04,-0.176718E-02,-9999,-0.247185E-01,0,92.7339,-14.0727,31.8325,79.2675,120.888,169.547,254.013,-0.666478,1.02623,21.8835,1.02354,-9999,-9999,-9999,-9999,-9999,-9999,-0.916901E-02,1.15947,800000009,800001109,800000009,800000009,800001119,800101119,899999999,899999999,89999,89999,89,89,2,2,2,17,0,0,6,18000,18000,18000,0,0,0,0,0,0,0,0,0,8811,0,0,0,18000,18000,18000,18000,-9999,1.84075,1.73419,0.368983,0.722717E-01,-9999,-9999,0.196325E-06,0.183242E-01,-9999,-9999,-0.916901E-05,12.0180,95714.1,11.4895,0.00000,0.00000,-9999,0.00000,2.12489,86.7827,1.00009,-273.150,9.00054,-273.150
2022-11-16T150000_AIU-0547.ghg,2022-11-16,15:30,320.6457,1,18000,18000,-0.230959,1,72.1666,1,-9999,-9999,-9999,-9999,-9999,-9999,-0.790786E-02,2,-0.916120,-9999,-9999,-9999,-0.348220E-03,-9999,-9999,-0.132297E-12,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,0,0.939726E-01,2.28677,2.28677,-0.200000,0,278.817,279.050,95339.1,1.19027,1005.25,0.243345E-01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.258907,-0.166948,0.594097E-01,0.313742,-0.982071E-13,-0.140783E-14,0.313742,7.70520,31.6715,327.185,10.9153,-9999,0.440498,2.18711,-99.6723,-0.290953E-01,-9999,-0.136922,0,59.9313,-9.09480,20.5725,51.2284,78.1265,109.573,164.161,-0.223919,1.03144,70.2711,1.02697,-9999,-9999,-9999,-9999,-9999,-9999,-0.679073E-02,1.16451,800000009,800001109,800000009,800000009,800001119,800101119,899999999,899999999,89999,89999,89,89,8,4,2,19,0,0,5,18000,18000,18000,0,0,0,0,0,0,0,0,0,8619,0,0,0,18000,18000,18000,18000,-9999,2.27725,1.72660,0.370375,0.118485,-9999,-9999,0.159817E-06,0.587295E-01,-9999,-9999,-0.679073E-05,12.0180,95720.2,11.4800,0.00000,0.00000,-9999,0.00000,2.11945,86.0533,1.00010,-273.150,9.00054,-273.150
2022-11-16T153000_AIU-0547.ghg,2022-11-16,16:00,320.6665,1,18000,18000,-0.559610E-01,1,43.0611,0,-9999,-9999,-9999,-9999,-9999,-9999,-0.158607E-01,1,-2.43390,-9999,-9999,-9999,-0.116858E-03,-9999,-9999,-0.134115E-11,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,0,0.943369E-01,2.28501,2.28501,-0.100000,0,278.342,277.794,95350.9,1.19580,1005.23,0.242219E-01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.15674,0.424718E-01,0.157418,1.16817,0.603689E-13,-0.142166E-13,1.16817,6.10418,331.981,2.10278,7.74452,-9999,0.216328,1.61788,-19.7861,-0.146567,-9999,-0.165595,0,46.3321,-7.03107,15.9043,39.6040,60.3985,84.7098,126.911,-0.553118E-01,1.01174,42.4500,1.01439,-9999,-9999,-9999,-9999,-9999,-9999,-0.138162E-01,1.14798,800000009,800001109,800000009,800000009,800001109,800001119,899999999,899999999,89999,89999,89,89,6,1,4,42,0,0,2,18000,18000,18000,0,0,0,0,0,0,0,0,0,14416,0,0,0,18000,18000,18000,18000,-9999,1.29275,1.77302,0.169984,0.154172,-9999,-9999,0.191032E-06,0.353145E-01,-9999,-9999,-0.138162E-04,12.0180,95725.7,11.4876,0.00000,0.00000,-9999,0.00000,2.11534,84.9008,1.00009,-273.150,9.00049,-273.150
2022-11-16T160000_AIU-0547.ghg,2022-11-16,16:30,320.6873,1,18000,18000,-0.100027,0,24.9447,0,-9999,-9999,-9999,-9999,-9999,-9999,0.346075E-02,1,-1.45421,-9999,-9999,-9999,-0.111505E-02,-9999,-9999,-0.129974E-11,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,0,0.939231E-01,2.26830,2.26830,0.00000,1,277.651,277.045,95374.4,1.19933,1005.22,0.241506E-01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.220321,-0.480886,0.736547E-01,0.534058,-0.332985E-13,-0.138384E-13,0.534058,5.57070,44.1775,294.615,7.92723,-9999,0.288794,1.12540,-81.2765,-0.356807E-01,-9999,-0.716458E-01,0,56.6272,-8.59339,19.4383,48.4040,73.8192,103.533,155.111,-0.979999E-01,1.02068,24.4576,1.01992,-9999,-9999,-9999,-9999,-9999,-9999,0.299806E-02,1.15433,800000009,800001109,800000009,800000009,800001119,800011119,899999999,899999999,89999,89999,89,89,15,4,0,50,0,0,2,18000,18000,18000,0,0,0,0,0,0,0,0,0,18000,0,0,0,18000,18000,18000,18000,-9999,1.05048,1.01687,0.183443,0.234630E-01,-9999,-9999,0.175949E-06,0.202868E-01,-9999,-9999,0.299806E-05,12.0180,95750.0,11.5000,0.00000,0.00000,-9999,0.00000,2.09884,85.2915,1.00007,-273.150,9.00041,-273.150
2022-11-16T163000_AIU-0547.ghg,2022-11-16,17:00,320.7082,0,18000,18000,0.111378,1,27.3210,0,-9999,-9999,-9999,-9999,-9999,-9999,-0.173778E-01,1,-0.753316,-9999,-9999,-9999,0.341629E-03,-9999,-9999,-0.130528E-11,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,0,0.942927E-01,2.27341,2.27341,-0.300000,0,277.341,276.658,95401.0,1.20134,1005.21,0.241102E-01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.777025,-1.25638,0.142496,1.48411,0.504245E-13,-0.138429E-13,1.48411,9.73824,35.9693,301.735,5.50972,-9999,0.304486,2.44020,-86.9894,-0.333374E-01,-9999,-0.743028E-01,0,51.7779,-7.85749,17.7737,44.2589,67.4977,94.6665,141.828,0.110259,1.01016,26.9535,1.01363,-9999,-9999,-9999,-9999,-9999,-9999,-0.151356E-01,1.14814,800000009,800001109,800000009,800000009,800001119,810011119,899999999,899999999,89999,89999,89,89,0,2,4,74,0,0,4,18000,18000,18000,0,0,0,0,0,0,0,0,0,17901,0,0,0,18000,18000,18000,18000,-9999,1.86998,2.75534,0.255070,0.503053E-01,-9999,-9999,0.251147E-06,0.223198E-01,-9999,-9999,-0.151356E-04,12.0180,95775.2,11.4929,0.00000,0.00000,-9999,0.00000,2.10359,84.6494,1.00006,-273.150,9.00034,-273.150
2022-11-16T170000_AIU-0547.ghg,2022-11-16,17:30,320.7290,0,18000,18000,-0.149331,1,35.2742,0,-9999,-9999,-9999,-9999,-9999,-9999,-0.230406E-01,0,-0.731338,-9999,-9999,-9999,0.109238E-04,-9999,-9999,0.853739E-12,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,0,0.944233E-01,2.27358,2.27358,-0.300000,0,276.937,276.282,95396.6,1.20292,1005.20,0.240785E-01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.367394,-0.551902,0.985924E-02,0.663077,-0.128163E-14,0.904161E-14,0.663077,6.52494,105.862,236.349,0.851958,-9999,0.352335,1.56329,-104.389,-0.277806E-01,-9999,-0.827960E-01,0,61.7961,-9.37780,21.2126,52.8224,80.5575,112.983,169.269,-0.146759,1.01753,34.6543,1.01789,-9999,-9999,-9999,-9999,-9999,-9999,-0.200074E-01,1.15160,800000009,800001109,800000009,800000009,800011119,800011119,899999999,899999999,89999,89999,89,89,7,11,3,55,0,0,23,18000,18000,18000,0,0,0,0,0,0,0,0,0,18000,0,0,0,18000,18000,18000,18000,-9999,1.52905,1.37806,0.219480,0.271018E-01,-9999,-9999,0.767011E-07,0.286593E-01,-9999,-9999,-0.200074E-04,12.0180,95782.7,11.4905,0.00000,0.00000,-9999,0.00000,2.10260,85.3441,1.00004,-273.150,9.00022,-273.150
