Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
2/6/2026 10:58:38 AM	3.92	0.00	12.35	0.00	0.00	0.00	0.00	0.65	16.27	91.57	0.08	2.24	2080	0	5555	0	0	0	0	0	7635	167.02	30.80	5.49	16.65	49.67	18.46	67.14	1.01	5.98	5.67
2/6/2026 10:58:40 AM	4.34	0.00	11.59	0.00	0.00	0.00	0.00	0.61	15.93	91.33	0.23	2.30	2298	0	5217	0	0	0	0	0	7515	166.58	29.45	4.45	16.73	48.31	18.23	65.01	1.02	6.01	5.78
2/6/2026 10:58:43 AM	4.22	0.14	11.66	0.00	0.00	0.00	0.00	0.70	16.02	91.66	0.38	2.31	2236	139	5247	0	0	0	0	0	7623	167.19	29.74	5.50	17.35	49.60	18.72	65.47	1.04	6.04	5.75
2/6/2026 10:58:46 AM	4.38	0.00	12.13	0.00	0.00	0.00	0.00	0.64	16.51	93.09	0.54	2.28	2321	0	5457	0	0	0	0	0	7778	169.79	30.64	5.05	17.32	50.02	18.48	67.51	1.05	6.06	5.77
2/6/2026 10:58:49 AM	3.97	0.00	12.44	0.00	0.00	0.00	0.00	0.67	16.41	93.09	0.73	2.32	2102	0	5598	0	0	0	0	0	7700	169.78	31.13	5.19	17.14	50.24	18.74	67.57	1.07	6.08	5.80
2/6/2026 10:58:52 AM	4.47	0.00	12.16	0.00	0.00	0.00	0.00	0.65	16.63	92.82	0.87	2.42	2369	0	5473	0	0	0	0	0	7843	169.29	30.72	5.29	17.04	50.42	18.74	68.11	1.08	6.11	5.78
2/6/2026 10:58:54 AM	3.99	0.00	12.29	0.00	0.00	0.00	0.00	0.74	16.28	92.98	1.03	2.57	2117	0	5529	0	0	0	0	0	7646	169.59	30.98	5.08	17.03	50.96	18.60	67.60	1.10	6.13	5.83
2/6/2026 10:58:57 AM	4.48	0.00	12.33	0.00	0.00	0.00	0.00	0.68	16.81	92.77	1.19	2.61	2376	0	5546	0	0	0	0	0	7923	169.20	31.17	5.34	17.34	51.38	19.11	68.95	1.12	6.14	5.78
2/6/2026 10:59:00 AM	3.97	0.00	12.39	0.00	0.00	0.00	0.00	0.70	16.36	92.83	1.34	2.62	2103	0	5575	0	0	0	0	0	7678	169.31	31.03	5.22	16.65	50.52	18.84	67.73	1.13	6.16	5.85
2/6/2026 10:59:03 AM	4.48	0.00	12.88	0.00	0.00	0.00	0.00	0.62	17.36	92.83	1.52	2.64	2376	0	5795	0	0	0	0	0	8170	169.30	32.24	5.25	17.70	51.89	19.55	70.82	1.15	6.18	5.87
2/6/2026 10:59:06 AM	4.32	0.00	12.46	0.00	0.00	0.00	0.00	0.68	16.78	92.97	1.66	2.69	2291	0	5608	0	0	0	0	0	7899	169.57	31.33	5.25	16.81	51.22	18.90	69.22	1.16	6.18	5.90
2/6/2026 10:59:08 AM	3.87	0.00	12.39	0.00	0.00	0.00	0.00	0.66	16.26	92.87	1.81	2.72	2053	0	5575	0	0	0	0	0	7627	169.38	30.89	5.38	16.62	49.85	19.01	67.05	1.18	6.21	5.90
2/6/2026 10:59:11 AM	4.15	0.00	12.13	0.00	0.00	0.00	0.00	0.66	16.27	92.85	1.98	2.74	2198	0	5457	0	0	0	0	0	7655	169.35	30.49	5.31	16.82	49.77	18.74	66.85	1.19	6.22	5.91
2/6/2026 10:59:14 AM	4.06	0.00	12.42	0.00	0.00	0.00	0.00	0.69	16.47	92.84	2.12	2.76	2151	0	5587	0	0	0	0	0	7738	169.34	31.13	5.51	17.04	50.73	18.70	68.04	1.21	6.23	5.93
