Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
6/15/2026 10:44:44 AM	7.82	15.63	5.19	0.00	0.00	0.00	0.00	0.00	28.64	78.14	0.02	24.75	4143	15634	2335	0	0	0	0	0	22113	142.53	26.20	12.07	71.20	41.09	66.76	53.24	1.00	22.24	21.87
6/15/2026 10:44:46 AM	8.53	15.53	4.69	0.00	0.00	0.00	0.00	0.00	28.74	77.79	0.11	24.70	4520	15526	2110	0	0	0	0	0	22156	141.89	25.26	12.07	70.72	40.87	66.81	53.95	1.01	22.28	21.90
6/15/2026 10:44:49 AM	8.55	15.92	4.45	0.00	0.00	0.00	0.00	0.00	28.91	78.63	0.18	24.70	4532	15918	2001	0	0	0	0	0	22450	143.41	25.28	13.15	71.93	41.97	67.42	52.23	1.02	22.34	22.01
6/15/2026 10:44:52 AM	7.82	15.36	4.81	0.30	0.00	0.00	0.00	0.00	28.30	77.76	0.26	24.54	4147	15363	2165	9	0	0	0	0	21684	141.84	26.00	12.32	69.51	40.76	67.67	52.80	1.03	22.37	22.00
6/15/2026 10:44:55 AM	7.92	15.28	5.10	0.00	0.00	0.00	0.00	0.00	28.30	78.15	0.34	24.69	4199	15283	2294	0	0	0	0	0	21776	142.55	25.68	13.38	69.53	41.02	65.69	53.02	1.03	22.41	21.98
6/15/2026 10:44:58 AM	8.19	15.59	4.92	0.00	0.00	0.00	0.00	0.00	28.70	78.44	0.40	24.79	4342	15594	2212	0	0	0	0	0	22148	143.06	26.02	11.81	71.22	42.01	66.37	52.84	1.04	22.47	22.01
6/15/2026 10:45:00 AM	7.43	15.11	5.46	0.00	0.00	0.00	0.00	0.00	28.00	78.42	0.48	24.70	3938	15107	2458	0	0	0	0	0	21504	143.04	26.26	12.80	69.09	41.04	64.77	52.51	1.05	22.51	22.05
6/15/2026 10:45:03 AM	8.48	15.61	4.72	0.00	0.00	0.00	0.00	0.00	28.81	78.50	0.56	24.73	4495	15614	2122	0	0	0	0	0	22231	143.19	25.64	12.10	70.88	42.02	66.98	53.14	1.05	22.54	22.08
6/15/2026 10:45:06 AM	8.82	15.49	4.25	0.50	0.00	0.00	0.00	0.00	29.06	78.19	0.65	24.63	4673	15492	1911	15	0	0	0	0	22091	142.62	26.14	13.28	70.79	43.02	68.70	54.10	1.06	22.58	22.05
6/15/2026 10:45:09 AM	8.36	15.11	4.82	0.00	0.00	0.00	0.00	0.00	28.29	78.53	0.73	24.49	4429	15110	2170	0	0	0	0	0	21708	143.24	25.13	13.06	69.46	40.70	64.84	53.65	1.07	22.62	22.14
6/15/2026 10:45:12 AM	8.19	15.59	4.97	0.00	0.00	0.00	0.00	0.00	28.74	77.84	0.81	24.49	4338	15587	2237	0	0	0	0	0	22162	141.98	26.06	11.74	70.35	42.16	67.38	53.03	1.08	22.68	22.13
6/15/2026 10:45:14 AM	8.12	15.39	4.85	0.00	0.00	0.00	0.00	0.00	28.36	78.26	0.89	24.65	4302	15394	2185	0	0	0	0	0	21880	142.75	25.56	11.82	70.15	41.10	65.90	52.59	1.09	22.68	22.19
6/15/2026 10:45:17 AM	7.95	15.22	5.19	0.00	0.00	0.00	0.00	0.00	28.36	78.02	0.97	24.69	4216	15224	2334	0	0	0	0	0	21773	142.31	25.98	11.96	69.96	41.03	65.32	53.60	1.10	22.74	22.16
6/15/2026 10:45:20 AM	8.39	15.66	4.77	0.00	0.00	0.00	0.00	0.00	28.81	78.09	1.06	24.59	4444	15657	2148	0	0	0	0	0	22248	142.43	25.68	12.39	71.22	41.77	66.87	53.20	1.10	22.77	22.21
6/15/2026 10:45:22 AM	8.10	15.25	4.91	0.00	0.00	0.00	0.00	0.00	28.26	77.86	1.14	24.60	4293	15254	2208	0	0	0	0	0	21755	142.01	25.55	11.95	69.92	41.01	65.19	52.75	1.11	22.79	22.16
6/15/2026 10:45:25 AM	8.29	15.41	5.17	0.00	0.00	0.00	0.00	0.00	28.87	77.66	1.21	24.57	4394	15410	2326	0	0	0	0	0	22130	141.66	26.26	12.74	70.53	42.33	66.40	54.42	1.12	22.83	22.19
6/15/2026 10:45:28 AM	8.30	15.99	5.32	0.00	0.00	0.00	0.00	0.00	29.61	78.11	1.29	24.53	4400	15991	2392	0	0	0	0	0	22783	142.48	26.84	13.13	73.21	42.47	68.22	55.71	1.13	22.87	22.25
6/15/2026 10:45:30 AM	8.65	15.74	4.85	0.00	0.00	0.00	0.00	0.00	29.24	77.91	1.36	24.59	4584	15742	2181	0	0	0	0	0	22507	142.10	26.00	12.79	71.43	42.76	67.79	54.32	1.13	22.94	22.30
6/15/2026 10:45:34 AM	8.47	16.83	4.98	0.00	0.00	0.00	0.00	0.00	30.27	78.03	1.45	24.17	4488	16827	2241	0	0	0	0	0	23556	142.33	26.97	13.31	74.79	43.79	71.99	54.39	1.14	22.93	22.25
6/15/2026 10:45:36 AM	10.31	31.32	4.70	2.02	0.00	0.00	0.00	0.00	48.35	76.98	1.53	22.64	5465	31316	2115	61	0	0	0	0	38956	140.41	43.52	26.69	132.95	65.57	128.87	70.05	1.15	22.97	22.29
6/15/2026 10:45:39 AM	15.05	45.60	8.95	2.26	0.00	0.00	0.00	0.00	71.87	76.15	1.61	21.89	7977	45605	4027	68	0	0	0	0	57676	138.90	65.30	41.60	194.45	98.39	184.17	108.34	1.16	23.03	22.35
6/15/2026 10:45:42 AM	16.77	46.97	6.50	4.77	0.00	0.00	0.00	0.00	75.01	75.80	1.67	21.89	8888	46972	2923	143	0	0	0	0	58927	138.25	69.43	43.25	203.62	103.50	197.89	114.23	1.16	23.03	22.37
6/15/2026 10:45:44 AM	15.68	62.60	7.93	2.99	0.00	0.00	0.00	0.00	89.19	75.32	1.74	21.84	8308	62599	3569	90	0	0	0	0	74565	137.39	77.39	52.92	256.68	113.49	243.87	113.30	1.17	23.09	22.40
6/15/2026 10:45:47 AM	16.58	62.07	5.33	4.80	0.00	0.00	0.00	0.00	88.79	75.27	1.83	20.57	8788	62072	2401	144	0	0	0	0	73404	137.30	77.66	53.53	256.68	114.53	247.21	111.73	1.18	23.11	22.40
6/15/2026 10:45:50 AM	17.92	68.14	6.14	4.48	0.00	0.00	0.00	0.00	96.68	74.31	1.91	20.15	9497	68143	2762	134	0	0	0	0	80536	135.55	83.00	58.18	280.29	122.56	268.00	120.68	1.19	23.13	22.40
6/15/2026 10:45:53 AM	17.92	59.83	1.97	8.46	0.00	0.00	0.00	0.00	88.19	73.83	1.98	20.04	9497	59832	888	254	0	0	0	0	70471	134.67	80.53	54.39	254.45	116.33	251.53	116.20	1.19	23.16	22.45
6/15/2026 10:45:55 AM	17.91	68.77	8.43	4.03	0.00	0.00	0.00	0.00	99.14	73.80	2.05	19.85	9492	68766	3794	121	0	0	0	0	82173	134.62	87.05	59.23	283.75	127.87	270.51	128.15	1.20	23.17	22.48
6/15/2026 10:45:58 AM	19.82	61.67	6.84	6.25	0.00	0.00	0.00	0.00	94.59	74.21	2.12	19.01	10506	61673	3078	188	0	0	0	0	75445	135.35	86.19	56.20	263.31	126.90	255.14	135.50	1.21	23.19	22.50
6/15/2026 10:46:01 AM	19.72	53.11	5.33	6.65	0.00	0.00	0.00	0.00	84.81	75.17	2.21	18.50	10451	53114	2398	199	0	0	0	0	66163	137.11	78.39	49.57	231.30	117.50	226.70	127.85	1.22	23.23	22.51
