Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
8/17/2026 12:02:27 PM	7.67	1.27	0.00	0.77	0.00	0.00	0.00	0.06	9.71	84.59	-0.11	27.42	4063	1272	0	23	0	0	0	0	5358	154.29	7.26	3.16	13.44	22.64	17.90	28.96	0.99	24.30	24.31
8/17/2026 12:02:29 PM	5.36	1.46	0.64	0.45	0.00	0.00	0.00	0.59	7.90	87.13	-0.10	27.46	2841	1460	286	13	0	0	0	0	4600	158.92	8.61	2.84	13.38	25.32	15.10	26.31	0.99	24.34	24.31
8/17/2026 12:02:32 PM	4.27	1.79	2.64	0.00	0.00	0.00	0.00	0.25	8.70	87.21	-0.09	27.45	2262	1794	1188	0	0	0	0	0	5244	159.06	10.57	2.27	14.31	22.27	15.70	26.76	0.99	24.36	24.31
8/17/2026 12:02:35 PM	6.16	1.18	1.00	0.26	0.00	0.00	0.00	0.35	8.60	86.31	-0.10	27.41	3264	1183	449	8	0	0	0	0	4904	157.42	8.56	2.97	13.00	24.17	14.12	27.96	0.99	24.42	24.34
8/17/2026 12:02:38 PM	5.06	1.56	0.57	0.70	0.00	0.00	0.00	0.57	7.90	87.86	-0.09	27.10	2681	1561	258	21	0	0	0	0	4521	160.25	9.04	4.05	14.31	24.89	15.58	25.94	0.99	24.46	24.34
8/17/2026 12:02:40 PM	5.11	1.11	1.12	0.71	0.00	0.00	0.00	0.48	8.05	87.80	-0.09	26.93	2708	1115	505	21	0	0	0	0	4348	160.14	9.81	3.21	12.97	24.85	15.01	27.60	0.99	24.47	24.36
8/17/2026 12:02:43 PM	6.38	0.69	1.51	0.96	0.00	0.00	0.00	0.33	9.53	87.39	-0.08	26.71	3381	686	678	29	0	0	0	0	4774	159.39	11.46	3.68	13.43	26.94	15.71	33.12	0.99	24.51	24.34
8/17/2026 12:02:46 PM	6.77	0.64	2.27	1.05	0.00	0.00	0.00	0.35	10.73	87.47	-0.06	26.32	3586	641	1024	31	0	0	0	0	5283	159.54	13.62	3.85	14.44	30.25	17.09	37.94	0.99	24.51	24.46
8/17/2026 12:02:48 PM	6.88	0.52	3.44	1.34	0.00	0.00	0.00	0.35	12.18	86.77	-0.06	26.09	3647	518	1548	40	0	0	0	0	5752	158.26	16.85	6.29	16.45	34.00	18.04	44.04	0.99	24.55	24.46
8/17/2026 12:02:52 PM	8.12	0.73	5.85	0.41	0.00	0.00	0.00	0.18	15.12	86.48	-0.06	25.88	4306	731	2634	12	0	0	0	0	7683	157.74	19.85	5.08	17.94	38.56	19.27	53.14	0.99	24.60	24.46
