ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),,54Fe (STDR),,55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),,Y (ppb),,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 06/29/2020,0.6,"2,442.3",882.7,58.2,"7,127.3",10.8,0.4,1.1,"1,029.7","1,934.0",1.3,0.3,0.1,0.3077,307.7,0.0232,23.2,0.1,0.2,0.8,4.7,0.1,0.2,12.3,0.0,0.0,0.0,0.0,15.7,0.0,0.0
2 06/29/2020,0.5,"2,583.0",871.6,19.9,"7,185.6",4.5,0.6,1.1,"1,060.8","1,848.9",0.8,0.2,0.0,0.0870,87.0,0.0387,38.7,0.1,0.4,5.5,18.9,0.1,0.3,11.5,0.1,0.0,0.0,0.1,19.9,0.1,0.0
3 06/29/2020,0.5,"2,425.2",887.2,49.0,"7,166.7",10.3,0.4,0.9,"1,017.3","1,951.3",1.3,0.3,0.1,0.3048,304.8,0.0222,22.2,0.1,0.1,0.6,2.0,0.1,0.1,12.4,0.0,0.0,0.0,0.0,15.7,0.0,0.0
4 06/29/2020,0.5,"2,428.9",873.9,118.4,"7,123.7",3.5,0.4,1.0,"1,024.7","1,939.0",0.9,0.2,0.0,0.0780,78.0,0.0033,3.3,0.0,0.2,0.7,8.9,0.1,0.1,12.3,0.0,0.1,0.0,0.0,16.1,0.0,0.0
5 06/29/2020,0.5,"2,376.3",987.5,138.1,"7,032.4",48.6,0.5,0.8,"1,006.0","2,296.9",2.6,0.5,0.2,1.0052,"1,005.2",0.2711,271.1,0.7,0.3,1.2,3.0,0.1,0.2,14.9,0.0,0.0,0.0,0.0,26.6,0.1,0.0
6 06/29/2020,0.4,"2,392.8",971.4,21.6,"6,942.7",5.3,0.4,0.9,"1,001.0","2,288.9",-0.4,0.1,0.0,0.1450,145.0,0.3170,317.0,0.8,0.2,0.6,6.8,0.1,0.3,14.6,0.0,0.0,0.0,0.0,22.8,0.0,0.0
7 06/29/2020,0.4,"2,737.2","1,103.5",85.8,"8,185.7",29.2,-0.1,1.0,"1,089.6","2,696.5",2.0,0.5,0.1,5.0975,"5,097.5",0.8339,833.9,2.1,0.3,1.6,3.8,0.2,0.2,17.8,0.1,0.0,0.0,0.0,35.8,0.2,0.0
8 06/29/2020,0.4,"2,725.4","1,093.0",17.2,"8,160.3",3.4,-0.2,1.0,"1,074.1","2,679.6",0.8,0.3,0.1,4.5713,"4,571.3",0.8427,842.7,2.1,0.3,0.3,16.3,0.2,0.2,17.6,0.1,0.0,0.0,0.0,36.1,0.0,0.0
9 06/29/2020,0.4,"2,689.6","1,052.0",71.6,"8,041.5",23.3,-0.3,0.9,"1,084.9","2,497.6",1.7,0.5,0.2,4.5659,"4,565.9",0.5934,593.4,1.5,0.2,1.4,2.9,0.2,0.4,16.2,0.1,0.0,0.0,0.0,31.5,0.1,0.0
10 06/29/2020,0.4,"2,674.5","1,042.6",23.4,"8,030.1",4.8,-0.3,1.0,"1,082.1","2,524.0",0.9,0.3,0.0,4.4351,"4,435.1",0.6401,640.1,1.6,0.3,0.3,7.5,0.2,0.3,16.6,0.1,0.0,0.0,0.0,31.9,0.0,0.0
11 06/29/2020,0.5,"2,854.4","1,125.0",77.3,"8,494.9",41.1,-0.7,1.0,"1,121.8","2,746.0",1.8,0.6,0.1,7.6682,"7,668.2",0.8228,822.8,2.0,0.3,1.8,6.6,0.3,0.4,18.2,0.2,0.0,0.0,0.0,39.3,0.1,0.0
12 06/29/2020,0.4,"2,994.8","1,121.1",32.2,"8,465.6",25.3,-0.6,1.3,"1,363.2","2,807.3",1.0,0.4,0.1,7.4474,"7,447.4",0.8323,832.3,1.9,0.5,0.6,31.5,0.3,0.3,18.5,0.1,0.0,0.0,0.0,39.1,0.1,0.0
13 06/29/2020,0.3,"2,895.4","1,147.7",69.0,"8,771.6",62.2,-1.1,1.0,"1,134.6","2,901.6",1.7,0.6,0.1,10.2821,"10,282.1",0.9691,969.1,2.2,0.3,1.9,2.5,0.4,0.4,19.5,0.3,0.0,0.0,0.0,45.4,0.1,0.0
14 06/29/2020,0.3,"2,956.9","1,159.0",27.2,"8,726.6",47.3,-1.1,1.1,"1,155.2","2,924.7",1.1,0.5,0.1,10.0278,"10,027.8",0.9724,972.4,2.2,0.2,0.3,5.9,0.3,0.4,19.7,0.2,0.0,0.0,0.0,45.9,0.0,0.0
