ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick / Steve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm as SO4),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/07/2021 - 1,1.3,"2,969.9",967.9,38.3,"8,715.5",39.1,2.3,1.8,"1,038.4","2,139.6",3.6,0.4,0.2,506.2,28.2,0.4,0.2,1.3,11.6,0.1,0.2,13.9,0.1,0.0,0.1,0.2,13.0,1.5,0.0
06/07/2021 - 2,0.9,"2,966.1",922.3,19.6,"8,696.1",14.4,2.1,3.2,"2,739.4","1,963.6",1.1,0.3,0.1,311.4,5.8,0.2,0.1,4.3,10.4,0.1,0.2,13.1,0.0,0.0,0.0,0.1,11.2,1.3,0.0
06/07/2021 - 3,0.8,"2,915.0",961.5,54.2,"8,631.4",38.9,2.1,1.7,992.8,"2,108.3",1.9,0.3,0.2,506.1,30.5,0.2,0.2,1.1,10.9,0.1,0.1,13.9,0.0,0.0,0.0,0.0,12.5,1.3,0.0
06/07/2021 - 4,0.8,"2,901.8",928.4,15.2,"8,518.1",12.4,1.9,1.9,911.0,"1,971.3",1.0,0.3,0.1,252.1,4.2,0.1,0.2,1.1,145.0,0.1,0.3,13.2,0.0,0.0,0.0,0.0,11.3,1.2,0.0
06/07/2021 - 5,0.7,"2,657.2",942.0,15.2,"7,477.5",17.2,2.1,1.5,785.5,"2,166.4",1.0,0.1,0.2,315.3,25.9,0.1,0.1,0.9,2.7,0.1,0.3,14.7,0.0,0.0,0.0,0.0,20.3,1.2,0.0
06/07/2021 - 6,0.7,"2,721.4",947.8,7.7,"7,491.7",10.5,2.5,2.8,"2,204.3","2,163.9",1.1,0.1,0.2,76.2,4.2,0.1,0.2,1.1,72.2,0.1,0.3,14.6,0.0,0.0,0.0,0.0,20.4,1.2,0.0
06/07/2021 - 7,0.6,"2,587.7",935.1,12.0,"7,268.6",19.0,2.2,1.7,933.5,"2,177.5",0.9,0.0,0.2,516.4,146.9,0.2,0.2,1.2,13.1,0.1,0.2,14.4,0.0,0.0,0.0,0.0,26.3,1.3,0.0
06/07/2021 - 8,0.6,"2,619.4",935.7,7.6,"7,193.7",10.8,2.7,2.3,962.1,"2,195.3",0.9,0.1,0.2,54.4,131.2,0.2,0.5,1.0,543.3,0.1,0.3,15.1,0.1,0.0,0.1,0.4,25.3,1.2,0.0
06/07/2021 - 9,0.5,"2,585.8",945.9,12.0,"7,555.3",22.8,2.2,1.6,919.5,"2,223.1",1.0,0.1,0.2,"1,531.9",350.6,0.8,0.2,1.0,3.4,0.1,0.2,15.0,0.1,0.0,0.0,0.2,30.2,1.2,0.0
06/07/2021 - 10,0.5,"2,583.7",936.9,6.9,"7,498.2",11.5,2.2,1.8,964.7,"2,209.3",0.8,0.1,0.2,"1,004.0",338.8,0.8,0.2,0.7,152.8,0.1,0.2,14.9,0.1,0.0,0.0,0.1,25.7,1.3,0.0
06/07/2021 - 11,0.5,"2,579.5",968.6,10.7,"7,699.8",25.8,2.1,1.6,984.2,"2,337.4",1.0,0.1,0.2,"4,142.0",686.9,1.8,0.2,1.3,5.5,0.1,0.2,16.0,0.1,0.0,0.0,0.0,32.2,1.1,0.0
06/07/2021 - 12,0.5,"2,553.6",963.7,7.5,"7,681.9",16.0,2.0,1.7,995.6,"2,336.9",0.9,0.1,0.2,"3,891.1",680.7,1.8,0.3,0.6,86.2,0.1,0.2,15.8,0.1,0.0,0.0,0.0,32.1,1.2,0.0
06/07/2021 - 13,0.5,"2,551.4","1,024.9",52.1,"7,898.6",45.7,1.5,1.6,"1,061.4","2,636.6",2.5,0.3,0.4,"13,056.1","1,063.4",2.9,0.3,3.4,10.0,0.2,0.2,19.0,0.4,0.0,0.0,0.0,56.4,1.2,0.0
06/07/2021 - 14,0.5,"2,592.9","1,011.0",6.5,"7,755.5",22.5,2.0,3.7,"3,259.3","2,587.9",0.9,0.1,0.3,"10,901.7","1,016.4",2.6,0.3,0.7,222.7,0.2,0.1,18.6,0.4,0.0,0.0,0.0,51.2,1.1,0.0
06/07/2021 - 15,0.8,"3,310.3",807.8,106.0,"10,830.3",27.9,1.4,1.5,"1,186.8","2,036.2",3.3,0.3,0.3,271.0,36.0,0.2,0.2,1.6,13.1,0.1,0.2,14.0,0.0,0.0,0.1,-0.1,21.4,1.5,0.0
06/07/2021 - 16,0.7,"3,304.7",789.9,10.4,"10,887.9",19.7,2.3,1.5,"1,165.8","1,974.8",1.1,0.1,0.2,20.9,2.7,0.1,0.1,0.4,11.5,0.0,0.2,13.5,0.0,0.0,0.0,0.0,19.5,1.1,0.0
06/07/2021 - 17,0.7,"3,698.1","1,416.0",63.8,"12,628.9",37.9,2.1,1.6,"1,141.2","3,021.1",2.7,0.6,0.4,862.0,23.8,0.2,0.5,1.1,8.7,0.1,0.2,19.9,0.1,0.0,2.0,0.0,21.5,1.8,0.0
06/07/2021 - 18,0.6,"3,698.5","1,400.3",14.7,"12,652.6",20.6,2.2,1.6,"1,116.6","2,997.6",1.5,0.4,0.3,305.6,24.9,0.2,0.2,0.5,10.7,0.1,0.4,19.7,0.1,0.0,0.0,0.4,23.4,1.2,0.0
06/15/2021 - 1,0.5,"2,891.9",987.2,54.2,"8,845.7",37.7,1.8,1.4,"1,053.3","2,178.0",1.8,0.4,0.2,663.7,32.2,0.3,0.2,1.0,3.7,0.1,0.4,14.2,0.1,0.0,0.0,0.1,13.4,1.2,0.0
06/15/2021 - 2,0.5,"2,865.9",860.4,35.9,"8,765.4",18.5,1.6,4.9,"5,192.9","1,812.1",1.4,0.4,0.2,509.8,11.9,0.2,0.2,1.3,6.4,0.1,0.2,12.5,0.0,0.0,0.0,0.1,11.7,1.5,0.0
06/15/2021 - 3,0.5,"2,904.1",985.6,64.4,"8,930.2",42.2,1.9,1.5,"1,059.6","2,189.2",2.2,0.4,0.2,676.6,32.7,0.5,0.2,1.0,4.9,0.1,0.3,14.2,0.1,0.0,0.0,0.0,13.5,1.4,0.0
06/15/2021 - 4,0.5,"2,919.5",881.7,41.0,"8,879.3",15.0,1.5,1.5,960.0,"1,856.7",1.5,0.4,0.2,516.5,11.8,0.2,0.1,2.0,20.5,0.1,0.3,13.1,0.0,0.0,0.0,0.0,15.0,1.2,0.0
