ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick/Cissy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/12/2021 - 3,0.5,"3,233.7","1,105.3",14.0,"9,806.0",13.0,-0.7,0.7,"1,142.6","2,477.3",1.2,0.2,0.0,624.2,20.4,0.2,0.0,0.8,2.6,0.1,0.1,16.1,0.3,0.0,0.0,-0.3,18.8,0.5,0.0
07/12/2021 - 4,0.6,"3,498.1","1,168.1",14.5,"10,084.9",9.3,0.4,18.1,"21,823.6","2,681.0",1.1,0.2,0.1,303.1,28.0,0.2,0.3,22.1,76.5,0.2,0.1,17.0,0.3,0.2,0.0,-0.2,24.8,1.1,0.0
07/12/2021 - 5,0.5,"2,983.2","1,091.7",7.2,"8,226.9",70.2,0.5,0.7,"1,211.7","2,848.7",0.9,0.0,0.1,"1,312.9",502.6,0.9,0.0,0.5,3.3,0.1,0.0,18.8,0.2,0.0,0.0,-0.4,33.7,0.6,0.0
07/12/2021 - 6,0.5,"3,004.2","1,072.6",2.7,"8,119.9",8.5,0.4,2.9,"3,876.0","2,726.3",0.7,-0.1,0.0,-0.3,332.8,0.4,0.0,0.9,12.0,0.1,-0.4,18.3,0.1,0.0,0.0,-0.5,27.2,0.4,0.0
07/12/2021 - 7,0.4,"2,836.3","1,071.2",6.2,"8,255.3",30.0,0.4,0.5,"1,125.7","2,736.8",0.9,0.0,0.1,"3,892.4",627.7,1.4,0.0,0.5,4.5,0.1,0.1,18.3,0.1,0.0,0.0,-0.5,41.8,0.5,0.0
07/12/2021 - 8,0.4,"2,791.0","1,053.9",4.8,"8,185.2",6.0,0.6,1.5,"2,355.1","2,699.2",0.8,-0.1,0.1,"3,525.5",644.5,1.4,0.0,0.1,8.3,0.1,0.2,17.9,0.1,0.0,0.0,-0.4,37.7,0.7,0.0
07/12/2021 - 9,0.4,"2,843.2","1,066.6",8.0,"8,402.4",32.3,0.7,0.4,"1,115.3","2,722.3",0.8,0.0,0.1,"3,858.9",621.0,1.4,0.1,3.1,2.7,0.1,0.0,17.9,0.0,0.0,0.0,-0.5,38.4,0.6,0.0
07/12/2021 - 10,0.4,"2,820.6","1,043.6",4.9,"8,318.1",8.0,0.5,0.4,"1,094.9","2,655.5",0.7,-0.1,0.1,"3,305.2",604.4,1.3,0.0,0.1,15.7,0.1,0.0,17.7,0.0,0.0,0.0,-0.5,35.7,0.7,0.0
