ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cissy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/12/2022 - 1,0.5,"3,002.0","1,034.0",44.8,"6,809.7",10.9,2.1,-0.1,968.6,"2,408.8",1.1,0.1,0.1,432.5,32.4,0.1,0.1,1.6,3.1,-0.1,0.9,15.1,1.9,0.0,0.0,44.4,15.1,0.6,0.0
04/12/2022 - 2,0.4,"2,989.7","1,018.2",22.2,"6,767.0",1.5,1.8,-0.1,979.2,"2,388.2",0.6,0.0,0.1,124.5,4.6,0.0,0.1,1.5,6.0,-0.1,1.2,15.0,1.8,0.0,0.0,19.1,14.2,0.6,0.0
04/12/2022 - 3,0.4,"2,922.7","1,013.4",34.6,"6,683.0",15.0,1.5,-0.3,993.6,"2,524.6",1.0,0.1,0.1,450.5,35.0,0.1,0.1,1.6,9.1,-0.1,1.2,15.1,1.8,0.0,0.0,12.9,15.3,0.3,0.0
04/12/2022 - 4,0.4,"2,935.6","1,009.2",25.3,"6,708.1",1.4,1.3,-0.2,965.3,"2,373.6",0.7,0.1,0.1,130.2,3.2,0.0,0.1,1.5,12.9,-0.1,1.3,14.9,1.8,0.0,0.0,8.9,17.2,0.3,0.0
04/12/2022 - 5,0.4,"2,893.0","1,011.6",36.7,"6,689.6",11.2,1.0,-0.3,973.2,"2,397.9",1.0,0.1,0.1,487.2,41.9,0.1,0.1,1.7,3.1,-0.1,1.3,15.1,1.8,0.0,0.0,4.9,15.8,0.7,0.0
04/12/2022 - 6,0.4,"2,915.4",999.4,17.8,"6,727.8",0.8,1.0,-0.2,978.5,"2,403.8",0.7,0.1,0.1,117.7,1.7,0.0,0.1,1.2,18.2,0.0,1.7,15.0,2.1,0.0,0.0,4.0,15.9,2.2,0.0
04/12/2022 - 7,0.4,"2,919.0","1,027.6",34.0,"6,746.2",12.4,0.9,-0.3,"1,006.2","2,452.6",1.0,0.2,0.1,490.6,47.4,0.1,0.1,1.8,2.4,0.0,1.6,15.3,2.0,0.0,0.0,3.1,16.3,0.3,0.0
04/12/2022 - 8,0.4,"2,902.7","1,009.7",17.0,"6,682.0",0.0,0.7,-0.3,999.4,"2,416.8",0.6,0.1,0.1,91.3,1.5,0.0,0.1,1.2,20.1,0.0,1.4,15.3,1.9,0.0,0.0,2.2,23.8,0.2,0.0
