ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cissy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/13/2022 - 1,0.4,"2,703.4","1,013.4",16.8,"3,649.7",14.8,1.8,-1.1,"1,209.6","2,328.9",0.5,0.1,-0.3,445.7,28.1,0.1,-1.1,0.1,0.9,-0.1,-0.8,16.2,-0.4,0.0,0.0,68.7,24.4,0.8,0.0
09/13/2022 - 3,0.4,"2,708.3","1,016.5",21.0,"3,693.3",15.4,1.6,-1.2,"1,211.0","2,306.7",0.6,0.1,-0.3,477.5,26.2,0.1,-1.2,0.1,-0.1,-0.1,-0.7,16.1,-0.4,0.0,0.0,22.1,24.6,0.2,0.0
09/13/2022 - 4,0.4,"2,694.5","1,003.3",11.7,"3,751.0",3.7,1.5,-1.2,"1,207.8","2,296.2",0.4,0.0,-0.3,188.3,16.8,0.0,-1.2,0.3,13.3,-0.1,-0.9,16.1,-0.4,0.0,0.0,13.3,25.3,0.2,0.0
09/13/2022 - 5,0.4,"2,886.0","1,114.1",19.6,"4,470.4",41.6,1.4,-1.1,"1,277.8","2,662.9",0.7,0.1,-0.3,829.5,355.6,0.4,-1.2,-0.1,0.1,-0.1,-0.7,18.9,-0.4,0.0,0.0,7.7,34.4,0.1,0.0
09/13/2022 - 6,0.4,"2,886.1","1,114.2",6.9,"4,563.5",3.4,1.2,-1.1,"1,253.7","2,667.6",0.4,0.0,-0.3,115.8,375.4,0.2,-1.2,-0.3,24.4,-0.1,-0.7,19.1,-0.3,0.0,0.0,3.1,34.7,0.1,0.0
09/13/2022 - 7,0.4,"2,956.6","1,199.0",12.4,"6,856.5",32.6,0.9,-1.2,"1,328.0","3,206.1",0.8,0.1,-0.3,"4,555.2","1,035.3",2.0,-1.2,-0.3,0.2,0.0,-0.7,22.4,-0.3,0.0,0.0,3.1,63.7,0.1,0.0
09/13/2022 - 8,0.4,"2,983.7","1,188.6",5.8,"6,667.7",1.6,0.8,-1.2,"1,342.0","3,194.4",0.5,0.0,-0.3,"3,162.9","1,031.8",2.0,-1.2,-0.5,9.0,-0.1,-0.8,22.4,0.3,0.0,0.0,2.3,65.0,0.1,0.0
09/13/2022 - 9,0.3,"3,036.2","1,252.4",9.0,"7,884.5",41.4,0.8,-1.3,"1,328.8","3,351.5",0.7,0.0,-0.3,"4,916.3","1,267.2",2.3,-1.2,-0.5,0.4,0.0,-0.7,23.7,-0.3,0.0,0.0,1.7,66.6,0.1,0.0
