ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/29/2024 - 1,0.4,"3,080.1","1,062.8",35.3,"6,451.9",17.3,0.7,0.2,"1,204.8","2,560.4",1.5,0.0,0.1,257.4,31.5,0.1,0.2,2.4,3.8,0.0,-0.2,16.0,0.0,-0.1,0.0,0.0,18.6,0.2,0.0
01/29/2024 - 2,0.4,"3,416.6","1,076.3",9.9,"6,619.3",1.4,0.9,0.2,"1,187.6","2,602.8",0.8,-0.1,0.0,100.4,15.0,0.1,0.2,1.8,1.6,0.0,-0.3,16.0,0.0,-0.1,0.0,0.0,16.0,0.1,0.0
01/29/2024 - 3,0.4,"3,059.9","1,062.8",38.6,"6,445.6",17.2,0.8,0.2,"1,189.2","2,495.9",1.5,0.0,0.1,268.7,32.3,0.1,0.1,2.8,2.4,0.0,-0.3,15.9,0.0,-0.1,0.0,0.0,18.5,0.2,0.0
01/29/2024 - 4,0.4,"3,216.2","1,093.4",14.8,"6,617.6",3.0,0.8,0.5,"1,400.1","2,610.2",1.0,-0.1,0.1,116.9,14.4,0.1,0.5,3.3,33.1,0.0,-0.3,16.2,0.0,-0.1,0.1,0.1,18.6,0.3,0.0
01/29/2024 - 5,0.4,"3,146.1","1,087.7",37.6,"6,726.9",17.5,0.9,0.4,"1,217.1","2,592.5",1.4,0.0,0.1,271.2,32.9,0.1,0.1,1.9,1.5,0.0,-0.3,16.4,0.0,-0.1,0.0,0.0,18.7,0.1,0.0
01/29/2024 - 6,0.4,"3,120.1","1,067.3",18.9,"6,661.5",2.5,0.8,0.4,"1,187.1","2,539.1",0.9,-0.1,0.1,123.8,13.5,0.1,0.2,1.7,9.3,0.0,-0.4,16.0,0.0,-0.1,0.0,0.0,18.9,0.3,0.0
01/29/2024 - 7,0.4,"3,064.3","1,057.2",41.3,"6,279.1",16.6,0.8,0.2,"1,172.1","2,511.0",1.4,0.0,0.1,268.3,32.7,0.1,0.1,2.1,1.5,0.0,-0.3,16.0,0.0,-0.1,0.0,0.0,18.2,0.1,0.0
01/29/2024 - 8,0.3,"3,331.9","1,067.1",9.2,"6,589.9",1.0,0.7,0.2,"1,186.1","2,577.7",0.8,-0.1,0.1,107.2,14.9,0.1,0.1,1.3,1.8,0.0,-0.4,16.0,0.0,-0.1,0.0,0.0,15.3,0.1,0.0
