ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/09/2024 - 1,0.4,"3,431.4","1,231.7",40.8,"6,377.5",20.2,-0.4,0.9,"1,281.7","2,737.0",1.5,0.3,0.1,371.4,40.4,0.1,0.1,1.3,3.0,0.2,1.4,18.4,0.4,0.0,0.0,0.0,24.3,0.1,0.1
09/09/2024 - 2,0.5,"3,496.5","1,239.8",20.3,"6,401.4",2.3,0.0,0.9,"1,504.6","2,739.9",1.1,0.1,0.1,83.2,6.3,0.0,0.1,1.2,11.0,0.2,1.0,18.4,0.3,0.0,0.0,0.0,23.8,0.1,0.0
09/09/2024 - 3,0.5,"3,623.2","1,288.6",28.9,"6,573.5",15.0,0.1,0.8,"1,334.1","2,830.1",1.1,0.2,0.1,391.8,40.9,0.1,0.1,1.3,5.6,0.2,1.4,19.2,0.2,0.0,0.0,0.0,25.3,0.1,0.0
09/09/2024 - 4,0.4,"3,507.8","1,251.3",16.9,"6,344.7",1.2,0.1,0.8,"1,299.3","2,713.0",0.9,0.1,0.1,73.2,12.1,0.1,0.1,1.3,19.4,0.2,0.9,18.4,0.2,0.0,0.0,0.0,24.4,0.1,0.0
09/09/2024 - 5,0.4,"3,461.2","1,275.2",20.6,"6,780.9",18.5,0.0,0.7,"1,303.0","2,851.6",1.0,0.2,0.1,399.8,218.7,0.3,0.1,1.1,2.7,0.2,0.8,19.4,0.2,0.0,0.0,0.0,29.6,0.1,0.0
09/09/2024 - 6,0.4,"3,468.2","1,250.4",16.6,"6,637.8",1.0,-0.2,0.7,"1,287.3","2,797.1",0.8,0.1,0.1,63.9,139.7,0.1,0.1,0.8,13.5,0.2,0.6,19.2,0.1,0.0,0.0,0.0,28.4,0.0,0.0
09/09/2024 - 7,0.4,"3,409.9","1,306.6",27.9,"8,566.3",26.0,0.0,0.8,"1,408.5","3,176.2",1.1,0.2,0.1,"3,227.3","1,096.4",2.2,0.3,1.4,8.2,0.2,0.7,21.7,0.1,0.0,0.0,0.0,57.8,0.2,0.0
09/09/2024 - 8,0.3,"3,386.7","1,287.5",13.9,"8,412.6",-0.7,-0.1,0.8,"1,445.2","3,098.1",1.0,0.0,0.1,"1,193.8","1,058.7",2.1,0.3,0.9,27.0,0.1,0.5,21.3,0.1,0.0,0.0,0.0,57.6,0.1,0.0
