ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tallory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/23/2025 - 1,0.3,"2,506.3",890.1,58.0,"6,782.2",12.0,0.8,0.5,"1,210.4","1,946.6",2.0,-0.2,0.1,677.8,28.1,0.1,0.1,0.8,0.2,0.1,0.2,13.5,0.4,0.0,0.0,0.1,15.3,0.2,0.1
06/23/2025 - 2,0.4,"2,543.1",862.2,39.2,"6,713.9",4.3,0.9,0.5,"1,532.4","1,891.8",1.6,-0.2,0.1,476.6,7.5,0.1,0.2,1.4,3.5,0.0,-0.2,13.0,0.3,0.0,0.0,0.1,14.3,0.8,0.1
06/23/2025 - 3,0.3,"2,527.7",905.3,47.3,"6,908.0",14.2,1.0,0.2,"1,187.4","1,980.5",1.6,-0.2,0.1,708.8,32.7,0.2,0.1,0.8,-0.1,0.0,-0.3,13.4,0.1,0.0,0.0,0.0,14.4,0.2,0.1
06/23/2025 - 4,0.3,"2,512.2",853.7,32.9,"6,842.5",4.5,1.0,0.1,"1,206.5","1,852.1",1.2,-0.3,0.1,450.6,3.7,0.1,0.1,0.9,0.9,0.0,-0.1,12.6,0.1,0.0,0.0,0.0,12.1,0.3,0.0
06/23/2025 - 5,0.3,"2,514.3",981.8,35.5,"6,498.5",14.2,1.3,0.1,"1,193.0","2,265.1",1.4,-0.4,0.1,"1,074.0",175.9,0.4,0.1,0.9,1.4,-0.1,-0.2,15.7,0.0,0.0,0.0,0.0,29.8,0.2,0.0
06/23/2025 - 6,0.3,"2,540.6",978.4,18.6,"6,485.6",2.4,1.3,-0.1,"1,228.1","2,222.8",0.9,-0.5,0.1,504.4,159.8,0.3,0.2,0.9,6.1,-0.1,-0.4,15.4,0.0,0.0,0.0,0.0,28.6,0.3,0.0
06/23/2025 - 7,0.3,"2,508.1","1,013.7",33.3,"6,757.7",11.2,1.6,-0.2,"1,213.5","2,397.8",1.2,-0.5,0.2,"1,400.8",502.3,0.8,0.2,1.4,1.4,-0.1,-0.6,16.7,-0.1,0.0,0.0,0.0,36.0,0.2,0.0
06/23/2025 - 8,0.3,"2,553.0","1,007.1",13.0,"6,714.7",0.5,1.6,0.0,"1,267.8","2,381.1",0.8,-0.6,0.1,264.6,488.9,0.8,0.3,1.5,10.0,-0.1,-0.6,16.5,-0.1,0.0,0.0,0.0,37.7,0.1,0.0
