"","Reservoir","Site","DateTime","Depth_m","Rep","RunDate","NH4_ugL","PO4_ugL","NO3NO2_ugL","Notes_lachat","SampleID_lachat","Flag_DateTime","Flag_NH4","Flag_PO4","Flag_NO3NO2","SRP_ugL","Flag_SRP"
"1","BVR",50,2022-01-26 13:25:00,0.1,1,"9/8/22",10,2.9,2,"","B 26jan 0.1",0,0,3,3,3,3
"2","BVR",50,2022-01-26 13:32:00,3,1,"9/8/22",9,2.9,4,"","B 26jan 3.0",0,0,3,3,3,3
"3","BVR",50,2022-01-26 13:40:00,6,1,"9/8/22",10,2.2,2,"","B 26jan 6.0",0,0,3,3,2,3
"4","BVR",50,2022-01-26 13:50:00,9,1,"9/8/22",9,2.5,0,"26-Jan","B 25jan 9.0",0,0,3,3,2,3
"5","BVR",50,2022-02-24 10:02:00,0.1,1,"9/8/22",44,1.8,16,"","B 24feb 0.1",0,0,3,0,2,3
"6","BVR",50,2022-02-24 10:14:00,3,1,"9/8/22",40,3,28,"","B 24feb 3.0",0,0,0,0,3,0
"7","BVR",50,2022-02-24 10:30:00,6,1,"9/8/22",38,2.8,15,"","B 24feb 6.0",0,0,3,0,3,3
"8","BVR",50,2022-02-24 10:43:00,9,1,"9/8/22",45,4.2,18,"","B 24mar 9.0",0,0,0,0,4,0
"9","BVR",50,2022-03-22 11:14:00,0.1,1,"9/21/22",19,5.2,4,"","B 22mar 0.1",0,0,0,0,5,0
"10","BVR",50,2022-03-22 11:30:00,3,1,"9/8/22",9,2.8,2,"","B 22mar 3.0",0,0,3,3,3,3
"11","BVR",50,2022-03-22 11:40:00,6,1,"9/21/22",31,5.5,6,"","B 22mar 6.0",0,0,0,0,6,0
"12","BVR",50,2022-03-22 12:00:00,9,1,"9/8/22",81,3.4,7,"Flag_DateTime","B 22mar 9.0",0,0,0,0,3,0
"13","BVR",50,2022-04-12 14:23:00,0.1,1,"9/8/22",10,2.8,1,"","B 12apr 0.1",0,0,3,3,3,3
"14","BVR",50,2022-04-12 14:48:00,6,1,"9/8/22",14,4.1,6,"","B 12apr 6.0",0,0,0,0,4,0
"15","BVR",50,2022-04-12 14:56:00,9,1,"10/5/22",17,5.5,7,"","b 12apr 9.0",0,0,0,0,6,0
"16","BVR",50,2022-05-02 10:26:00,0.1,1,"9/8/22",8,2.5,1,"","B 02may 0.1",0,0,3,3,2,3
"17","BVR",50,2022-05-02 10:32:00,3,1,"9/8/22",18,4.7,6,"","B 02may 3.0",0,0,0,0,5,0
"18","BVR",50,2022-05-02 10:39:00,6,1,"9/21/22",15,6.5,4,"","B 02may 6.0",0,0,0,3,6,0
"19","BVR",50,2022-05-02 10:48:00,9,1,"9/21/22",20,2,3,"","B 02may 9.0",0,0,3,3,2,3
"20","BVR",40,2022-05-05 11:47:00,4,1,"9/8/22",3,3.4,1,"4m","B01 05may 6.0",0,3,0,3,3,0
"21","BVR",50,2022-05-05 14:36:00,0.1,1,"9/8/22",7,2,4,"","B50 05may 0.1",0,0,3,0,2,3
"22","BVR",50,2022-05-09 11:48:00,3,1,"9/8/22",11,3.2,0,"","B50 09may 3.0",0,0,0,43,3,0
"23","BVR",50,2022-05-09 12:00:00,6,1,"9/8/22",7,2.4,2,"Flag_DateTime","B50 09may 6.0",0,0,3,3,2,3
"24","BVR",50,2022-05-09 12:15:00,9,1,"9/21/22",115,2.9,4,"","B50 09may 9.0",0,0,3,0,3,3
"25","BVR",50,2022-05-17 12:25:00,0.1,1,"9/8/22",5,5.6,0,"","B50 17may 0.1",0,0,0,43,6,0
"26","BVR",50,2022-05-17 12:50:00,3,1,"9/8/22",8,3.1,2,"17-May","B50 12may 3.0",0,0,0,3,3,0
"27","BVR",50,2022-05-17 13:15:00,6,1,"9/8/22",13,4,2,"","B50 17may 6.0",0,0,0,3,4,0
"28","BVR",50,2022-05-17 15:32:00,9,1,"9/21/22",334,4.6,2,"","B50 17may 9",0,0,0,3,5,0
"29","BVR",50,2022-05-23 11:50:00,0.1,1,"9/8/22",6,3.2,2,"","B50 23may 0.1",0,0,0,3,3,0
