Detection Date,Run File Name,Sample ID,Cup Number,Auto Dilution Factor,Manual Dilution Factor,Analyte Name,Concentration Units,Peak Height,Peak Area,Peak Concentration,Analyte Name,Concentration Units,Peak Height,Peak Area,Peak Concentration

2/8/2023,OM_2-8-2023_12-05-24PM BRN edit flat.omn,nitrite in water,S1,1,1,TN,ug N/L,2.24,30.5,1440,TP,ug P/L,-0.0196,-0.17,-49
2/8/2023,OM_2-8-2023_12-05-24PM BRN edit flat.omn,nitrate in water,S2,1,1,TN,ug N/L,2.21,29.7,1400,TP,ug P/L,-0.015,-0.122,-48.7
2/8/2023,OM_2-8-2023_12-05-24PM BRN edit flat.omn,water,S3,1,1,TN,ug N/L,-0.0165,-0.274,-74.4,TP,ug P/L,-0.022,-0.227,-49.2
2/8/2023,OM_2-8-2023_12-05-24PM BRN edit flat.omn,ch25/250,7,1,1,TN,ug N/L,0.47,6.26,242,TP,ug P/L,0.071,0.863,-43.1
2/8/2023,OM_2-8-2023_12-05-24PM BRN edit flat.omn,bisulfate carrier,S4,1,1,TN,ug N/L,-0.0025,-0.0316,-62.7,TP,ug P/L,0.0484,0.653,-44.6
2/8/2023,OM_2-8-2023_12-05-24PM BRN edit flat.omn,water,S3,1,1,TN,ug N/L,-0.0167,-0.267,-74.1,TP,ug P/L,0.0114,0.176,-47
2/8/2023,OM_2-8-2023_12-05-24PM BRN edit flat.omn,bisulfate carrier,S4,1,1,TN,ug N/L,-0.00439,-0.035,-62.9,TP,ug P/L,0.042,0.5,-45
2/8/2023,OM_2-8-2023_12-05-24PM BRN edit flat.omn,water,20,1,1,TN,ug N/L,0.084,1.2,-3.48,TP,ug P/L,0.0482,0.56,-44.6
2/8/2023,OM_2-8-2023_12-05-24PM BRN edit flat.omn,water,21,1,1,TN,ug N/L,0.0936,1.22,-2.22,TP,ug P/L,0.0476,0.617,-44.6
2/8/2023,OM_2-8-2023_12-05-24PM BRN edit flat.omn,water,22,1,1,TN,ug N/L,0.0896,1.28,0.652,TP,ug P/L,0.0538,0.764,-44.2
2/8/2023,OM_2-8-2023_12-05-24PM BRN edit flat.omn,water,23,1,1,TN,ug N/L,0.095,1.3,1.41,TP,ug P/L,0.0539,0.721,-44.2
2/8/2023,OM_2-8-2023_12-05-24PM BRN edit flat.omn,water,24,1,1,TN,ug N/L,0.0925,1.31,1.89,TP,ug P/L,0.0537,0.741,-44.3
