SampleID,Reservoir,Site,DateTime,Depth_m,Rep,RunDate,TP_ugL,TN_ugL,Notes_TP,Notes_TN
F24Jun19Tinf,FCR,100,6/24/19,0.1,NA,1/13/20,21.45,364.5,,
F29Apr19T3.8,FCR,50,4/29/19,3.8,NA,1/13/20,25.35,450,,
F29Jul19T3.8,FCR,50,7/29/19,3.8,NA,1/13/20,26.4,661.5,,
F8FebT6.2,FCR,50,2/8/19,6.2,NA,1/13/20,9,223.5,,
F15Jul19T5,FCR,50,7/15/19,5,NA,1/13/20,10.65,408,,
S16May19T0.1,FCR,50,5/16/19,0.1,NA,1/13/20,8.4,225,,
F29Jul19T8,FCR,50,7/29/19,8,NA,1/13/20,13.05,582,,
F6May19T8.0,FCR,50,5/6/19,8,NA,1/13/20,8.85,298.5,,
F3Jun19T9.0,FCR,50,6/3/19,9,NA,1/13/20,17.4,360,,
F8Aug19T9.0,FCR,50,8/8/19,9,NA,1/13/20,28.8,1017,,
T5Aug19Twet,FCR,200,8/5/19,0.1,NA,1/13/20,33.75,283.5,,
F10Jun19T9,FCR,50,6/10/19,9,NA,1/13/20,9.45,276,,
F3Jun19T3.8,FCR,50,6/3/19,3.8,NA,1/13/20,6.15,199.5,,
F3Jun19T0.1,FCR,50,6/3/19,0.1,NA,1/13/20,13.65,321,,
F27May19T3.8,FCR,50,5/27/19,3.8,NA,1/13/20,13.65,289.5,,
F22Apr19T9.0,FCR,50,4/22/19,9,NA,1/13/20,14.85,355.5,,
F24Jun19Twet,FCR,200,6/24/19,0.1,NA,1/13/20,76.05,471,,
F15Apr19T6.2,FCR,50,4/15/19,6.2,NA,1/13/20,15.15,306,,
F10Jun19T3.8,FCR,50,6/10/19,3.8,NA,1/13/20,11.7,288,,
F21Jan19T8,FCR,50,1/21/19,8,NA,1/13/20,6.45,193.5,,
F17Jun19T8.0,FCR,50,6/17/19,8,NA,1/13/20,13.2,285,,
F18MarTinf1,FCR,100,3/18/19,0.1,NA,1/13/20,119.55,789,,
F13Jun19T0.1,FCR,50,6/13/19,0.1,NA,1/13/20,9.9,300,,
F30May19T9.0,FCR,50,5/30/19,9,NA,1/13/20,22.95,385.5,,
F5Aug19T8.0,FCR,50,8/5/19,8,NA,1/13/20,16.8,670.5,,
F22Apr19T5.0,FCR,50,4/22/19,5,NA,1/13/20,10.35,198,,
F15Jul19Tinf,FCR,100,7/15/19,0.1,NA,1/13/20,24,426,,
F10Jun19T8,FCR,50,6/10/19,8,NA,1/13/20,13.5,279,,
F18Jul19T5.0,FCR,50,7/18/19,5,NA,1/13/20,18.3,510,,
F29Apr19T6.2,FCR,50,4/29/19,6.2,NA,1/13/20,11.7,273,,
F24Jun19T5,FCR,50,6/24/19,5,NA,1/13/20,9.6,261,,
F13Jun19T5.0,FCR,50,6/13/19,5,NA,1/13/20,9.9,282,,
F22Apr19Twet,FCR,200,4/22/19,0.1,NA,1/13/20,110.1,549,,
F29Jul19T5,FCR,50,7/29/19,5,NA,1/13/20,19.65,537,,
F13May19T8.0,FCR,50,5/13/19,8,NA,1/13/20,13.65,387,,
F27May19Twet,FCR,200,5/27/19,0.1,NA,1/13/20,150.6,553.5,,
F5Aug19T5.0,FCR,50,8/5/19,5,NA,1/13/20,18.45,505.5,,
F5Aug19T3.8,FCR,50,8/5/19,3.8,NA,1/13/20,17.25,439.5,,
F24Jun19T3.8,FCR,50,6/24/19,3.8,NA,1/13/20,14.55,364.5,,
F3Jun19T8.0,FCR,50,6/3/19,8,NA,1/13/20,13.8,285,,
F5Aug19T6.2,FCR,50,8/5/19,6.2,NA,1/13/20,7.8,537,,
F27May19T9,FCR,50,5/27/19,9,NA,1/13/20,9.75,213,,
F20May19T8.0,FCR,50,5/20/19,8,NA,1/13/20,11.1,256.5,,
F3Jun19T6.2,FCR,50,6/3/19,6.2,NA,1/13/20,4.5,163.5,,
F17Jun19T9.0,FCR,50,6/17/19,9,NA,1/13/20,6,180,,
F18MarTinf2,FCR,200,3/18/19,0.1,NA,1/13/20,16.2,189,,
F6Jun19T9.0,FCR,50,6/6/19,9,NA,1/13/20,2.55,147,,
F6May19T6.2,FCR,50,5/6/19,6.2,NA,1/13/20,1.95,160.5,,
F10Jun19T5,FCR,50,6/10/19,5,NA,1/13/20,7.2,211.5,,
F15Jul19T0.1,FCR,50,7/15/19,0.1,NA,1/13/20,7.2,367.5,,
F3Jun19T5,FCR,50,6/3/19,5,NA,1/13/20,3.9,166.5,,
F1Apr19T0.1,FCR,50,4/1/19,0.1,NA,1/13/20,-0.45,126,,
F24Jun19T9,FCR,50,6/24/19,9,NA,1/13/20,6.9,370.5,,
F10Jun19T0.1,FCR,50,6/10/19,0.1,NA,1/13/20,5.25,232.5,,
F6May19T3.8,FCR,50,5/6/19,3.8,NA,1/13/20,5.7,181.5,,
