"","Reservoir","Site","DateTime","Depth_m","Rep","RunDate","NH4_ugL","PO4_ugL","NO3NO2_ugL","Notes_lachat","SampleID_lachat","Flag_NH4","Flag_PO4","Flag_NO3NO2","RunDate_DOC","DOC_mgL","DIC_mgL","DC_mgL","DN_mgL","Notes_DOC","SampleID_DOC","Flag_DOC","Flag_DIC","Flag_DC","Flag_DN"
"1","FCR","50",2019-01-17,6.2,"","2019-10-21",17.5,2.2,0,"","",0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","BVR","100",2019-01-21,0.1,"R1","2019-10-21",5.09,1.3,2.25,"","",0,3,3,"2019-10-22","0.95","2.1","3.05","0.15","","",7,7,7,7
"3","BVR","100",2019-01-21,0.1,"R2","2019-10-21",2.13,0.658,5.82,"","",3,3,0,"2019-10-21","1.95","3","2.45","0.05","ran twice, sample averaged","",7,7,7,7
"4","BVR","200",2019-01-21,0.1,"R1","2020-01-07",0,3.19,13.5,"","",3,0,0,"2019-10-23","1.5","2.4","3.9","0.1","","",0,0,0,0
"5","BVR","200",2019-01-21,0.1,"R2","2019-10-21",10.6,0.457,14.2,"","",0,3,0,"2019-10-21","1.5","2.4","3.9","0.1","","",0,0,0,0
"6","BVR","rightarmeast",2019-01-21,0.1,"","2020-01-07",0,3.39,108,"","",3,0,0,"2019-10-24","0.9","2.5","3.4","0.2","","",0,0,0,0
"7","BVR","rightarmwest",2019-01-21,0.1,"R1","2019-10-21",1.46,3.45,6.19,"","",3,0,0,"2019-10-22","1.5","2.5","4","0.1","","",0,0,0,0
"8","BVR","rightarmwest",2019-01-21,0.1,"R2","2019-10-21",4.06,3.43,5.58,"","",3,0,0,"2019-10-24","1.2","2.4","3.6","0.1","","",0,0,0,0
"9","FCR","50",2019-01-21,0.1,"","2019-10-21",6.34,2.05,11.7,"","",0,0,0,"2019-10-21","2.4","2.5","4.9","0.1","","",0,0,0,0
"10","FCR","50",2019-01-21,3.8,"","2019-10-21",2.28,0,12.5,"","",3,3,0,"2019-10-22","2","3.1","5.2","0.1","","",0,0,0,0
"11","FCR","50",2019-01-21,5,"","2019-10-21",26,2.93,15.6,"","",0,0,0,"2019-10-23","2.3","3.1","5.5","0.2","","",0,0,0,0
"12","FCR","50",2019-01-21,6.2,"","2019-10-21",12.8,2.76,11.7,"","",0,0,0,"2019-10-24","2.3","3","5.2","0.1","","",0,0,0,0
"13","FCR","50",2019-01-21,8,"","2019-10-21",2.97,1.54,10.2,"","",3,3,0,"2019-10-23","2.5","3","5.4","0.1","","",0,0,0,0
"14","FCR","50",2019-01-21,9,"","2019-10-21",1.26,0.601,10.2,"","",3,3,0,"2019-10-23","2.1","3","5.1","0.1","","",0,0,0,0
"15","FCR","50",2019-01-21,9.5,"","2019-10-21",1.54,1.03,11.3,"","",3,3,0,"2019-10-21","2.2","3.1","5.4","0.1","",NA,7,7,7,0
"16","FCR","100",2019-01-21,0.1,"","2020-03-18",6.06,2.7,55.8,"","F 21jan19 s inf",0,0,0,"2019-10-24","2.4","2.2","4.6","0.2","","",0,0,0,0
"17","FCR","50",2019-02-08,0.1,"","2019-10-21",7.13,2.91,0.983,"","",0,0,3,"2020-03-24","1.45","2.35","3.75","0.1","","F 08feb19 s 0.1",7,7,7,7
"18","FCR","50",2019-02-08,3.8,"","2019-10-21",24,1.62,0,"","",0,3,3,"2019-10-24","1.9","3.1","5","0.1","","",0,0,0,0
"19","FCR","50",2019-02-08,5,"","2019-10-21",8.63,2.58,0.602,"","",0,0,3,"2019-10-23","2.5","3.1","5.6","0.2","","",0,0,0,0
"20","FCR","50",2019-02-08,6.2,"","2019-10-21",15.3,1.81,0.734,"","",0,3,3,"2019-10-23","2.4","2.7","5.1","0.1","","",0,0,0,0
"21","FCR","50",2019-02-08,9,"","2019-10-21",9.76,1.16,0,"","",0,3,3,"2019-10-24","2","3.1","5.1","0.1","","",0,0,0,0
"22","FCR","100",2019-02-08,0.1,"","2019-10-21",8.92,5.38,45.4,"","",0,0,0,"2019-10-22","2.1","2.8","4.9","0.2","","",0,0,0,0
"23","FCR","200",2019-02-08,0.1,"","2019-10-21",4.67,2.22,42.7,"","",0,0,0,"2019-10-21","1.8","3.8","5.6","0.1","","",0,0,0,0
"24","FCR","50",2019-03-18,0.1,"","2019-10-14",9.88,1.21,14.9,"","",0,3,0,"2020-03-23","1.7","2.6","4.3","0.1","","F 18mar19 s 0.1",0,0,0,0
"25","FCR","50",2019-03-18,3.8,"","2019-10-14",5.77,2.47,13.3,"","",0,0,0,"2020-03-19","1.7","2.5","4.3","0.1","","F 18mar19 s 3.8",0,0,0,0
"26","FCR","50",2019-03-18,5,"","2019-10-07",9.679753372,7.2078056,29.29949653,"","",0,0,0,"2019-09-23","2.4","3.1","5.5","0.2","","",0,0,0,0
"27","FCR","50",2019-03-18,6.2,"","2019-10-07",19.39163379,7.8121624,22.71703633,"","",0,0,0,"2019-09-23","2.2","2.8","5","0.2","","",0,0,0,0
"28","FCR","50",2019-03-18,8,"","2019-10-07",16.51224603,7.026463616,44.29967171,"","",0,0,0,"2019-09-25","2","2.8","4.8","0.2","","",0,0,0,0
"29","FCR","50",2019-03-18,9,"","2019-10-07",12.0510956,10.04672442,38.37275489,"","",0,0,0,"2019-09-23","1.9","3","4.9","0.2","","",0,0,0,0
"30","FCR","100",2019-03-18,0.1,"","2019-10-07",5.306578776,8.7183616,19.79451099,"","",0,0,0,"2019-09-24","2.9","2.3","5.2","0.2","","",0,0,0,0
"31","FCR","100",2019-03-18,0.1,"","2019-10-07",8.935608966,9.744899936,20.24400961,"","",0,0,0,"2019-09-24","2.9","2.3","5.2","0.2","","",0,0,0,0
"32","FCR","200",2019-03-18,0.1,"","2019-10-14",10.4,5.21,73.9,"","",0,0,0,"2019-10-16","1.6","3.4","5","0.1","","",0,0,0,0
"33","FCR","50",2019-04-01,0.1,"","2019-10-14",9.44,1.34,3.88,"","",0,3,0,"2020-03-18","1.9","2.8","4.7","0.1","","F 01apr19 s 0.1",0,0,0,0
"34","FCR","50",2019-04-01,3.8,"","2019-10-14",3.69,2.58,1.7,"","",3,0,3,"2019-10-16","2.3","3.1","5.4","0.1","","",0,0,0,0
"35","FCR","50",2019-04-01,6.2,"","2019-10-14",5.11,2.92,2.4,"","",0,0,3,"2020-03-19","3.5","3.3","2.95","0.1","ran twice, sample averaged","F 01apr19 s 6.2",7,7,7,7
"36","FCR","50",2019-04-01,6.2,"","2019-10-14",6.78,2.68,5.57,"","",0,0,0,"2020-03-19","3.5","3.3","2.95","0.1","ran twice, sample averaged","F 01apr19 s 6.2",7,7,7,7
"37","FCR","50",2019-04-01,8,"","2019-10-14",27.3,4.07,31.1,"","",0,0,0,"2019-11-05","3.3","2.2","5.5","0.2","","",0,0,0,0
"38","FCR","50",2019-04-01,9,"","2019-10-07",43.55595923,6.935786576,36.62434851,"","",0,0,0,"2019-09-25","1.9","3.4","5.3","0.2","","",0,0,0,0
"39","FCR","100",2019-04-01,0.1,"","2019-10-14",4.68,2.67,16.1,"","",0,0,0,"2019-11-05","3.3","1.5","4.8","0.1","","",0,0,0,0
"40","FCR","200",2019-04-01,0.1,"","2019-10-07",18.92731047,9.141116576,67.06116352,"","",0,0,0,"2019-09-24","3.1","2.7","5.8","0.2","","",0,0,0,0
"41","BVR","50",2019-04-08,0.1,"","2019-10-21",2.74,3.85,3.75,"","",3,0,0,"2019-09-25","2.8","2.5","5.3","0.1","","",0,0,0,0
"42","BVR","50",2019-04-08,3,"","2019-10-07",9.307692745,8.204898224,1.218183667,"","",0,0,3,"2019-09-23","3.3","2.5","5.8","0.2","","",0,0,0,0
"43","BVR","50",2019-04-08,6,"","2019-10-07",8.912352961,6.240461984,4.425670807,"","",0,0,0,"2019-09-24","3.5","2.4","5.9","0.2","","",0,0,0,0
"44","BVR","50",2019-04-08,9,"","2019-10-21",34.7,2.23,5.89,"","",0,0,0,"2019-09-23","3.4","2.7","6.1","0.2","","",0,0,0,0
"45","BVR","50",2019-04-08,10.5,"","2019-10-07",67.32254612,3.88064,8.12294825,"","",0,0,0,"2019-09-24","3.2","2.1","5.3","0.2","","",0,0,0,0
"46","FCR","50",2019-04-15,0.1,"","2019-10-21",8.51,3.46,8.54,"","",0,0,0,"2019-09-24","4.9","2.8","7.7","0.3","","",0,0,0,0
"47","FCR","50",2019-04-15,3.8,"","2019-10-07",9.982035583,5.877589856,3.697771245,"","",0,0,0,"2019-09-23","2.8","3.2","6","0.2","","",0,0,0,0
"48","FCR","50",2019-04-15,5,"","2019-10-07",22.50166689,10.58989558,40.40398914,"","",0,0,0,"2019-09-23","2.6","2.9","5.5","0.2","","",0,0,0,0
"49","FCR","50",2019-04-15,6.2,"","2019-10-07",28.74004013,7.933012256,24.8539003,"","",0,0,0,"2019-09-25","2.1","3","5.1","0.2","","",0,0,0,0
"50","FCR","50",2019-04-15,8,"","2019-10-07",41.01210946,6.179987776,32.45339682,"","",0,0,0,"2019-09-23","2.5","3.1","5.6","0.2","","",0,0,0,0
"51","FCR","50",2019-04-15,9,"","2019-10-07",34.53191748,6.784649216,21.70518315,"","",0,0,0,"2019-09-24","2.7","2.4","5.1","0.2","","",0,0,0,0
"52","FCR","100",2019-04-15,0.1,"","2019-10-21",5.67,5.42,26.1,"","",0,0,0,"2019-10-23","2.3","2.3","4.6","0.1","","",0,0,0,0
"53","FCR","200",2019-04-15,0.1,"","2019-10-07",12.51595433,13.6349971,188.9297197,"","",0,0,0,"2019-09-24","3.4","2.8","6.2","0.3","","",0,0,0,0
"54","FCR","50",2019-04-22,0.1,"","2019-10-14",13.7,4,6.49,"","",0,0,0,"2019-11-04","5.05","1.35","6.35","0.2","","",7,7,7,7
"55","FCR","50",2019-04-22,3.8,"","2019-10-21",8.77,1.72,3.45,"","",0,3,0,"2019-09-24","2.3","2.8","5.1","0.1","","",0,0,0,0
"56","FCR","50",2019-04-22,5,"","2019-10-07",8.700258074,3.82349895,2.536162119,"","",0,0,3,"2019-11-01","4.2","1.55","5.8","0.15","","",7,7,7,7
"57","FCR","50",2019-04-22,6.2,"","2019-10-21",28.3,2.55,16,"","",0,0,0,"2019-09-25","2.3","3.2","5.5","0.2","","",0,0,0,0
"58","FCR","50",2019-04-22,8,"","2019-10-21",55.5,3.53,24.8,"","",0,0,0,"2019-09-24","2.7","2.8","5.5","0.2","","",0,0,0,0
"59","FCR","50",2019-04-22,8,"","2019-10-07",56.72019895,5.302910384,28.7365263,"","",0,0,0,"2019-09-24","2.7","2.8","5.5","0.2","","",0,0,0,0
"60","FCR","50",2019-04-22,9,"","2019-10-21",65.2,5.75,27.4,"","",0,0,0,"2019-09-25","2.2","3.2","5.3","0.2","","",0,0,0,0
