Reservoir,Site,DateTime,Depth_m,Rep,RunDate_DOC,DOC_mgL,DIC_mgL,DC_mgL,DN_mgL,Notes_DOC,SampleID_DOC
BVR,1,3/30/20 0:00,0.1,R1,9/1/20,2.22,2.62,4.84,0.1,,B B01 0.1m 30mar20 r1
BVR,100,3/30/20 0:00,0.1,R1,9/1/20,0.61,3.36,3.97,0.04,,B B100 0.1m 30mar20 r1
BVR,200,3/30/20 0:00,0.1,R1,9/3/20,2.46,2.42,4.87,0.13,,B B20 0.1m 30mar20 r1
BVR,20,3/30/20 0:00,0.1,R2,9/1/20,2.17,2.58,4.75,0.11,,B B20 0.1m 30mar20 r2
BVR,30,3/30/20 0:00,0.1,R1,9/3/20,4.27,2.96,7.24,0.19,,B B30 30mar20 0.1m r1
BVR,45,3/30/20 0:00,0.1,R1,9/4/20,2.92,2.24,5.16,0.15,,B B45 30mar20 0.1m r1
BVR,50,3/30/20 0:00,0.1,R1,9/3/20,3.35,2.6,5.95,0.16,,B B50 0.1m 30mar20 r1
FCR,50,8/10/20 0:00,0.1,,9/3/20,3.08,3.12,6.2,0.28,,F 0.1m 10aug20
FCR,50,7/13/20 0:00,0.1,,9/1/20,2.18,3.12,5.3,0.1,,F 0.1m 13jul20
FCR,50,7/20/20 0:00,0.1,,9/3/20,2.69,2.74,5.43,0.19,,F 0.1m 20jul20
FCR,50,4/27/20 0:00,0.1,,9/3/20,2.63,2.94,5.57,0.12,,F 0.1m 27apr20
FCR,50,7/27/20 0:00,0.1,,9/1/20,3.79,2.99,6.77,0.36,,F 0.1m 27jul20
FCR,50,6/3/20 0:00,1.6,,8/31/20,1.56,2.94,4.5,0.04,,F 03jun20 61.6m S
FCR,50,7/6/20 0:00,5,,8/31/20,1.66,4.45,6.11,0.09,,F 06jul20 5m S
FCR,50,7/6/20 0:00,9,,8/31/20,1.53,5.01,6.54,0.18,,F 06jul20 9m S
FCR,50,8/3/20 0:00,1.6,,9/4/20,3.02,3.17,6.18,0.25,,F 1.6m 03aug20
FCR,50,4/4/20 0:00,1.6,,9/2/20,3.07,3.64,6.72,0.19,,F 1.6m 04apr20
FCR,50,5/4/20 0:00,1.6,,9/2/20,2.1,3.19,5.29,0.13,,F 1.6m 04may20
FCR,50,7/6/20 0:00,1.6,,9/3/20,2.45,2.8,5.25,0.16,,F 1.6m 06jul20
FCR,50,6/8/20 0:00,1.6,,9/2/20,2.05,3.15,5.2,0.12,,F 1.6m 08jun20
FCR,50,8/10/20 0:00,1.6,,9/1/20,3.32,3.12,6.44,0.31,,F 1.6m 10aug20
FCR,50,5/11/20 0:00,1.6,R1,9/2/20,2.06,3.27,5.33,0.13,,F 1.6m 11may20 r1
FCR,50,6/12/20 0:00,1.6,,9/1/20,2.21,3.06,5.27,0.13,,F 1.6m 12jun20
FCR,50,7/13/20 0:00,1.6,,9/1/20,2.76,3.48,6.25,0.2,,F 1.6m 13jul20
FCR,50,8/17/20 0:00,1.6,,9/4/20,3.4,3.4,6.8,0.33,,F 1.6m 17aug20
FCR,50,7/20/20 0:00,1.6,,9/2/20,2.81,3.09,5.9,0.21,,F 1.6m 20jaul20
FCR,50,6/22/20 0:00,1.6,,9/2/20,1.96,2.84,4.8,0.1,,F 1.6m 22jun20
FCR,50,4/27/20 0:00,1.6,,9/1/20,2.84,3.14,5.98,0.12,,F 1.6m 27apr20
FCR,50,7/27/20 0:00,1.6,,9/4/20,3.58,2.78,6.35,0.31,,F 1.6m 27jul20
FCR,50,2/29/20 0:00,1.6,,9/3/20,2.96,3.2,6.16,0.2,,F 1.6m 29feb20
FCR,50,1/31/20 0:00,1.6,,9/4/20,3.99,3.37,7.36,0.17,,F 1.6m 31jan20
FCR,50,4/13/20 0:00,1.6,,8/31/20,3.48,3.29,6.77,0.15,,F 13apr20 1.6m
FCR,50,4/13/20 0:00,5,,8/31/20,2.74,3.49,6.23,0.1,,F 13apr20 5m
FCR,100,3/30/20 0:00,0.1,R1,8/31/20,1.03,3.44,4.47,0.03,,F 19mar20 S 0.1m F100 r1
FCR,101,3/30/20 0:00,0.1,R1,8/31/20,0.71,3.46,4.17,0.02,,F 19mar20 S 0.1m F101 r1
FCR,102,3/30/20 0:00,0.1,R1,8/31/20,-0.55,5.97,5.42,0.09,,F 19mar20 S 0.1m F102 r1
FCR,99,3/30/20 0:00,0.1,R2,8/31/20,0.78,3.67,4.45,0,,F 19mar20 S 0.1m F99 r2
FCR,100,5/25/20 0:00,0.1,,9/4/20,1.82,2.3,4.12,0.09,changed to 100 ,F 200 0.1m 25may20
FCR,50,6/22/20 0:00,0.1,,8/31/20,1.66,2.8,4.47,0.05,,F 22jun20 0.1m S
FCR,200,1/31/20 0:00,0.1,,9/1/20,0.76,3.43,4.19,0.09,,F 235 31jan20
FCR,50,8/24/20 0:00,1.6,,8/31/20,2.89,3.21,6.1,0.19,,F 24aug20 S 1.6m
FCR,100,8/24/20 0:00,0.1,,8/31/20,0.31,3.27,3.59,0.14,,F 24aug20 S inf
FCR,50,4/10/20 0:00,1.6,,9/4/20,3.46,3.33,6.79,0.15,,F 50 1.6m 10apr20
FCR,50,3/30/20 0:00,1.6,R2,9/3/20,3.09,3.36,6.44,0.16,,F 50 1.6m 30mar20 r2
FCR,50,5/25/20 0:00,1.6,,8/31/20,2.31,2.58,4.9,0.15,,F 50 25may20 1.6m S
FCR,50,8/3/20 0:00,5,,9/4/20,2.1,4.62,6.71,0.25,,F 5m 03aug20
FCR,50,6/3/20 0:00,5,,9/1/20,2.56,3.62,6.19,0.13,,F 5m 03jun20
FCR,50,5/4/20 0:00,5,,9/2/20,2.06,3.85,5.9,0.14,,F 5m 04may20
FCR,50,6/8/20 0:00,5,,9/4/20,3.21,3.62,6.83,0.13,,F 5m 08jun20
FCR,50,8/10/20 0:00,5,,9/3/20,2.29,4.04,6.32,0.2,,F 5m 10aug20
FCR,50,7/13/20 0:00,5,,9/1/20,2.28,5.07,7.35,0.15,,F 5m 13jul20
FCR,50,5/18/20 0:00,5,,9/1/20,2.28,3.69,5.97,0.12,,F 5m 18may20
FCR,50,7/20/20 0:00,5,,9/4/20,2.65,4.58,7.23,0.14,,F 5m 20jul20
FCR,50,7/20/20 0:00,5,,9/2/20,1.94,4.71,6.65,0.16,,F 5m 20jul20
FCR,50,4/27/20 0:00,5,,9/3/20,2.56,3.3,5.85,0.13,,F 5m 27apr20
FCR,50,7/27/20 0:00,5,,9/3/20,2.16,4.47,6.63,0.13,,F 5m 27jul20
FCR,50,6/3/20 0:00,9,,9/4/20,3.06,3.32,6.39,0.32,,F 9m 03jun20
FCR,50,4/4/20 0:00,9,,9/4/20,3.21,3.5,6.7,0.25,,F 9m 04apr20
FCR,50,5/4/20 0:00,9,,9/4/20,4.66,4.34,9.01,0.32,,F 9m 04may20
FCR,50,6/8/20 0:00,9,,9/3/20,2.88,4.12,7,0.36,,F 9m 08jun20
FCR,50,8/10/20 0:00,9,,9/4/20,2.17,5.1,7.27,0.21,,F 9m 10aug20
FCR,50,5/11/20 0:00,9,R2,9/3/20,3.72,3.66,7.38,0.41,,F 9m 11may20 r2
FCR,50,6/12/20 0:00,9,,9/4/20,3.68,4.42,8.11,0.45,,F 9m 12jun20
FCR,50,7/13/20 0:00,9,,9/4/20,1.91,4.98,6.89,0.12,,F 9m 13jul20
FCR,50,5/18/20 0:00,9,,9/2/20,1.94,4.34,6.27,0.22,,F 9m 18may20
FCR,50,7/20/20 0:00,9,,9/3/20,1.71,4.97,6.68,0.12,,F 9m 20jul20
FCR,50,7/27/20 0:00,9,,9/1/20,2.4,5.33,7.72,0.22,,F 9m 27jul20
FCR,1,3/30/20 0:00,0.1,,9/2/20,2.17,5.9,8.06,0.2,,F F01 0.1m 19mar20
FCR,100,6/22/20 0:00,0.1,,9/4/20,2.41,2.18,4.59,0.11,,F F100 22jun20
FCR,100,6/8/20 0:00,0.1,,9/3/20,1.62,2.4,4.02,0.11,,F F100 inf 08jun20
FCR,200,3/30/20 0:00,0.1,R1,9/2/20,1.39,4.06,5.45,0.13,,F F200 0.1m 19mar20 r1
FCR,200,6/22/20 0:00,0.1,,9/2/20,1,3.51,4.51,0.15,,F F200 22jul20
