Reservoir,Site,DateTime,Depth_m,Rep,RunDate,TP_ugL,TN_ugL,Notes_lachat,SampleID_lachat,Notes_defrost tag
FCR,50,2022-02-24 13:18:00,6.2,1,2/23/2023,21.1,304,NA,S1,Y
FCR,50,2022-05-09 12:44:00,6.2,1,2/23/2023,21.6,301,NA,S10,Y
FCR,50,2022-05-23 10:13:00,3.8,1,2/23/2023,24.3,486,NA,S100,Y
CCR,301,2022-02-28 12:00:00,0.1,1,2/23/2023,17,125,NA,S101,Y
FCR,100.1,2022-06-07 15:27:00,0.1,1,2/23/2023,23.2,292,Diluted,S102,Y
FCR,50,2022-05-09 12:58:00,8,1,2/23/2023,29.1,299,NA,S103,Y
FCR,50,2022-05-02 14:20:00,0.1,1,2/23/2023,26.2,333,NA,S104,Y
CCR,50,2022-06-09 10:20:00,1.5,1,2/23/2023,8.9,177,NA,S105,Y
FCR,50,2022-05-02 15:00:00,5,1,2/23/2023,32.5,438,NA,S106,Y
CCR,50,2022-04-20 10:22:00,6,1,2/23/2023,5,190,NA,S107,Y
FCR,50,2022-05-09 12:20:00,3.8,1,2/23/2023,28.6,338,NA,S108,Y
CCR,50,2022-02-28 11:15:00,20,1,2/23/2023,14.5,269,NA,S11,Y
CCR,50,2022-06-09 11:27:00,21,1,2/23/2023,46.7,449,NA,S12,Y
FCR,50,2022-05-02 15:13:00,6.2,1,2/23/2023,22.5,317,NA,S13,Y
CCR,101,2022-02-28 12:00:00,0.1,1,2/23/2023,3.7,88.6,NA,S14,Y
FCR,50,2022-05-17 15:32:00,9,1,2/23/2023,15.8,808,NA,S15,Y
CCR,400,2022-06-09 10:12:00,0.1,1,2/23/2023,18.3,251,NA,S16,Y
CCR,400,2022-06-09 10:12:00,0.1,1,2/23/2023,18.3,251,NA,S16,Y
FCR,50,2022-05-17 15:25:00,8,1,2/23/2023,23,279,NA,S17,Y
FCR,50,2022-05-31 09:57:00,1.6,1,2/23/2023,28.6,572,NA,S18,Y
CCR,50,2022-04-20 10:25:00,9,1,2/23/2023,16.7,190,NA,S19,Y
FCR,200,2022-06-13 15:02:00,0.1,1,2/23/2023,57.7,224,NA,S2,Y
CCR,50,2022-02-28 11:00:00,9,1,2/23/2023,9.3,258,NA,S20,Y
FCR,50,2022-03-29 10:50:00,8,1,2/23/2023,21.5,284,NA,S21,Y
FCR,200,2022-05-31 12:33:00,0.1,1,2/23/2023,46.8,261,NA,S22,Y
FCR,50,2022-06-13 11:01:00,9,1,2/23/2023,26.2,537,NA,S23,Y
FCR,50,2022-06-07 14:13:00,6.2,1,2/23/2023,32.2,484,NA,S24,Y
CCR,50,2022-02-28 10:31:00,0.1,1,2/23/2023,10.5,277,NA,S25,Y
FCR,50,2022-03-29 10:45:00,6.2,1,2/23/2023,22,318,NA,S26,Y
FCR,100.1,2022-05-02 16:22:00,0.1,1,2/23/2023,40.8,354,Diluted,S27,Y
FCR,50,2022-06-07 14:27:00,8,1,2/23/2023,37.9,518,NA,S28,Y
FCR,50,2022-01-31 11:23:00,5,1,2/23/2023,23.3,349,NA,S29,Y
FCR,50,2022-06-13 10:32:00,6.2,1,2/23/2023,27.5,475,NA,S3,Y
FCR,200,2022-05-23 13:57:00,0.1,1,2/23/2023,84.8,318,NA,S30,Y
FCR,50,2022-05-02 15:20:00,8,1,2/23/2023,15.4,237,NA,S31,Y
FCR,200,2022-05-17 17:02:00,0.1,1,2/23/2023,57.4,243,NA,S32,Y
CCR,500,2022-02-28 12:00:00,0.1,1,2/23/2023,14,261,NA,S33,Y
FCR,100.1,2022-04-19 12:00:00,0.1,1,2/23/2023,149,497,NA,S34,Y
FCR,50,2022-05-17 15:03:00,5,1,2/23/2023,42.8,530,NA,S35,Y
FCR,100,2022-05-31 12:05:00,0.1,1,2/23/2023,26.1,342,NA,S36,Y
FCR,50,2022-05-17 14:54:00,3.8,1,2/23/2023,25.6,368,NA,S37,Y
CCR,50,2022-04-20 10:12:00,1.5,1,2/23/2023,10.5,199,NA,S38,Y
CCR,50,2022-06-09 10:40:00,6,1,2/23/2023,12.3,227,NA,S39,Y
FCR,50,2022-05-23 10:48:00,8,1,2/23/2023,33,443,NA,S4,Y
CCR,500,2022-06-09 12:20:00,0.1,1,2/23/2023,10.6,242,NA,S40,Y
FCR,100,2022-05-09 09:45:00,0.1,1,2/23/2023,8.9,87.3,NA,S41,Y
FCR,50,2022-05-31 11:00:00,9,1,2/23/2023,40.3,510,NA,S42,Y
CCR,50,2022-04-20 10:04:00,0.1,1,2/23/2023,8.9,241,NA,S43,Y
FCR,50,2022-06-13 09:55:00,1.6,1,2/23/2023,18.8,356,NA,S44,Y
FCR,50,2022-05-23 10:03:00,1.6,1,2/23/2023,22.4,593,NA,S45,Y
CCR,201,2022-06-09 12:53:00,0.1,1,2/23/2023,5.9,110,NA,S46,Y
FCR,100,2022-06-13 15:50:00,0.1,1,2/23/2023,20,299,NA,S47,Y
FCR,200,2022-03-17 12:00:00,0.1,1,2/23/2023,34.7,159,NA,S48,Y
FCR,50,2022-05-23 10:57:00,9,1,2/23/2023,33.4,479,NA,S49,Y
FCR,100,2022-06-07 15:27:00,0.1,1,2/23/2023,19.1,249,NA,S5,Y
CCR,50,2022-06-09 10:13:00,0.1,1,2/23/2023,7.2,166,NA,S50,Y
FCR,50,2022-05-02 15:28:00,9,1,2/23/2023,25.6,400,NA,S51,Y
FCR,100,2022-05-17 16:34:00,0.1,1,2/23/2023,15.6,140,NA,S52,Y
FCR,50,2022-05-23 10:22:00,5,1,2/23/2023,35.6,538,NA,S53,Y
FCR,50,2022-02-24 13:28:00,9,1,2/23/2023,18.5,288,NA,S54,Y
FCR,50,2022-05-09 12:06:00,1.6,1,2/23/2023,23.1,290,NA,S55,Y
FCR,50,2022-01-31 10:55:00,1.6,1,2/23/2023,18.3,340,NA,S56,Y
FCR,50,2022-05-31 10:17:00,5,1,2/23/2023,29.8,448,NA,S57,Y
FCR,50,2022-03-29 10:10:00,0.1,1,2/23/2023,23.2,281,NA,S58,Y
CCR,50,2022-02-28 10:40:00,1.5,1,2/23/2023,10,374,NA,S59,Y
FCR,50,2022-05-17 15:15:00,6.2,1,2/23/2023,46.7,655,NA,S6,Y
FCR,50,2022-05-02 14:50:00,3.8,1,2/23/2023,28.5,384,NA,S60,Y
FCR,50,2022-05-23 10:32:00,6.2,1,2/23/2023,33.1,454,NA,S61,Y
FCR,50,2022-05-31 10:44:00,8,1,2/23/2023,39.8,504,NA,S62,Y
FCR,50,2022-05-09 11:50:00,0.1,1,2/23/2023,22.9,311,NA,S63,Y
FCR,50,2022-05-17 14:45:00,1.6,1,2/23/2023,18.3,382,NA,S64,Y
FCR,50,2022-06-13 10:15:00,5,1,2/23/2023,27,482,NA,S65,Y
FCR,50,2022-04-12 11:00:00,1.6,1,2/23/2023,27,417,NA,S66,Y
FCR,100,2022-05-23 13:12:00,0.1,1,2/23/2023,25.8,250,NA,S67,Y
FCR,100.1,2022-05-23 13:12:00,0.1,1,2/23/2023,79,371,NA,S68,Y
FCR,100.1,2022-05-09 09:45:00,0.1,1,2/23/2023,2.7,325.6,Diluted,S69,Y
FCR,100.1,2022-05-17 16:34:00,0.1,1,2/23/2023,126,161,NA,S7,Y
FCR,50,2022-03-29 10:40:00,5,1,2/23/2023,24.7,175,NA,S70,Y
FCR,50,2022-05-17 14:30:00,0.1,1,2/23/2023,18.2,321,NA,S71,Y
FCR,50,2022-06-13 09:45:00,0.1,1,2/23/2023,23.9,889,NA,S72,Y
FCR,50,2022-06-07 14:40:00,9,1,2/23/2023,39.1,515,NA,S73,Y
FCR,50,2022-04-12 11:26:00,5,1,2/23/2023,26.4,320,NA,S74,Y
