Date,Depth_m,PAR,Chla_ugL
2020-08-19T20:06:54Z,-0.73,123.56,-0.9344
2020-08-19T20:06:54Z,-0.73,125.41,-0.945
2020-08-19T20:06:54Z,-0.73,124.89,-0.944
2020-08-19T20:06:54Z,-0.725,140.11,-0.9328
2020-08-19T20:06:54Z,-0.704,198.62,-0.9332
2020-08-19T20:06:54Z,-0.657,523.45,-0.9295
2020-08-19T20:06:54Z,-0.602,1043.2,-0.879
2020-08-19T20:06:54Z,-0.553,1154.6,-0.4184
2020-08-19T20:06:54Z,-0.51,805.83,0.4242
2020-08-19T20:06:54Z,-0.469,524.84,0.8884
2020-08-19T20:06:54Z,-0.427,568.05,0.9405
2020-08-19T20:06:54Z,-0.379,663.67,1.0169
2020-08-19T20:06:54Z,-0.326,550.85,1.1434
2020-08-19T20:06:54Z,-0.274,358.27,1.2014
2020-08-19T20:06:54Z,-0.233,219.12,1.194
2020-08-19T20:06:54Z,-0.2,148.92,1.2253
2020-08-19T20:06:54Z,-0.168,120.58,1.2945
2020-08-19T20:06:54Z,-0.136,99.579,1.3248
2020-08-19T20:06:54Z,-0.106,82.109,1.3247
2020-08-19T20:06:54Z,-0.076,70.478,1.3511
2020-08-19T20:06:54Z,-0.046,62.68,1.3856
2020-08-19T20:06:54Z,-0.019,55.659,1.3981
2020-08-19T20:06:54Z,0.01,48.395,1.4066
2020-08-19T20:06:54Z,0.046,40.574,1.4706
2020-08-19T20:06:54Z,0.091,32.473,1.5893
2020-08-19T20:06:54Z,0.138,26.423,1.6595
2020-08-19T20:06:54Z,0.181,23.561,1.6613
2020-08-19T20:06:54Z,0.22,22.386,1.6591
2020-08-19T20:06:54Z,0.254,22.393,1.6905
2020-08-19T20:06:54Z,0.278,23.833,1.735
2020-08-19T20:06:54Z,0.291,26.04,1.74
2020-08-19T20:06:54Z,0.3,28.386,1.7129
2020-08-19T20:06:54Z,0.306,30.75,1.6643
2020-08-19T20:06:54Z,0.31,32.703,1.6103
2020-08-19T20:06:54Z,0.313,34.033,1.6033
2020-08-19T20:06:54Z,0.315,34.915,1.6184
2020-08-19T20:06:54Z,0.316,35.296,1.6109
2020-08-19T20:06:54Z,0.316,35.116,1.6082
2020-08-19T20:06:54Z,0.316,34.467,1.6143
2020-08-19T20:06:54Z,0.316,33.437,1.6083
