Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Flag
2022-02-28T08:39:25Z,-0.425,13.0405,-0.0877,0.249,12.056,9.164033,10.3667,98.438,0.644,-971.8764,727.19,0.7923499030540007,1.3542e-7,0
2022-02-28T08:39:25Z,-0.425,13.0372,-0.0769,0.2108,13.856,10.532064,10.3587,98.459,0.56,-881.2802,795.05,0.916739321868385,0,0
2022-02-28T08:39:25Z,-0.425,13.0248,-0.0365,-0.0649,15.421,11.721618,10.3585,98.461,0.951,-751.9548,821.97,1.0259747905911585,0,0
2022-02-28T08:39:25Z,-0.425,13.0124,0.5344,-2.947,17.235,13.096655,10.3689,98.457,0.865,-622.8302,789.95,1.1534912994278672,0,0
2022-02-28T08:39:25Z,-0.425,13.0032,1.6395,-8.266,21.951,16.643195,10.3692,98.457,0.523,-491.1257,758.07,1.4884154919427353,0.002,0
2022-02-28T08:39:25Z,-0.425,13.0037,2.6887,-11.1555,46.461,34.838238,10.375,98.451,0.654,-200.0006,887.28,3.295330333842938,0.012,0
2022-02-28T08:39:25Z,-0.425,12.999,7.9514,-10.8299,92.48,67.88924,10.3747,98.537,1.843,135.4508,1276.8,6.8878344815997385,0.04,0
2022-02-28T08:39:25Z,-0.424,13.0088,65.3203,-3.6464,122.972,87.624483,10.3696,98.744,3.091,287.8973,1686.2,9.363998439331747,0.089,0
2022-02-28T08:39:25Z,-0.419,12.9989,170.4613,9.6356,124.908,85.97569,10.3774,98.988,3.795,290.0774,1904.5,9.525968337396218,0.148,0
2022-02-28T08:39:25Z,-0.386,13.0204,227.3689,16.8818,119.218,79.61377,10.3628,99.258,4.24,270.1329,1978.1,9.05267023107631,0.204,0
2022-02-28T08:39:25Z,-0.305,12.363,227.3403,17.2878,116.623,76.112513,10.5228,99.6,4.532,256.9441,1968.4,8.99450211228227,0.249,0
2022-02-28T08:39:25Z,-0.195,10.6735,170.015,13.7588,117.247,75.288933,10.9703,100.09,4.733,250.3806,1903.3,9.466776180095927,0.275,0
2022-02-28T08:39:25Z,-0.1,9.2261,64.0863,7.0736,118.197,75.119498,11.3736,100.656,4.864,246.8712,1832.8,9.938777082984567,0.277,0
2022-02-28T08:39:25Z,-0.03,8.2905,6.2808,3.3764,116.942,73.872326,11.6687,101.199,4.951,246.6055,1826.1,10.087026815938287,0.255,0
2022-02-28T08:39:25Z,0.024,7.5405,1.0163,2.9766,115.964,73.043119,11.9163,101.731,5.019,248.8023,1903.7,10.212350531276423,0.217,0
2022-02-28T08:39:25Z,0.066,7.0474,0.5508,2.8205,117.822,74.17895,12.1257,101.989,5.069,249.7717,2010.5,10.538181754445349,0.177,0
2022-02-28T08:39:25Z,0.096,6.7278,0.544,2.6156,120.943,76.169252,12.3061,101.671,5.109,249.292,2028.5,10.941366578391065,0.147,0
2022-02-28T08:39:25Z,0.125,6.5494,0.5596,2.5148,123.006,77.474512,12.4102,100.745,5.148,247.9062,1702.9,11.20146024758525,0.125,0
2022-02-28T08:39:25Z,0.161,6.4602,0.5564,2.4898,122.02,76.871052,12.5268,99.231,5.186,246.2661,1239.9,11.133431587319702,0.107,0
2022-02-28T08:39:25Z,0.193,6.47,0.5391,2.4166,117.967,74.337219,12.5686,96.674,5.222,245.466,1167.9,10.731200337139672,0.092,0
