DateTime,Depth_m,Temp_C,Chla_ugL,Turbidity_NTU,Cond_uScm,SpCond_uScm,DO_mgL,DOsat_percent,pH,ORP_mV,PAR,Salinity,DescRate_ms ,Flag
2022-04-12T11:41:15Z,-0.105,14.5759,6.4569,2.3223,22.172792,27.931,8.7147,82.299,6.952,276.5817,118.99,1.843733253795202,0.037,0
2022-04-12T11:41:15Z,-0.091,14.6337,6.4901,2.3513,22.116429,27.852,8.6491,81.357,6.938,275.2034,112.33,1.8355259595033058,0.037,0
2022-04-12T11:41:15Z,-0.075,14.6519,6.4847,2.3361,22.095285,27.821,8.5631,80.453,6.93,273.8484,108.13,1.8325195594021955,0.032,0
2022-04-12T11:41:15Z,-0.064,14.6691,6.4921,2.3434,22.10725,27.832,8.4592,79.632,6.93,272.6742,106.39,1.8324871903843498,0.026,0
2022-04-12T11:41:15Z,-0.06,14.6922,6.5207,2.3721,22.070999,27.779,8.3505,78.992,6.934,271.5035,103.78,1.827727257047917,0.021,0
2022-04-12T11:41:15Z,-0.062,14.7035,6.5386,2.3413,22.100569,27.813,8.2556,78.513,6.936,270.6203,101.63,1.829570138445288,0.021,0
2022-04-12T11:41:15Z,-0.064,14.7061,6.5341,2.2781,22.274656,28.03,8.1623,78.154,6.934,269.7385,101.38,1.844550859310895,0.027,0
2022-04-12T11:41:15Z,-0.062,14.7072,6.5249,2.2909,22.338156,28.097,8.072,77.949,6.929,268.3279,100.67,1.8491635414383265,0.037,0
2022-04-12T11:41:15Z,-0.051,14.7268,6.4849,2.3594,22.298023,28.023,8.006,77.951,6.925,264.6639,97.855,1.843097684916162,0.05,0
2022-04-12T11:41:15Z,-0.029,14.7311,6.4174,2.3898,22.423123,28.17,7.9609,78.586,6.921,259.3369,93.674,1.8531243555729615,0.061,0
2022-04-12T11:41:15Z,-0.003,14.7226,6.3821,2.3506,22.519977,28.301,7.9196,80.559,6.919,257.0057,90.589,1.8626418527017927,0.069,0
2022-04-12T11:41:15Z,0.017,14.7382,6.3749,2.3301,22.45514,28.224,7.9012,83.996,6.919,257.9012,88.429,1.856547755593776,0.074,0
2022-04-12T11:41:15Z,0.033,14.7904,6.4139,2.3811,22.462999,28.231,7.8796,88.151,6.92,258.1192,86.386,1.8545849619518364,0.075,0
2022-04-12T11:41:15Z,0.049,14.8154,6.5033,2.4194,22.551635,28.346,7.9002,91.702,6.921,257.1452,85.389,1.8614013565473808,0.075,0
2022-04-12T11:41:15Z,0.064,14.7727,6.5493,2.3829,22.576273,28.388,8.1046,93.588,6.919,256.5365,83.574,1.8663320832979633,0.077,0
2022-04-12T11:41:15Z,0.084,14.7717,6.5368,2.3502,22.507401,28.313,8.4799,93.71,6.916,256.3515,80.5,1.8611625676668722,0.082,0
2022-04-12T11:41:15Z,0.108,14.7876,6.527,2.3659,22.41598,28.2,8.9514,92.608,6.912,256.285,78.125,1.852559977251457,0.087,0
2022-04-12T11:41:15Z,0.134,14.7808,6.539,2.368,22.42145,28.195,9.3617,90.961,6.907,256.3354,75.892,1.852530276196364,0.089,0
2022-04-12T11:41:15Z,0.16,14.758,6.558,2.3764,22.510189,28.285,9.5512,89.214,6.902,256.3584,73.753,1.8598576846339345,0.089,0
2022-04-12T11:41:15Z,0.184,14.7375,6.5568,2.3979,22.538383,28.307,9.5473,87.531,6.895,256.3054,72.06,1.8623529096524472,0.084,0
2022-04-12T11:41:15Z,0.204,14.7343,6.5411,2.3896,22.508868,28.269,9.408,86.027,6.89,256.2102,70.34,1.8598582064105968,0.074,0
2022-04-12T11:41:15Z,0.223,14.7477,6.5428,2.379,22.533538,28.296,9.2215,84.769,6.89,256.1537,69.12,1.8611060972839806,0.062,0
2022-04-12T11:41:15Z,0.239,14.7937,6.5513,2.372,22.583192,28.349,9.0349,83.764,6.891,256.1387,68.713,1.8626262094503456,0.048,0
2022-04-12T11:41:15Z,0.25,14.8178,6.5442,2.339,22.602277,28.369,8.8531,82.955,6.894,256.4595,68.929,1.8628813284922854,0.034,0
2022-04-12T11:41:15Z,0.255,14.8043,6.5401,2.2527,22.637548,28.415,8.7022,82.2,6.896,256.8489,69.519,1.866713716222048,0.021,0
2022-04-12T11:41:15Z,0.256,14.8075,6.5605,2.1488,22.629424,28.406,8.5735,81.39,6.898,256.2859,69.909,1.8659372835972865,0.007,0
2022-04-12T11:41:15Z,0.256,14.8339,6.5907,2.1076,22.50405,28.248,8.4688,80.622,6.901,255.1586,69.734,1.8537225051839423,-0.006,0
2022-04-12T11:41:15Z,0.256,14.8357,6.6065,2.0959,22.452442,28.177,8.3916,80.003,6.905,254.9207,69.211,1.8487099768706026,-0.016,0
2022-04-12T11:41:15Z,0.251,14.8283,6.6015,2.0753,22.575781,28.315,8.3244,79.542,6.907,255.6467,69.265,1.8586370204680305,-0.019,0
2022-04-12T11:41:15Z,0.239,14.8295,6.5725,2.0982,22.664559,28.394,8.2351,79.279,6.906,256.3649,70.26,1.864067398772371,-0.016,0
