Date,Depth_m,Temp_C,CDOM_ugL,Chla_ugL,Phycoerythrin,Phycocyanin,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,PAR,Salinity,Descent Rate (m/s),Flag
2023-04-12T12:12:16Z,-0.146,15.2358,2.25,1.0137,0,0.1269,0.5536,23.584713,29.302,10.1362,101.258,488.97,1.907596872156859,0.003,0
2023-04-12T12:12:16Z,-0.146,15.2378,2.25,1.0823,0,0.1269,0.8542,23.586554,29.305,10.1389,101.291,449.53,1.9077077887622291,0.004,0
2023-04-12T12:12:16Z,-0.144,15.2391,2.25,1.1014,0,0.1269,0.779,23.586422,29.305,10.1443,101.274,395.7,1.90764550172824,0.005,0
2023-04-12T12:12:16Z,-0.143,15.24,2.25,1.1014,0,0.1269,0.6888,23.584283,29.304,10.151,101.197,364.1,1.9075334998489164,0.006,0
2023-04-12T12:12:16Z,-0.141,15.2404,2.25,1.1014,0,0.1269,0.764,23.587484,29.309,10.1571,101.072,452.67,1.9078587588387328,0.006,0
2023-04-12T12:12:16Z,-0.139,15.24,2.25,1.0366,0,0.1269,0.6137,23.585001,29.308,10.1605,100.932,568.93,1.9078089668124498,0.007,0
2023-04-12T12:12:16Z,-0.137,15.2388,2.25,1.0327,0,0.1269,0.4634,23.580131,29.303,10.159,100.807,483.58,1.9075219242542703,0.007,0
2023-04-12T12:12:16Z,-0.135,15.2371,2.25,1.0289,0,0.1269,0.4634,23.583453,29.309,10.1517,100.712,355.96,1.9080166380363577,0.008,0
2023-04-12T12:12:16Z,-0.134,15.2353,2.25,1.0366,0,0.1269,0.5085,23.583975,29.312,10.1396,100.658,296.64,1.90830948445686,0.008,0
2023-04-12T12:12:16Z,-0.132,15.2332,2.34,1.0175,0,0.1692,0.764,23.581837,29.31,10.126,100.654,310.62,1.9082722032470176,0.008,0
2023-04-12T12:12:16Z,-0.129,15.2308,2.34,1.0518,0,0.1692,0.7941,23.576468,29.304,10.114,100.701,326.97,1.9079736529145432,0.008,0
2023-04-12T12:12:16Z,-0.127,15.2282,2.34,1.0366,0,0.1692,0.8091,23.570396,29.296,10.105,100.782,320.08,1.9075468243047609,0.008,0
2023-04-12T12:12:16Z,-0.125,15.2259,2.34,1.0289,0,0.1692,0.8241,23.577836,29.304,10.1001,100.864,253.46,1.9082081996370353,0.008,0
2023-04-12T12:12:16Z,-0.122,15.2244,2.25,1.0251,0,0.2538,0.8091,23.588895,29.317,10.1,100.935,787.65,1.9091759568867903,0.008,0
2023-04-12T12:12:16Z,-0.12,15.2239,2.25,1.0366,0,0.2538,0.8692,23.586731,29.313,10.1049,100.998,220.12,1.9089241815766675,0.007,0
2023-04-12T12:12:16Z,-0.118,15.2245,2.25,1.0556,0,0.2538,0.779,23.570764,29.292,10.1128,101.062,231.9,1.9074480939550729,0.006,0
2023-04-12T12:12:16Z,-0.117,15.2255,2.25,1.0175,0,0.2538,0.8391,23.548615,29.264,10.1208,101.134,193.42,1.9054706394582928,0.005,0
2023-04-12T12:12:16Z,-0.116,15.2268,2.25,1.1205,0,0.1692,0.5536,23.526252,29.236,10.1277,101.21,248.76,1.903479084431138,0.003,0
2023-04-12T12:12:16Z,-0.115,15.2282,2.25,1.1052,0,0.1692,0.4935,23.50959,29.215,10.1337,101.28,275.81,1.9019652959798918,0.002,0
2023-04-12T12:12:16Z,-0.115,15.2298,2.25,1.0938,0,0.1692,0.5686,23.502101,29.205,10.1398,101.337,314.15,1.9011999831846036,0.001,0
2023-04-12T12:12:16Z,-0.115,15.2312,2.25,1.0785,0,0.1692,0.5235,23.49783,29.2,10.1467,101.38,189.72,1.9007887322011245,0,0
2023-04-12T12:12:16Z,-0.115,15.2322,2.25,1.0709,0,0.1692,0.7189,23.499597,29.202,10.1541,101.401,231.2,1.9008788030786592,-0.001,0
2023-04-12T12:12:16Z,-0.115,15.2326,2.25,1.1129,0.0426,0.1692,0.8542,23.511831,29.216,10.161,101.402,263.34,1.9018241586086173,-0.003,0
2023-04-12T12:12:16Z,-0.115,15.2324,2.25,1.0823,0.0426,0.1692,0.8241,23.529878,29.236,10.1668,101.392,355.81,1.903211538456651,-0.005,0
2023-04-12T12:12:16Z,-0.117,15.232,2.25,1.1129,0.0426,0.1692,0.8241,23.550633,29.26,10.1712,101.377,224.85,1.9048842023404988,-0.007,0
2023-04-12T12:12:16Z,-0.119,15.2323,2.25,1.0366,0.0426,0.1692,0.8391,23.567754,29.28,10.1732,101.364,338.76,1.9062478970270815,-0.01,0
2023-04-12T12:12:16Z,-0.123,15.2342,2.25,1.0327,0,0.0846,0.8692,23.57789,29.292,10.173,101.356,421.99,1.9069838599768494,-0.011,0
2023-04-12T12:12:16Z,-0.127,15.2371,2.25,1.0556,0,0.0846,0.779,23.587702,29.304,10.1713,101.345,434.64,1.9076719243836275,-0.012,0
2023-04-12T12:12:16Z,-0.13,15.2399,2.25,1.0404,0,0.0846,0.8842,23.599806,29.318,10.1692,101.325,353.96,1.90850246065516,-0.012,0
2023-04-12T12:12:16Z,-0.134,15.2416,2.25,1.0442,0,0.0846,0.8542,23.605554,29.324,10.1675,101.29,375.35,1.9088344959339987,-0.012,0
2023-04-12T12:12:16Z,-0.137,15.2426,2.25,1.048,0,0.1692,0.8241,23.598562,29.314,10.1664,101.238,342.46,1.9080977747296795,-0.011,0
2023-04-12T12:12:16Z,-0.139,15.2435,2.25,1.0251,0,0.1692,0.8391,23.588841,29.302,10.1652,101.169,334.3,1.9072281225664736,-0.009,0
2023-04-12T12:12:16Z,-0.142,15.2446,2.25,1.0366,0,0.1692,0.764,23.589634,29.303,10.163,101.096,349.98,1.9072444130287318,-0.007,0
2023-04-12T12:12:16Z,-0.143,15.2458,2.25,1.0213,0,0.1692,0.5235,23.593235,29.308,10.1592,101.035,377.97,1.907531444247209,-0.005,0
2023-04-12T12:12:16Z,-0.144,15.2468,2.34,1.0289,0,0.1692,0.6137,23.588728,29.303,10.1538,100.997,409.16,1.9071392051488605,-0.003,0
2023-04-12T12:12:16Z,-0.145,15.2472,2.34,1.0213,0,0.1692,0.5836,23.586787,29.302,10.1467,100.989,410.68,1.9070511847591298,-0,0
2023-04-12T12:12:16Z,-0.145,15.2472,2.34,1.0404,0,0.1692,0.6137,23.594813,29.313,10.1394,101.015,374.21,1.9078088622098346,0.002,0
2023-04-12T12:12:16Z,-0.144,15.2468,2.34,1.0862,0,0.1692,0.6287,23.59911,29.319,10.1334,101.069,354.57,1.9082412767643178,0.005,0
