Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Flag
2019-06-10T13:12:02Z,-0.601,21.1732,-0.1483,-0.0807,0.420955,0.652,8.4443,96.606,7.434,-1240.7455,375.47,0.0104,0,0
2019-06-10T13:12:02Z,-0.602,21.1686,-0.1216,-0.0807,0.39397,0.2,8.4727,96.91,7.435,-1240.7455,388.58,0.0105,0,0
2019-06-10T13:12:02Z,-0.601,21.1854,-0.1064,-0.0374,0.068523,0.35,8.5051,97.254,7.437,-1240.7455,403.02,0.0105,0,0
2019-06-10T13:12:02Z,-0.6,21.3534,-0.1369,-0.3258,0.796385,0.471,8.5473,97.71,7.42,-1240.7455,420.12,0.0104,0,0
2019-06-10T13:12:02Z,-0.562,21.601,-0.1178,-0.3403,-0.008954,0.592,8.592,98.193,8.073,-1240.7455,441.63,0.0104,0.01,0
2019-06-10T13:12:02Z,-0.519,21.7726,-0.1331,-0.2826,4.50248,3.717,8.6319,98.628,8.044,-563.7064,456.26,0.011,0.029,0
2019-06-10T13:12:02Z,-0.474,21.8816,-0.1102,-0.1961,21.285772,23.746,8.6709,99.056,8.296,272.4845,469.05,0.0182,0.055,0
2019-06-10T13:12:02Z,-0.417,21.9517,-0.1178,-0.4412,30.553408,32.433,8.7058,99.441,8.736,266.3138,491.33,0.0217,0.086,0
2019-06-10T13:12:02Z,-0.36,21.9882,-0.1293,0.2077,30.276658,32.416,8.7192,99.581,9.185,265.9731,504.25,0.0217,0.121,0
2019-06-10T13:12:02Z,-0.314,22.0058,-0.1102,0.2509,30.575348,32.487,8.7263,99.651,9.56,264.951,511.07,0.0218,0.152,0
2019-06-10T13:12:02Z,-0.267,22.0084,-0.1102,0.2365,30.477923,32.462,8.7169,99.531,9.831,266.011,525.79,0.0218,0.177,0
2019-06-10T13:12:02Z,-0.208,21.9975,-0.1331,0.4096,30.57564,32.509,8.6955,99.271,10.001,264.5724,538.84,0.0218,0.195,0
2019-06-10T13:12:02Z,-0.171,21.9832,1.4539,59.026,30.512985,32.448,8.6677,98.952,10.126,264.2695,540.76,0.0218,0.197,0
2019-06-10T13:12:02Z,-0.153,21.9692,1.4272,59.1125,30.555896,32.515,8.6376,98.63,10.206,263.5881,545.67,0.0218,0.189,0
2019-06-10T13:12:02Z,-0.12,21.9546,1.4767,59.0692,30.522242,32.465,8.6053,98.286,10.271,264.3831,559.24,0.0218,0.176,0
2019-06-10T13:12:02Z,-0.078,21.9431,1.431,59.0692,30.495621,32.475,8.59,98.131,10.317,264.9131,567.84,0.0218,0.163,0
2019-06-10T13:12:02Z,-0.059,21.9346,1.5149,1.2892,30.411276,32.366,8.5575,97.777,10.311,260.9381,569.04,0.0217,0.148,0
2019-06-10T13:12:02Z,-0.059,21.9273,1.4882,1.3757,30.390207,32.374,8.4945,97.07,10.308,262.0738,570.41,0.0217,0.128,0
2019-06-10T13:12:02Z,-0.06,21.9201,1.4958,1.4045,30.403343,32.38,8.4001,95.998,10.307,263.096,568.35,0.0217,0.103,0
2019-06-10T13:12:02Z,-0.08,21.9145,1.5035,1.4189,30.394931,32.385,8.2719,94.539,10.308,260.9002,561.4,0.0217,0.072,0
2019-06-10T13:12:02Z,-0.113,21.9076,1.6141,1.3901,30.400679,32.39,8.1209,92.824,10.311,261.0138,557.65,0.0217,0.039,0
2019-06-10T13:12:02Z,-0.131,21.8993,1.6255,1.4622,30.455445,32.453,7.9596,90.987,10.307,261.8088,556.46,0.0218,0.007,0
2019-06-10T13:12:02Z,-0.141,21.899,1.6408,1.3324,30.504533,32.518,7.7868,89.019,10.297,257.8338,557.67,0.0218,-0.024,0
2019-06-10T13:12:02Z,-0.141,21.9099,1.6255,1.3036,30.517347,32.523,7.6012,86.911,10.285,258.9317,559.2,0.0218,-0.046,0
2019-06-10T13:12:02Z,-0.141,21.9232,1.6522,1.1882,30.558004,32.583,7.4378,85.054,10.274,259.2724,561.57,0.0218,-0.052,0
2019-06-10T13:12:02Z,-0.141,21.9335,1.6141,1.145,30.572442,32.576,7.3021,83.509,10.259,258.8938,564.46,0.0218,-0.047,0
