Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Flag
2019-06-17T10:51:51Z,-0.572,25.3953,-0.0176,-1.599,0.896,0.902172,7.8427,95.551,7.331,-717.3047,245.89,0.04683914079594616,0.004,0
2019-06-17T10:51:51Z,-0.572,25.394,-0.0292,-1.6223,1.234,1.237435,7.8595,95.573,7.573,64.7465,247.52,0.06185521232810646,0.01,0
2019-06-17T10:51:51Z,-0.572,25.3929,-0.1202,-1.3384,5.327,5.31805,7.8868,95.604,7.833,347.5446,283.1,0.2559146327435081,0.022,0
2019-06-17T10:51:51Z,-0.569,25.3946,-0.2674,-0.7879,14.985,14.935581000000001,7.9141,95.629,8.165,274.214,343.63,0.7451824400447264,0.038,0
2019-06-17T10:51:51Z,-0.559,25.3943,-0.335,-0.4729,25.094,24.968245,7.9355,95.645,8.52,263.5833,355.46,1.2801627800396636,0.058,0
2019-06-17T10:51:51Z,-0.543,25.2915,-0.348,-0.413,31.264,31.057848,7.9513,95.658,8.829,265.6425,355.84,1.618059782408464,0.076,0
2019-06-17T10:51:51Z,-0.517,25.0823,-0.5724,-0.0637,33.384,33.117949,7.963,95.664,9.07,271.4071,457.33,1.7421503416350814,0.09,0
2019-06-17T10:51:51Z,-0.484,24.898,-0.9932,0.5713,33.564,33.252803,7.9726,95.662,9.238,276.5829,704.08,1.759063602137568,0.096,0
2019-06-17T10:51:51Z,-0.452,24.7596,-1.2222,1.0049,33.552,33.195983,7.9821,95.659,9.327,277.8898,862.31,1.7636612173312611,0.094,0
2019-06-17T10:51:51Z,-0.425,24.6639,-1.2081,2.1967,33.532,33.12896,7.993,95.663,9.383,277.9155,727.87,1.7662011513204352,0.089,0
2019-06-17T10:51:51Z,-0.405,24.5956,-0.8316,14.8827,33.531,33.076979,8.0043,95.661,9.484,278.874,544.16,1.7687600102769434,0.084,0
2019-06-17T10:51:51Z,-0.393,24.529,-0.1463,38.1143,33.515,33.01163,8.0137,95.643,9.624,278.5518,458.67,1.7704214783800636,0.079,0
2019-06-17T10:51:51Z,-0.38,24.4672,0.2279,50.7983,33.519,32.97337,8.0221,95.63,9.749,279.0956,457.13,1.7730217468801945,0.077,0
2019-06-17T10:51:51Z,-0.36,24.3971,0.2773,51.8379,33.578,32.995081,8.0306,95.635,9.839,281.8352,804.21,1.7790325640859022,0.078,0
2019-06-17T10:51:51Z,-0.335,24.3152,0.3036,50.7494,33.638,33.020241,8.0396,95.654,9.905,283.8,1452.4,1.78557563263414,0.079,0
2019-06-17T10:51:51Z,-0.31,24.2389,0.4153,38.2264,33.67,33.023687,8.0506,95.709,9.955,285.214,1808.4,1.7903460880817557,0.075,0
2019-06-17T10:51:51Z,-0.287,24.178,0.6218,15.2899,33.707,33.036706,8.0641,95.809,10,286.7134,1617.7,1.7948099697605757,0.065,0
2019-06-17T10:51:51Z,-0.269,24.1243,0.7378,2.7674,33.739,33.050699,8.0769,95.914,10.049,287.388,1085.7,1.7987200265524625,0.05,0
2019-06-17T10:51:51Z,-0.259,24.0746,0.7601,1.6517,33.768,33.065926,8.0861,95.989,10.092,287.1761,615.17,1.8023118494910313,0.036,0
2019-06-17T10:51:51Z,-0.257,24.0308,0.7879,1.5706,33.803,33.093875,8.0919,96.039,10.121,286.5609,546.27,1.806017578901751,0.028,0
2019-06-17T10:51:51Z,-0.259,23.9967,0.8046,1.5571,33.844,33.134778,8.0979,96.114,10.133,286.4024,643.65,1.8096859376074879,0.024,0
2019-06-17T10:51:51Z,-0.259,23.9733,0.8061,1.5873,33.876,33.17971,8.1038,96.219,10.132,287.2381,576.91,1.8124252768452749,0.024,0
2019-06-17T10:51:51Z,-0.249,23.9515,0.8142,1.6406,33.861,33.192934,8.1059,96.32,10.132,288.664,690.73,1.8124399058639609,0.024,0
2019-06-17T10:51:51Z,-0.234,23.9412,0.8165,1.7097,33.802,33.167785,8.1058,96.405,10.135,289.619,1210.2,1.8095040968017218,0.022,0
2019-06-17T10:51:51Z,-0.222,23.9413,0.8072,1.8004,33.738,33.12953,8.1048,96.459,10.133,289.8371,1669.8,1.805872755866656,0.018,0
2019-06-17T10:51:51Z,-0.217,23.9541,0.8066,1.8523,33.705,33.111191,8.103,96.475,10.125,290.0959,1880.5,1.8034973127950358,0.013,0
2019-06-17T10:51:51Z,-0.221,24.006,0.8088,1.8781,33.725,33.136466,8.101,96.465,10.113,290.4253,2017,1.8025824496893892,0.008,0
2019-06-17T10:51:51Z,-0.227,24.0625,0.8077,1.9158,33.768,33.181284,8.0988,96.446,10.1,290.4637,2104.5,1.80278791005884,0.003,0
2019-06-17T10:51:51Z,-0.23,24.0979,0.8107,1.9147,33.787,33.208855,8.0952,96.426,10.088,290.5607,2127.7,1.8024675031442752,0.002,0
2019-06-17T10:51:51Z,-0.226,24.1178,0.81,1.8654,33.777,33.215989,8.0897,96.407,10.074,291.0819,2101.4,1.8011197746947472,0.004,0
2019-06-17T10:51:51Z,-0.22,24.1234,0.8075,1.8441,33.747,33.204099,8.0845,96.392,10.053,291.947,2048.9,1.7992060691651837,0.006,0
2019-06-17T10:51:51Z,-0.216,24.1207,0.8073,1.8856,33.725,33.192047,8.0815,96.381,10.028,292.7606,2015.5,1.7980702573694556,0.006,0
2019-06-17T10:51:51Z,-0.215,24.1305,0.8073,1.942,33.729,33.197202,8.08,96.368,10.01,293.0904,2012.4,1.7979113786533587,0.002,0
2019-06-17T10:51:51Z,-0.215,24.1649,0.8076,1.9358,33.74,33.202972,8.0799,96.354,9.999,293.0093,2009.1,1.7971824913559893,-0.002,0
2019-06-17T10:51:51Z,-0.217,24.1948,0.8027,1.876,33.745,33.198351,8.0793,96.321,9.992,292.8978,2003.5,1.7962925801288336,-0.005,0
2019-06-17T10:51:51Z,-0.221,24.208,0.8079,1.841,33.762,33.204776,8.0758,96.249,9.985,293.0331,2006.8,1.7967334933691064,-0.006,0
2019-06-17T10:51:51Z,-0.225,24.2093,0.818,1.8407,33.786,33.217181,8.0716,96.17,9.977,293.4406,2025.5,1.798034817522224,-0.005,0
