Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Flag
2018-06-21T14:23:37Z,-0.706,27.5883,-0.1698,-0.1706,5.659618,5.71,7.8659,99.383,4.554,-1240.7455,408.13,0.0136,0,0
2018-06-21T14:23:37Z,-0.707,27.5899,-0.1819,-0.2243,6.441319,5.604,7.903,99.849,4.56,-1240.7455,442.41,0.0136,0,0
2018-06-21T14:23:37Z,-0.707,27.5811,-0.1617,-0.0229,4.54894,5.18,7.9392,100.307,4.553,-1240.7455,883.17,0.0135,-0,0
2018-06-21T14:23:37Z,-0.707,27.5336,-0.1779,-0.0497,6.533985,4.808,7.9722,100.726,4.523,-1240.7455,1171.2,0.0134,0,0
2018-06-21T14:23:37Z,-0.653,27.4781,-0.1617,-0.0229,24.533246,24.4,7.9998,101.078,5.175,1240.2295,1136,0.0201,0.014,0
2018-06-21T14:23:37Z,-0.559,27.4379,-0.1698,0.0174,33.97432,32.055,8.0151,101.274,5.648,420.3928,881.87,0.0231,0.049,0
2018-06-21T14:23:37Z,-0.469,27.4076,-0.1617,-0.6271,31.414775,30.065,8.0193,101.33,6.189,394.6499,989.83,0.0223,0.098,0
2018-06-21T14:23:37Z,-0.398,27.3893,-0.186,-0.7077,30.593772,29.076,8.0169,101.298,6.547,391.432,1255.6,0.0219,0.15,0
2018-06-21T14:23:37Z,-0.354,27.3786,-0.1617,-0.6809,29.895973,28.559,7.9858,100.902,6.756,416.6071,1279.2,0.0217,0.193,0
2018-06-21T14:23:37Z,-0.308,27.3733,-0.1536,-0.6003,29.881526,28.489,7.9138,99.99,6.898,383.7849,1256.1,0.0217,0.226,0
2018-06-21T14:23:37Z,-0.259,27.3707,1.5124,5.8586,29.811224,28.469,7.7885,98.406,7.003,405.0606,1224.5,0.0217,0.245,0
2018-06-21T14:23:37Z,-0.219,27.3696,1.4719,5.8854,29.775924,28.418,7.6403,96.537,7.091,382.3084,1208.5,0.0216,0.245,0
2018-06-21T14:23:37Z,-0.187,27.3695,1.4881,5.8854,29.658618,28.313,7.4752,94.455,7.131,379.6584,1189.8,0.0216,0.222,0
2018-06-21T14:23:37Z,-0.167,27.3707,1.5043,5.9123,29.66072,28.313,7.3045,92.302,7.126,371.4813,1163.8,0.0216,0.187,0
