Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Flag
2019-06-24T11:48:03Z,-0.6,20.8476,-0.1137,-0.3286,34.561,32.851221,7.8604,90.735,8.274,204.4344,311.55,1.9856456826814377,0.067,0
2019-06-24T11:48:03Z,-0.595,20.8254,-0.1119,-0.3336,35.436,34.131576,7.7588,90.715,8.746,199.0949,312.2,2.0400085786680107,0.112,0
2019-06-24T11:48:03Z,-0.57,20.9233,-0.0997,-0.1471,35.274,34.322876,7.6855,90.707,9.112,204.9965,339.51,2.025565101393704,0.157,0
2019-06-24T11:48:03Z,-0.511,21.626,0.1122,1.795,35.028,34.339663,7.6354,90.737,9.369,207.8187,394.76,1.9786141975254217,0.194,0
2019-06-24T11:48:03Z,-0.431,22.5626,0.5163,5.32,34.788,34.271449,7.6114,90.855,9.532,208.6963,454.93,1.9232395257602575,0.216,0
2019-06-24T11:48:03Z,-0.355,23.2119,0.746,7.2106,34.622,34.196459,7.6125,91.085,9.637,208.8964,495.69,1.8860679349595033,0.216,0
2019-06-24T11:48:03Z,-0.292,23.6854,0.7744,7.2524,34.513,34.131206,7.6282,91.377,9.708,210.0663,527.9,1.860243760223772,0.193,0
2019-06-24T11:48:03Z,-0.246,24.0615,0.834,5.8906,34.413,34.05372,7.6498,91.688,9.752,212.2584,558.23,1.8393101234747193,0.151,0
2019-06-24T11:48:03Z,-0.217,24.2936,0.9458,3.3301,34.308,33.957721,7.6735,91.992,9.777,214.4077,578.96,1.8241072784317867,0.105,0
2019-06-24T11:48:03Z,-0.202,24.4006,1.0082,1.9212,34.208,33.858999,7.6951,92.251,9.788,215.9206,588.38,1.8142486110884242,0.065,0
2019-06-24T11:48:03Z,-0.197,24.4501,1.0154,1.8006,34.162,33.812033,7.7111,92.44,9.788,216.5251,589.03,1.8097175779471897,0.037,0
2019-06-24T11:48:03Z,-0.2,24.4763,1.0338,1.8068,34.183,33.834093,7.7206,92.557,9.783,216.1249,585.49,1.8098653326568959,0.022,0
2019-06-24T11:48:03Z,-0.202,24.4879,1.0656,1.8321,34.217,33.871878,7.7222,92.588,9.779,215.2969,580.64,1.8113151846531832,0.022,0
2019-06-24T11:48:03Z,-0.199,24.4832,1.0794,1.8442,34.23,33.888113,7.7202,92.573,9.775,214.43,573.59,1.81222870720869,0.036,0
2019-06-24T11:48:03Z,-0.192,24.4804,1.0783,1.8219,34.185,33.840005,7.7232,92.6,9.77,213.9889,561.94,1.8098162149886678,0.059,0
2019-06-24T11:48:03Z,-0.177,24.4806,1.0699,1.8244,34.084,33.734439,7.7312,92.682,9.763,214.6961,540.54,1.8041471720862876,0.085,0
2019-06-24T11:48:03Z,-0.151,24.4904,1.0652,1.9077,34.04,33.690595,7.7419,92.809,9.757,214.9791,511.67,1.8012975751763411,0.11,0
2019-06-24T11:48:03Z,-0.113,24.5011,1.0734,2.0097,34.103,33.754129,7.7589,93.015,9.752,209.1511,497.79,1.8044075317739976,0.127,0
2019-06-24T11:48:03Z,-0.068,24.492,1.0729,2.0417,34.224,33.867998,7.7853,93.317,9.751,202.823,509.07,1.8115437907669414,0.137,0
2019-06-24T11:48:03Z,-0.026,24.4761,1.0688,2.0329,34.305,33.92502,7.8205,93.68,9.754,201.7912,504.42,1.8167101812809068,0.137,0
2019-06-24T11:48:03Z,0.009,24.4797,1.1106,2.0018,34.302,33.872374,7.8713,94.16,9.758,201.9245,460.33,1.816399347786073,0.125,0
2019-06-24T11:48:03Z,0.04,24.4874,1.1961,1.9274,34.299,33.802561,7.9533,94.968,9.756,201.7666,412.5,1.8159269217910645,0.102,0
2019-06-24T11:48:03Z,0.067,24.4807,1.2443,1.854,34.339,33.77891,8.0507,95.969,9.748,196.0962,379.66,1.8184334126686463,0.076,0
2019-06-24T11:48:03Z,0.086,24.4581,1.2427,1.8034,34.384,33.776714,8.1225,96.703,9.74,196.776,370.89,1.8218505343703764,0.052,0
2019-06-24T11:48:03Z,0.091,24.3777,1.2025,1.8061,34.414,33.775941,8.1636,97.113,9.733,209.2115,384.84,1.826723464284745,0.032,0
2019-06-24T11:48:03Z,0.088,24.2658,1.131,1.8214,34.426,33.769516,8.1795,97.254,9.724,211.457,383.04,1.8318549719487247,0.017,0
2019-06-24T11:48:03Z,0.084,24.1703,1.0899,1.7917,34.429,33.762475,8.164,97.042,9.714,201.2977,362.45,1.8358427795832268,0.007,0
