DateTime,Depth_m,Temp_C,Chla_ugL,Turbidity_NTU,Cond_uScm,SpCond_uScm,DO_mgL,DOsat_percent,pH,ORP_mV,PAR,Salinity,DescRate_ms ,Flag
2018-06-28T13:39:10Z,-0.111,24.0261,1.9572,1.8973,33.437,32.804806,7.6053,90.439,7.592,162.4714,518.26,0.0228,0.092,0
2018-06-28T13:39:10Z,-0.087,24.0299,1.9491,1.8839,33.437,32.779404,7.6007,90.384,7.587,167.2792,749.12,0.0228,0.083,0
2018-06-28T13:39:10Z,-0.075,24.0308,1.945,1.7899,33.522,32.882856,7.5918,90.276,7.558,171.1028,879,0.0228,0.075,0
2018-06-28T13:39:10Z,-0.07,24.0268,1.9208,1.8973,33.576,32.913292,7.5667,89.976,7.533,174.5857,862.1,0.0228,0.065,0
2018-06-28T13:39:10Z,-0.066,24.0277,2.0785,1.951,33.376,32.741527,7.5283,89.518,7.508,177.2357,893.62,0.0227,0.055,0
2018-06-28T13:39:10Z,-0.064,24.0355,2.0866,1.9107,33.265,32.622155,7.4819,88.968,7.503,179.4314,898.52,0.0227,0.049,0
2018-06-28T13:39:10Z,-0.063,24.0432,2.0542,1.9376,33.321,32.67635,7.4205,88.244,7.513,180.075,870.76,0.0227,0.043,0
2018-06-28T13:39:10Z,-0.063,24.0484,2.0866,1.9645,33.316,32.67408,7.3326,87.206,7.52,181.1729,891.32,0.0227,0.032,0
2018-06-28T13:39:10Z,-0.064,24.0517,2.1553,1.9913,33.311,32.684286,7.233,86.026,7.536,182.8007,849.97,0.0227,0.019,0
2018-06-28T13:39:10Z,-0.064,24.0514,2.1472,2.0182,33.364,32.722955,7.1059,84.516,7.545,185.4886,729.65,0.0227,0.01,0
2018-06-28T13:39:10Z,-0.065,24.0487,2.1634,1.9107,33.305,32.685262,6.9981,83.238,7.551,187.9872,674.48,0.0227,0.004,0
2018-06-28T13:39:10Z,-0.063,24.0478,2.1108,1.8436,33.362,32.731192,6.9248,82.367,7.557,188.3279,585.2,0.0227,0.002,0
2018-06-28T13:39:10Z,-0.063,24.0472,2.3494,1.9779,33.364,32.725102,6.9308,82.44,7.558,191.2429,528.95,0.0227,0.001,0
2018-06-28T13:39:10Z,-0.065,24.0458,2.3453,1.9913,33.364,32.752148,7.0207,83.511,7.56,192.265,567.22,0.0227,-0,0
2018-06-28T13:39:10Z,-0.064,24.0452,2.317,1.857,33.507,32.845804,7.1541,85.099,7.557,192.4543,653.66,0.0228,-0.001,0
2018-06-28T13:39:10Z,-0.065,24.0464,2.3332,1.9376,33.366,32.756819,7.3128,86.99,7.554,191.8107,758.4,0.0227,-0.001,0
2018-06-28T13:39:10Z,-0.065,24.0498,2.3292,1.8436,33.366,32.714619,7.4639,88.79,7.553,195.5208,842.16,0.0227,-0,0
2018-06-28T13:39:10Z,-0.064,24.0539,2.4788,1.9645,33.365,32.750051,7.6052,90.472,7.535,194.3472,880.8,0.0227,-0.001,0
2018-06-28T13:39:10Z,-0.065,24.0567,2.4828,1.8705,33.506,32.860992,7.7231,91.876,7.521,196.0508,884.24,0.0228,-0.001,0
