Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Density_mg_m3,Flag
2019-06-28T13:30:41Z,0.101,27.8824,0.1111,-0.124,310.604604,293.772,7.9183,101.076,7.573,222.8158,696.02,0.142,0.005,996.3823,0
2019-06-28T13:30:41Z,0.101,27.8904,0.1187,-0.2105,310.617668,293.712,7.9078,100.927,7.574,222.8915,698.49,0.1419,0.006,996.3794,0
2019-06-28T13:30:41Z,0.096,27.8965,0.1034,-0.2537,310.560569,293.594,7.9231,101.107,7.576,223.6108,700.68,0.1419,0.004,996.3759,0
2019-06-28T13:30:41Z,0.113,27.9097,0.134,-0.1095,310.618019,293.488,8.1522,103.741,7.581,224.2166,694.97,0.1418,0.007,996.3678,0
2019-06-28T13:30:41Z,0.132,27.9019,0.1301,-0.1528,310.547151,293.427,8.1385,103.524,7.579,223.6487,700.88,0.1418,0.021,996.3676,0
2019-06-28T13:30:41Z,0.155,27.8932,0.1607,-0.1095,310.404914,293.281,8.132,103.381,7.577,223.6108,682.19,0.1417,0.035,996.3683,0
2019-06-28T13:30:41Z,0.177,27.8819,0.1454,-0.0086,310.314497,293.273,8.1245,103.247,7.569,223.9516,585.27,0.1417,0.049,996.3706,0
2019-06-28T13:30:41Z,0.201,27.8636,0.1301,-0.2105,310.239226,293.212,8.1084,103.023,7.562,223.1944,513.8,0.1417,0.062,996.3732,0
2019-06-28T13:30:41Z,0.219,27.8366,0.0882,-0.1528,310.13822,293.223,8.0974,102.871,7.559,221.1123,506.21,0.1417,0.073,996.3765,0
2019-06-28T13:30:41Z,0.236,27.8145,0.1034,-0.023,309.899643,293.054,8.0974,102.841,7.561,219.2573,507.03,0.1416,0.079,996.3817,0
2019-06-28T13:30:41Z,0.252,27.8034,0.1263,-0.1961,309.755336,293.1,8.0956,102.774,7.561,217.6672,493.54,0.1416,0.079,996.3894,0
2019-06-28T13:30:41Z,0.267,27.7808,0.1263,-0.2537,309.897439,293.331,8.0974,102.754,7.563,217.4401,503.9,0.1418,0.077,996.3958,0
2019-06-28T13:30:41Z,0.275,27.7521,0.1034,-0.2105,309.662823,293.228,8.1091,102.842,7.563,217.3644,470.51,0.1417,0.071,996.3989,0
2019-06-28T13:30:41Z,0.277,27.7355,0.1034,-0.1672,309.266525,292.871,8.1305,103.005,7.563,217.6672,437.79,0.1415,0.062,996.4052,0
2019-06-28T13:30:41Z,0.283,27.7121,0.1263,-0.2249,309.309527,293.198,8.1538,103.17,7.568,217.7051,476.05,0.1417,0.052,996.4135,0
2019-06-28T13:30:41Z,0.295,27.6803,0.1034,-0.1816,309.008756,292.907,8.1785,103.331,7.573,217.8565,493.21,0.1415,0.044,996.4181,0
2019-06-28T13:30:41Z,0.305,27.6591,0.1187,-0.1816,308.559759,292.664,8.1979,103.421,7.582,218.008,483.06,0.1414,0.039,996.4246,0
2019-06-28T13:30:41Z,0.312,27.6485,0.1378,-0.1528,308.486924,292.735,8.2155,103.524,7.589,218.1973,479.04,0.1415,0.034,996.4336,0
2019-06-28T13:30:41Z,0.322,27.6407,0.1034,-0.1528,308.498878,292.905,8.2221,103.544,7.594,218.5758,480.02,0.1415,0.032,996.4397,0
2019-06-28T13:30:41Z,0.336,27.6249,0.1149,-0.2105,308.484909,292.912,8.2284,103.605,7.599,218.273,478.87,0.1415,0.033,996.4428,0
2019-06-28T13:30:41Z,0.352,27.6008,0.1034,-0.2249,308.384237,292.897,8.2305,103.631,7.602,218.9165,466.93,0.1415,0.038,996.445,0
2019-06-28T13:30:41Z,0.367,27.5777,0.1187,-0.2105,308.023584,292.611,8.2515,103.712,7.606,220.128,447.71,0.1414,0.044,996.4494,0
2019-06-28T13:30:41Z,0.388,27.5439,0.1263,-0.1384,307.792624,292.53,8.2855,103.787,7.611,219.6358,438.25,0.1414,0.049,996.4562,0
2019-06-28T13:30:41Z,0.409,27.4862,0.1187,-0.1672,307.410467,292.337,8.3103,103.772,7.61,220.2794,432.05,0.1413,0.055,996.4627,0
2019-06-28T13:30:41Z,0.424,27.4144,0.1263,-0.124,306.667459,291.738,8.3262,103.726,7.613,220.9608,426.33,0.141,0.061,996.4721,0
2019-06-28T13:30:41Z,0.439,27.3328,0.1378,-0.1528,306.194976,291.689,8.3238,103.509,7.617,221.8315,424.79,0.141,0.065,996.4883,0
2019-06-28T13:30:41Z,0.453,27.2481,0.134,-0.1384,305.626436,291.49,8.3262,103.403,7.621,222.4751,430.12,0.1409,0.067,996.5084,0
2019-06-28T13:30:41Z,0.461,27.1853,0.1187,-0.1816,305.033133,291.408,8.3501,103.609,7.62,222.9673,424.3,0.1408,0.064,996.5311,0
2019-06-28T13:30:41Z,0.471,27.1494,0.1263,-0.1384,304.891819,291.716,8.3645,103.729,7.626,223.5351,414.81,0.141,0.06,996.5547,0
2019-06-28T13:30:41Z,0.483,27.1423,0.1111,-0.2105,305.021933,292.237,8.3891,104.011,7.628,224.0273,413.06,0.1412,0.055,996.5724,0
2019-06-28T13:30:41Z,0.497,27.1378,0.1454,-0.0519,305.291842,292.645,8.4334,104.536,7.633,224.6708,415.41,0.1414,0.051,996.5826,0
2019-06-28T13:30:41Z,0.512,27.0399,0.1263,-0.1672,304.496026,292.047,8.4757,105.024,7.636,225.6551,421.14,0.1411,0.048,996.5844,0
2019-06-28T13:30:41Z,0.53,26.8535,0.134,-0.124,302.259262,289.741,8.5216,105.561,7.64,225.9201,415.55,0.14,0.049,996.5849,0
2019-06-28T13:30:41Z,0.546,26.679,0.153,-0.2105,300.929881,289.098,8.5546,105.946,7.643,226.5637,403.51,0.1397,0.052,996.6117,0
2019-06-28T13:30:41Z,0.567,26.548,0.1263,-0.2249,300.416507,289.658,8.5645,106.051,7.646,227.0558,409.29,0.14,0.056,996.6632,0
2019-06-28T13:30:41Z,0.588,26.4478,0.1149,-0.1384,299.746662,289.953,8.5473,105.821,7.65,227.3587,409.23,0.1401,0.062,996.7111,0
2019-06-28T13:30:41Z,0.608,26.3752,0.1187,-0.1961,299.362628,290.358,8.5161,105.42,7.654,227.8887,396.77,0.1403,0.068,996.7469,0
2019-06-28T13:30:41Z,0.63,26.3259,0.1225,-0.1672,299.063836,290.595,8.4849,105.017,7.656,228.0401,400.3,0.1404,0.072,996.7743,0
2019-06-28T13:30:41Z,0.651,26.2955,0.1568,-0.2105,298.91819,290.895,8.4394,104.439,7.658,228.2294,398.23,0.1405,0.076,996.794,0
2019-06-28T13:30:41Z,0.672,26.2823,0.1416,-0.1816,299.003862,291.227,8.4049,104.001,7.66,228.1159,395.56,0.1407,0.079,996.8075,0
2019-06-28T13:30:41Z,0.698,26.2697,0.1263,-0.1528,299.077501,291.514,8.3782,103.661,7.66,228.343,394.35,0.1408,0.082,996.8159,0
2019-06-28T13:30:41Z,0.726,26.2506,0.2103,-0.4412,299.066822,291.528,8.3546,103.357,7.663,228.5323,389.47,0.1408,0.087,996.8195,0
2019-06-28T13:30:41Z,0.749,26.2337,0.195,-0.4556,299.07726,291.657,8.3335,103.086,7.664,228.9109,385.99,0.1409,0.089,996.8231,0
2019-06-28T13:30:41Z,0.771,26.221800000000002,0.1683,-0.3835,299.064572,291.711,8.3375,103.129,7.669,228.4944,385.46,0.1409,0.091,996.8283,0
2019-06-28T13:30:41Z,0.795,26.2121,0.2103,-0.3979,299.02265,291.807,8.3181,102.881,7.669,228.9109,383.06,0.141,0.093,996.833,0
2019-06-28T13:30:41Z,0.815,26.2035,0.1683,-0.3114,298.979411,291.792,8.3087,102.757,7.673,228.4944,377.92,0.141,0.093,996.8363,0
2019-06-28T13:30:41Z,0.837,26.1956,0.1874,-0.2537,299.028382,291.93,8.3104,102.774,7.677,228.6459,378.21,0.141,0.092,996.839,0
2019-06-28T13:30:41Z,0.861,26.1869,0.1835,-0.124,298.991769,291.924,8.3265,102.967,7.679,229.1001,369.56,0.141,0.091,996.8415,0
2019-06-28T13:30:41Z,0.885,26.1791,0.195,-0.1672,298.874926,291.858,8.3391,103.121,7.681,229.1759,365.95,0.141,0.09,996.8437,0
2019-06-28T13:30:41Z,0.913,26.173,0.1988,-0.3403,298.87365,291.908,8.3449,103.191,7.686,229.4787,364.97,0.141,0.09,996.8461,0
2019-06-28T13:30:41Z,0.934,26.1677,0.1874,-0.4556,298.873322,291.952,8.329,102.991,7.687,229.138,353.4,0.141,0.091,996.8483,0
2019-06-28T13:30:41Z,0.953,26.1617,0.1683,-0.3979,298.815333,291.932,8.3176,102.847,7.693,229.2516,348.94,0.141,0.091,996.85,0
2019-06-28T13:30:41Z,0.981,26.1564,0.1874,-0.3835,298.76574,291.907,8.3153,102.815,7.695,229.0623,341.94,0.141,0.092,996.8515,0
2019-06-28T13:30:41Z,1.011,26.1529,0.1912,-0.3691,298.75496,291.941,8.3166,102.83,7.694,228.873,334.78,0.141,0.095,996.8533,0
2019-06-28T13:30:41Z,1.04,26.1483,0.2179,-0.3835,298.708703,291.917,8.3103,102.746,7.697,229.138,332.69,0.141,0.098,996.8548,0
2019-06-28T13:30:41Z,1.07,26.1444,0.1797,-0.3403,298.70326,291.935,8.2896,102.482,7.7,229.3273,325.68,0.141,0.101,996.8558,0
2019-06-28T13:30:41Z,1.101,26.1418,0.2217,-0.3114,298.701721,291.963,8.2596,102.103,7.704,229.5166,321.82,0.141,0.105,996.8573,0
2019-06-28T13:30:41Z,1.131,26.1393,0.1835,-0.0663,298.650605,291.93,8.2402,101.856,7.705,229.2516,316.38,0.141,0.109,996.8585,0
2019-06-28T13:30:41Z,1.156,26.138,0.1759,-0.2393,298.646822,291.944,8.2307,101.732,7.708,229.403,311.57,0.141,0.113,996.8592,0
2019-06-28T13:30:41Z,1.173,26.1367,0.195,-0.1961,298.646409,291.959,8.2266,101.676,7.712,229.2894,310.27,0.141,0.112,996.86,0
2019-06-28T13:30:41Z,1.199,26.1354,0.1683,-0.0951,298.651131,291.965,8.2351,101.775,7.716,229.8951,307.32,0.141,0.108,996.8604,0
2019-06-28T13:30:41Z,1.234,26.1335,0.2103,-0.1672,298.640954,291.973,8.2442,101.881,7.719,229.3273,305.72,0.141,0.107,996.8609,0
2019-06-28T13:30:41Z,1.266,26.1317,0.2103,-0.1528,298.599047,291.925,8.2596,102.067,7.719,229.7816,305.45,0.141,0.107,996.8614,0
2019-06-28T13:30:41Z,1.295,26.1309,0.1835,-0.1528,298.643258,291.991,8.2803,102.319,7.724,229.7816,305.57,0.141,0.108,996.8621,0
2019-06-28T13:30:41Z,1.324,26.1276,0.1835,-0.2393,298.585946,291.947,8.2934,102.476,7.726,229.5166,306.9,0.141,0.109,996.8627,0
2019-06-28T13:30:41Z,1.353,26.1236,0.2598,-0.1095,298.460261,291.811,8.3007,102.558,7.73,229.7059,305.74,0.141,0.111,996.863,0
2019-06-28T13:30:41Z,1.382,26.1194,0.2255,-0.1384,298.469492,291.86,8.3096,102.659,7.727,230.463,305.14,0.141,0.115,996.8641,0
2019-06-28T13:30:41Z,1.406,26.1149,0.237,-0.2105,298.484422,291.881,8.3224,102.807,7.732,229.9709,307.45,0.141,0.116,996.8652,0
2019-06-28T13:30:41Z,1.433,26.1116,0.2598,-0.124,298.471718,291.906,8.3189,102.751,7.736,230.3116,305.74,0.141,0.114,996.8665,0
2019-06-28T13:30:41Z,1.462,26.1085,0.1835,-0.2105,298.485322,291.932,8.309,102.614,7.737,230.198,306.22,0.141,0.111,996.8678,0
2019-06-28T13:30:41Z,1.493,26.1053,0.2026,-0.1528,298.467511,291.95,8.3031,102.525,7.739,230.0466,309.23,0.141,0.11,996.8688,0
2019-06-28T13:30:41Z,1.522,26.1019,0.2026,-0.1095,298.433868,291.913,8.3217,102.739,7.744,230.6901,309.49,0.141,0.11,996.8698,0
2019-06-28T13:30:41Z,1.551,26.0995,0.1568,-0.1961,298.347104,291.876,8.3409,102.958,7.747,231.0309,314.59,0.141,0.11,996.8707,0
2019-06-28T13:30:41Z,1.581,26.098,0.1721,-0.2537,298.335368,291.84,8.3641,103.227,7.749,230.2737,319.58,0.141,0.112,996.8717,0
2019-06-28T13:30:41Z,1.614,26.0951,0.1721,-0.1816,298.328422,291.909,8.3771,103.368,7.752,230.0466,319.86,0.141,0.114,996.8726,0
2019-06-28T13:30:41Z,1.642,26.0908,0.1874,-0.2105,298.17566,291.696,8.3896,103.498,7.754,230.1223,326.77,0.1409,0.117,996.873,0
2019-06-28T13:30:41Z,1.669,26.086,0.2217,-0.2105,298.165286,291.768,8.4154,103.791,7.758,230.463,327.16,0.1409,0.117,996.8739,0
2019-06-28T13:30:41Z,1.697,26.0806,0.2522,-0.124,298.101212,291.682,8.4304,103.945,7.757,230.4251,323.49,0.1409,0.116,996.8752,0
2019-06-28T13:30:41Z,1.727,26.0738,0.2598,-0.0807,298.015288,291.654,8.4314,103.919,7.763,230.6901,327.12,0.1409,0.115,996.8766,0
2019-06-28T13:30:41Z,1.749,26.0654,0.256,-0.0951,297.972077,291.629,8.4229,103.766,7.766,231.788,325.91,0.1409,0.113,996.8781,0
2019-06-28T13:30:41Z,1.769,26.0569,0.237,-0.2393,297.85485,291.557,8.4134,103.595,7.769,232.2423,323.56,0.1408,0.109,996.88,0
2019-06-28T13:30:41Z,1.794,26.0481,0.2522,-0.1961,297.801008,291.55,8.4032,103.44,7.769,232.5451,324.31,0.1408,0.104,996.8823,0
2019-06-28T13:30:41Z,1.819,26.0391,0.2408,-0.2105,297.738953,291.543,8.3826,103.159,7.771,232.6209,323.94,0.1408,0.1,996.8847,0
2019-06-28T13:30:41Z,1.843,26.0298,0.2484,-0.124,297.631954,291.483,8.3643,102.892,7.775,232.9616,322.99,0.1408,0.097,996.8871,0
2019-06-28T13:30:41Z,1.867,26.0191,0.2446,-0.124,297.513985,291.424,8.3696,102.919,7.777,233.3023,322.83,0.1408,0.095,996.8896,0
2019-06-28T13:30:41Z,1.89,26.0066,0.2598,-0.1095,297.405551,291.365,8.3939,103.189,7.78,232.8859,319.74,0.1407,0.093,996.8921,0
2019-06-28T13:30:41Z,1.916,25.9931,0.2598,-0.1384,297.34672,291.372,8.4331,103.647,7.783,233.0752,320.54,0.1407,0.093,996.8951,0
2019-06-28T13:30:41Z,1.943,25.9768,0.2598,-0.124,297.287089,291.387,8.4555,103.9,7.786,232.8859,320.65,0.1408,0.095,996.8986,0
2019-06-28T13:30:41Z,1.971,25.9565,0.2217,-0.2105,297.119628,291.299,8.4811,104.193,7.788,232.7344,316.4,0.1407,0.098,996.9022,0
2019-06-28T13:30:41Z,2.002,25.9303,0.2408,-0.1528,296.954879,291.224,8.4833,104.202,7.792,232.0151,314.13,0.1407,0.101,996.9067,0
2019-06-28T13:30:41Z,2.032,25.9027,0.2522,-0.1961,296.681782,291.092,8.475,104.084,7.797,231.4094,312.21,0.1406,0.104,996.9122,0
2019-06-28T13:30:41Z,2.059,25.8859,0.2598,-0.1528,296.439077,290.961,8.468,103.981,7.796,231.0309,312.7,0.1405,0.107,996.9192,0
