DateTime,Depth_m,Temp_C,Chla_ugL,Turbidity_NTU,Cond_uScm,SpCond_uScm,DO_mgL,DOsat_percent,pH,ORP_mV,PAR,Salinity,DescRate_ms ,Flag
2020-06-28T09:41:31Z,-0.107,23.3383,2.0204,1.6496,30.388448,31.524,6.1346,102.09,7.363,167.2956,0.12368,1.7031345989698192,0.039,0
2020-06-28T09:41:31Z,-0.099,23.3194,2.0182,1.6252,30.435654,31.574,6.1218,102.227,7.359,167.2577,0.1237,1.7067042647068098,0.042,0
2020-06-28T09:41:31Z,-0.089,23.2945,1.985,1.6111,30.462057,31.573,6.1033,102.596,7.357,167.1097,0.12374,1.7075859363235137,0.044,0
2020-06-28T09:41:31Z,-0.076,23.241,1.924,1.6506,30.453957,31.529,6.0983,103.225,7.355,167.3987,0.12371,1.7070860755355413,0.044,0
2020-06-28T09:41:31Z,-0.061,23.1707,1.8915,1.6909,30.464655,31.511,6.104,103.955,7.354,167.9994,0.12365,1.7087104521845524,0.044,0
2020-06-28T09:41:31Z,-0.049,23.1702,1.8879,1.72,30.464566,31.491,6.1109,104.515,7.354,168.1779,0.12365,1.707581919138168,0.044,0
2020-06-28T09:41:31Z,-0.039,23.2353,1.8808,1.6939,30.452909,31.469,6.1234,104.734,7.351,168.1801,0.12373,1.703863961226834,0.043,0
2020-06-28T09:41:31Z,-0.031,23.2935,1.9007,1.6505,30.45061,31.461,6.1579,104.613,7.346,168.1126,0.12375,1.7012156600115211,0.041,0
2020-06-28T09:41:31Z,-0.021,23.3397,1.9466,1.6753,30.436776,31.442,6.2034,104.227,7.341,167.7912,0.1237,1.698394861419933,0.039,0
2020-06-28T09:41:31Z,-0.011,23.371,1.9598,1.685,30.412524,31.414,6.2366,103.627,7.338,167.6506,0.12368,1.6956230026341232,0.039,0
2020-06-28T09:41:31Z,-0,23.3817,1.9451,1.6306,30.411153,31.418,6.248,102.857,7.336,168.1331,0.12368,1.695450820770895,0.04,0
2020-06-28T09:41:31Z,0.011,23.3906,1.9211,1.5326,30.420185,31.457,6.2373,102.051,7.334,168.9792,0.12365,1.6973435223085047,0.04,0
2020-06-28T09:41:31Z,0.021,23.3966,1.8901,1.4612,30.394808,31.485,6.2128,101.364,7.334,169.3631,0.12367,1.698716568599536,0.039,0
2020-06-28T09:41:31Z,0.03,23.4012,1.8747,1.4539,30.358011,31.503,6.1763,100.872,7.334,169.3321,0.12372,1.6995712121074533,0.037,0
2020-06-28T09:41:31Z,0.04,23.4067,1.8678,1.4099,30.355832,31.542,6.1273,100.716,7.333,169.121,0.12369,1.7015902626045665,0.034,0
2020-06-28T09:41:31Z,0.05,23.365,1.8734,1.3749,30.36841,31.58,6.0784,101.007,7.332,168.703,0.12362,1.7053269121630352,0.03,0
