Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Flag
2021-06-27T21:27:32Z,-0.651,27.1263,-0.8999,-0.2366,0.812,0.84336,8.1319,102.402,15.451,-431.2388,1960.7,0.04234244476155991,0.003,0
2021-06-27T21:27:32Z,-0.651,27.1265,-0.8745,-0.2917,4.165,4.31023,8.1266,102.548,15.49,-287.0121,1813.2,0.1927470880241495,0.011,0
2021-06-27T21:27:32Z,-0.651,27.122,-0.846,-0.2881,13.134,13.566816,8.1227,102.623,15.501,-215.3558,1902.3,0.6263948886990096,0.026,0
2021-06-27T21:27:32Z,-0.65,27.1251,-0.8313,-0.2271,23.432,24.160101,8.1266,102.661,15.486,-236.9012,2039.7,1.1484048189916447,0.047,0
2021-06-27T21:27:32Z,-0.641,27.107,-0.8593,-0.2406,29.402,30.25816,8.1422,102.602,15.47,-283.7196,2089.8,1.4593317769710894,0.07,0
2021-06-27T21:27:32Z,-0.617,26.9586,-0.9077,-0.2791,30.894,31.741689,8.1824,102.5,15.453,-307.5285,2121.9,1.5424335113357033,0.092,0
2021-06-27T21:27:32Z,-0.581,26.7428,-0.9205,-0.1444,30.578,31.37685,8.2116,102.43,15.434,-304.3401,2125.7,1.5326753282890664,0.111,0
2021-06-27T21:27:32Z,-0.543,26.5718,-0.8908,1.1141,29.926,30.668547,8.248,102.32,15.425,-300.7506,2122.2,1.5035580308733494,0.124,0
2021-06-27T21:27:32Z,-0.508,26.4477,-0.7303,14.5593,29.168,29.838922,8.2584,102.346,15.432,-300.8668,2132.4,1.4671906742412273,0.13,0
2021-06-27T21:27:32Z,-0.474,26.3579,-0.4575,39.1653,28.557,29.148831,8.256,102.663,15.443,-300.6687,2149.4,1.4374777783125823,0.129,0
2021-06-27T21:27:32Z,-0.442,26.2962,-0.3097,52.4911,28.203,28.731765,8.2713,103.002,15.449,-300.1618,2171.9,1.4205220048799099,0.125,0
2021-06-27T21:27:32Z,-0.412,26.2476,-0.288,52.5627,28.112,28.602234,8.2599,103.177,15.448,-297.0618,2204.1,1.4171368086269915,0.122,0
2021-06-27T21:27:32Z,-0.384,26.1546,-0.252,39.5847,28.188,28.661021,8.265,103.312,15.441,-289.7724,2230.7,1.4239739859877751,0.118,0
2021-06-27T21:27:32Z,-0.355,26.0213,-0.1998,15.5342,28.215,28.681317,8.3267,103.437,15.435,-281.7175,2234.1,1.429438349573583,0.113,0
2021-06-27T21:27:32Z,-0.322,25.9141,-0.1717,2.4092,28.13,28.593882,8.3778,103.488,15.434,-277.0208,2232.1,1.4281337794037015,0.107,0
2021-06-27T21:27:32Z,-0.292,25.856,-0.1694,1.263,28.031,28.491926,8.3904,103.567,15.438,-275.4019,2248.1,1.4245841704181395,0.101,0
2021-06-27T21:27:32Z,-0.268,25.8277,-0.172,1.195,28.004,28.463507,8.4072,103.843,15.443,-273.4149,2270.1,1.4239909934042267,0.098,0
2021-06-27T21:27:32Z,-0.25,25.8172,-0.1456,1.1396,28.045,28.504009,8.4226,104.196,15.445,-270.1178,2277.7,1.4265092836663231,0.097,0
2021-06-27T21:27:32Z,-0.23,25.8178,-0.0889,1.1087,28.14,28.601034,8.4252,104.445,15.446,-266.9408,2267.2,1.4315914130959881,0.096,0
2021-06-27T21:27:32Z,-0.205,25.817,-0.0489,1.1643,28.223,28.685112,8.4193,104.523,15.447,-264.6864,2245.5,1.4360726938883763,0.096,0
2021-06-27T21:27:32Z,-0.176,25.8141,-0.0247,1.2292,28.235,28.695946,8.4513,104.448,15.449,-262.9935,2224,1.436805278020096,0.096,0
2021-06-27T21:27:32Z,-0.147,25.8119,-0.0065,1.2399,28.211,28.668597,8.4865,104.342,15.451,-261.1843,2207.1,1.4355828720060844,0.096,0
