DateTime,Depth_m,Temp_C,Chla_ugL,Turbidity_NTU,Cond_uScm,SpCond_uScm,DO_mgL,DOsat_percent,pH,ORP_mV,PAR,Salinity,DescRate_ms ,Flag
2021-06-30T21:11:53Z,-0.108,27.5501,-0.5685,24.3535,55.911842,53.365,8.0816,105.12,15.384,-162.5833,1099.1,2.7208000503808503,0.274,0
2021-06-30T21:11:53Z,-0.02,27.4656,-0.5647,9.705,55.922126,53.39,8.1073,106.05,15.384,-159.6687,1073.9,2.7269525390236806,0.242,0
2021-06-30T21:11:53Z,0.046,27.4173,-0.5632,1.7077,55.91035,53.391,8.1499,106.709,15.383,-157.4719,953.18,2.7297539329834746,0.203,0
2021-06-30T21:11:53Z,0.085,27.3941,-0.5702,0.9938,55.89647,53.389,8.2232,107.075,15.383,-155.3813,870.68,2.730966214791613,0.158,0
2021-06-30T21:11:53Z,0.113,27.3785,-0.555,0.9353,55.88132,53.383,8.3263,107.159,15.384,-154.0086,843.95,2.731528000217383,0.109,0
2021-06-30T21:11:53Z,0.134,27.3647,-0.5126,0.9322,55.854205,53.362,8.4001,106.866,15.385,-153.4356,731.79,2.7311694836639777,0.066,0
2021-06-30T21:11:53Z,0.141,27.3529,-0.4959,0.9222,55.8227,53.337,8.4576,106.3,15.386,-152.4111,566.11,2.7304790700871684,0.036,0
2021-06-30T21:11:53Z,0.136,27.3408,-0.5054,0.9167,55.817976,53.338,8.4845,105.875,15.386,-151.1713,517.54,2.7312240724096677,0.018,0
2021-06-30T21:11:53Z,0.132,27.3319,-0.5234,0.9346,55.860602,53.382,8.4967,105.475,15.386,-149.7177,681.55,2.7341326454850594,0.009,0
2021-06-30T21:11:53Z,0.135,27.3286,-0.5507,0.9328,55.893441,53.411,8.4796,104.685,15.385,-147.4827,860.19,2.7359034250491163,0.009,0
2021-06-30T21:11:53Z,0.137,27.3245,-0.5591,0.9292,55.897431,53.412,8.407,103.437,15.385,-145.142,825.87,2.7361923218205204,0.018,0
2021-06-30T21:11:53Z,0.138,27.3164,-0.5491,0.9597,55.908859,53.426,8.3841,101.711,15.386,-143.6141,780.57,2.7374196989200765,0.028,0
2021-06-30T21:11:53Z,0.145,27.3122,-0.5526,0.9929,55.904572,53.428,8.3737,99.587,15.387,-142.69,792.26,2.7377690142482107,0.03,0
2021-06-30T21:11:53Z,0.164,27.3176,-0.5731,0.9525,55.845586,53.379,8.3022,97.257,15.387,-141.6262,713.39,2.7347851130770877,0.024,0
2021-06-30T21:11:53Z,0.184,27.3223,-0.5873,0.9183,55.767326,53.312,8.2083,94.778,15.387,-140.0436,669.39,2.7308596898111093,0.018,0
2021-06-30T21:11:53Z,0.188,27.3188,-0.5809,0.9563,55.720558,53.275,8.0701,92.489,15.388,-137.924,657.5,2.729040194986315,0.013,0
2021-06-30T21:11:53Z,0.176,27.3117,-0.5723,0.9664,55.72474,53.288,7.8919,91.115,15.388,-135.7866,555.87,2.7301551334528202,0.009,0
2021-06-30T21:11:53Z,0.162,27.3043,-0.5596,0.9365,55.754363,53.324,7.713,90.953,15.388,-134.0747,496.53,2.732543063687436,0.009,0
