Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Flag
2022-07-07T08:17:23Z,-0.114,27.8189,NA,NA,NA,NA,NA,NA,NA,NA,272.32,NA,0.181,0
2022-07-07T08:17:23Z,-0.052,27.9049,NA,NA,NA,NA,NA,NA,NA,NA,254.1,NA,0.16,0
2022-07-07T08:17:23Z,-0.007,27.9552,NA,NA,NA,NA,NA,NA,NA,NA,252.55,NA,0.135,0
2022-07-07T08:17:23Z,0.044,27.9813,0.6862,2.3753,88.144,93.434082,6.5338,83.553,8.257,172.3919,2361.8,4.611405537439467,0.012,0
2022-07-07T08:17:23Z,0.043,27.9884,0.6863,2.3381,88.155,93.446601,6.5406,83.514,8.258,172.3229,2365.3,4.611343079631639,0.024,0
2022-07-07T08:17:23Z,0.043,27.9934,0.6953,2.2743,88.161,93.458256,6.5504,83.464,8.259,173.623,2364.3,4.611201119732376,0.038,0
2022-07-07T08:17:23Z,0.053,27.9948,0.7122,2.2525,88.146,93.44783,6.5457,83.425,8.259,173.5715,2327.2,4.610224500507872,0.051,0
2022-07-07T08:17:23Z,0.075,27.9938,0.7247,2.2797,88.141,93.447725,6.5363,83.429,8.259,172.0432,2266.5,4.610038490379583,0.062,0
2022-07-07T08:17:23Z,0.102,27.9941,0.7217,2.2957,88.147,93.456991,6.5384,83.445,8.259,171.4063,2132,4.610345272855357,0.07,0
2022-07-07T08:17:23Z,0.124,27.9971,0.7333,2.3432,88.124,93.432692,6.5311,83.436,8.259,171.5494,1938.1,4.60876588701871,0.073,0
2022-07-07T08:17:23Z,0.141,28.001,0.7739,2.4786,88.107,93.40829,6.5269,83.395,8.259,171.3637,1801.5,4.607437637848134,0.072,0
2022-07-07T08:17:23Z,0.155,28.0037,0.7964,2.5316,88.127,93.416298,6.5282,83.349,8.259,171.2259,1539.7,4.6083012543907484,0.07,0
2022-07-07T08:17:23Z,0.17,28.0065,0.7814,2.5058,88.132,93.402309,6.5299,83.303,8.259,171.4326,1124.5,4.608313274508454,0.069,0
2022-07-07T08:17:23Z,0.185,28.0064,0.7752,2.5433,88.118,93.366299,6.5304,83.239,8.259,171.7116,992.17,4.607536523219685,0.071,0
2022-07-07T08:17:23Z,0.205,28.0031,0.8119,2.6083,88.133,93.362421,6.5252,83.125,8.259,171.5877,1155.3,4.608693445502396,0.072,0
2022-07-07T08:17:23Z,0.229,27.9956,0.8428,2.6431,88.141,93.355386,6.5233,83.01,8.259,171.6553,1252.3,4.609859473465281,0.073,0
2022-07-07T08:17:23Z,0.251,27.9837,0.841,2.6566,88.084,93.281217,6.5207,82.996,8.259,172.0136,1298.4,4.607797803666225,0.076,0
2022-07-07T08:17:23Z,0.268,27.9709,0.824,2.6345,87.992,93.165123,6.5193,83.063,8.26,171.9624,1327.1,4.603855709021207,0.082,0
2022-07-07T08:17:23Z,0.281,27.959,0.7943,2.5806,87.958,93.096304,6.511,83.153,8.26,172.0685,1311.2,4.603084239285048,0.087,0
2022-07-07T08:17:23Z,0.298,27.9504,0.7737,2.5522,87.993,93.084981,6.4972,83.258,8.261,172.6937,1256.6,4.6058731020789985,0.091,0
2022-07-07T08:17:23Z,0.327,27.9443,0.7666,2.5295,88.042,93.091731,6.4991,83.355,8.263,173.2412,1159.8,4.609209144295655,0.091,0
2022-07-07T08:17:23Z,0.362,27.936,0.7747,2.5114,88.085,93.114261,6.5079,83.42,8.263,173.6116,1135.4,4.612419771949171,0.088,0
2022-07-07T08:17:23Z,0.392,27.9179,0.8042,2.5379,88.079,93.102981,6.5157,83.462,8.263,174.1603,1163.2,4.613817396558482,0.083,0
2022-07-07T08:17:23Z,0.41,27.8866,0.8322,2.5772,88.007,93.018928,6.5289,83.475,8.263,174.5415,1115.3,4.612770908142368,0.075,0
2022-07-07T08:17:23Z,0.419,27.8555,0.8477,2.6104,87.942,92.924645,6.5409,83.425,8.263,174.5203,980.3,4.61209805469241,0.068,0
2022-07-07T08:17:23Z,0.427,27.8434,0.8676,2.6663,87.912,92.853237,6.547,83.338,8.264,174.5073,918.57,4.611570480314131,0.068,0
