DateTime,Depth_m,Temp_C,Chla_ugL,Turbidity_NTU,Cond_uScm,SpCond_uScm,DO_mgL,DOsat_percent,pH,ORP_mV,PAR,Salinity,DescRate_ms ,Flag
2019-07-08T09:42:19Z,-0.206,27.2277,16.5221,274.5007,35.616,37.216652,8.0791,101.732,5.78,242.1987,1206.6,0.0245,0.119,0
2019-07-08T09:42:19Z,-0.094,27.2189,16.5221,274.5439,35.617,37.203584,8.0701,101.615,5.778,242.0473,1166.2,0.0245,0.182,0
2019-07-08T09:42:19Z,-0.016,27.2026,16.5336,274.5583,35.619,37.222453,8.0639,101.533,5.781,241.5552,862.85,0.0245,0.241,0
2019-07-08T09:42:19Z,0.022,27.1877,16.5145,274.5295,35.679,37.252443,8.0566,101.438,5.784,238.943,1085.6,0.0245,0.281,0
2019-07-08T09:42:19Z,0.05,27.1816,2.0032,2.4428,35.636,37.225538,8.056,101.424,5.789,239.738,901.9,0.0245,0.297,0
2019-07-08T09:42:19Z,0.077,27.1769,1.9765,2.5004,35.701,37.255943,8.0647,101.527,5.79,239.8516,651.02,0.0245,0.286,0
2019-07-08T09:42:19Z,0.08,27.1724,2.0108,2.5149,35.704,37.273884,8.0591,101.456,5.797,239.3216,1131.1,0.0245,0.245,0
2019-07-08T09:42:19Z,0.065,27.1728,1.9765,2.4572,35.708,37.262486,8.0469,101.302,5.798,240.1923,1215.2,0.0245,0.183,0
2019-07-08T09:42:19Z,0.062,27.1763,2.0261,2.486,35.711,37.270129,8.0407,101.228,5.8,240.003,925.08,0.0245,0.117,0
2019-07-08T09:42:19Z,0.069,27.1799,2.0833,2.4139,35.711,37.264374,8.0427,101.264,5.801,238.7537,1010.6,0.0245,0.065,0
2019-07-08T09:42:19Z,0.074,27.1804,2.0451,2.4428,35.655,37.210377,8.0414,101.259,5.803,238.0723,807.24,0.0245,0.033,0
2019-07-08T09:42:19Z,0.08,27.1782,2.068,2.3707,35.652,37.218784,8.037,101.214,5.804,238.5645,755.26,0.0245,0.017,0
2019-07-08T09:42:19Z,0.089,27.1761,2.0795,2.4572,35.652,37.19464,8.0355,101.203,5.805,239.208,734.27,0.0245,0.01,0
2019-07-08T09:42:19Z,0.091,27.1742,2.1405,2.5437,35.6,37.181153,8.0414,101.283,5.806,238.8295,527.86,0.0245,0.008,0
2019-07-08T09:42:19Z,0.094,27.1709,2.1329,2.3274,35.762,37.294839,8.0455,101.339,5.809,238.5645,550.53,0.0245,0.013,0
2019-07-08T09:42:19Z,0.098,27.1679,2.1291,2.486,35.656,37.230973,8.0485,101.377,5.81,238.2237,438.54,0.0245,0.019,0
2019-07-08T09:42:19Z,0.104,27.1671,2.1253,2.4428,35.658,37.201364,8.0455,101.337,5.811,238.7159,586.52,0.0245,0.02,0
2019-07-08T09:42:19Z,0.11,27.1668,2.2473,2.4716,35.66,37.213148,8.0406,101.273,5.81,239.208,953.39,0.0245,0.02,0
2019-07-08T09:42:19Z,0.109,27.169,2.2511,2.4716,35.607,37.15704,8.0481,101.363,5.813,238.7916,1225.1,0.0245,0.017,0
2019-07-08T09:42:19Z,0.102,27.1751,2.274,2.4428,35.661,37.211918,8.0536,101.431,5.81,238.9052,953.09,0.0245,0.013,0
2019-07-08T09:42:19Z,0.099,27.1817,2.2473,2.5004,35.713,37.263394,8.0527,101.419,5.812,238.9809,577.18,0.0245,0.007,0
2019-07-08T09:42:19Z,0.103,27.1872,2.1825,2.5149,35.655,37.21152,8.054,101.44,5.809,239.473,605.71,0.0245,0.005,0
2019-07-08T09:42:19Z,0.108,27.1917,2.2092,2.4428,35.651,37.217201,8.0524,101.428,5.806,239.0566,912.79,0.0245,0.003,0
2019-07-08T09:42:19Z,0.109,27.195,2.1596,2.4716,35.701,37.256321,8.0581,101.507,5.801,239.1702,771.71,0.0245,0.002,0
2019-07-08T09:42:19Z,0.11,27.1967,2.171,2.4283,35.698,37.281374,8.0723,101.688,5.801,239.0945,345.41,0.0245,0.001,0
2019-07-08T09:42:19Z,0.111,27.1967,2.0757,2.486,35.802,37.363833,8.0895,101.9,5.8,239.6245,460.34,0.0245,0.002,0
2019-07-08T09:42:19Z,0.115,27.196,2.0451,2.4139,35.694,37.272243,8.0966,101.98,5.802,239.3973,400.53,0.0245,0.005,0
2019-07-08T09:42:19Z,0.123,27.1945,2.0871,2.4572,35.641,37.217542,8.0955,101.956,5.803,239.6245,809.39,0.0245,0.01,0
2019-07-08T09:42:19Z,0.128,27.1923,2.0566,2.486,35.748,37.313365,8.0897,101.877,5.801,239.6623,785.69,0.0245,0.013,0
2019-07-08T09:42:19Z,0.134,27.1912,2.0528,2.4572,35.696,37.271536,8.0764,101.703,5.802,239.3973,627.6,0.0245,0.014,0
2019-07-08T09:42:19Z,0.143,27.1915,2.0337,2.7167,35.697,37.2696,8.0587,101.475,5.799,239.3216,936.26,0.0245,0.017,0
2019-07-08T09:42:19Z,0.145,27.1938,2.0261,2.6879,35.751,37.315776,8.0373,101.204,5.794,240.5709,643.4,0.0245,0.02,0
2019-07-08T09:42:19Z,0.147,27.1978,2.0223,2.6735,35.698,37.273342,8.0266,101.073,5.791,239.8516,430.46,0.0245,0.021,0
2019-07-08T09:42:19Z,0.157,27.2017,1.9956,2.6014,35.696,37.263136,8.0112,100.886,5.792,239.8895,688.59,0.0245,0.022,0
