DateTime,Depth_m,Temp_C,Chla_ugL,Turbidity_NTU,Cond_uScm,SpCond_uScm,DO_mgL,DOsat_percent,pH,ORP_mV,PAR,Salinity,DescRate_ms ,Flag
2019-07-10T18:55:45Z,-0.108,28.0601,0.6184,0.8854,27.908,29.599566,6.5717,84.048,6.225,228.1537,693.66,0.0216,-0,0
2019-07-10T18:55:45Z,-0.098,28.0683,0.6032,0.7989,28.013,29.74243,6.4832,82.907,6.205,229.0623,669.06,0.0216,0.003,0
2019-07-10T18:55:45Z,-0.089,28.073,0.6337,0.871,28.194,29.911311,6.4108,81.974,6.198,230.1223,712.89,0.0217,0.009,0
2019-07-10T18:55:45Z,-0.083,28.0747,0.6108,0.8422,28.295,30.041134,6.3536,81.237,6.2,230.2359,672.94,0.0218,0.014,0
2019-07-10T18:55:45Z,-0.075,28.0792,0.6032,0.7845,28.45,30.202982,6.3223,80.834,6.205,230.0466,445.39,0.0218,0.019,0
2019-07-10T18:55:45Z,-0.066,28.0794,0.6108,0.7124,28.686,30.450514,6.3023,80.579,6.194,231.0687,471.47,0.0219,0.024,0
2019-07-10T18:55:45Z,-0.064,28.0712,0.6222,0.9575,28.788,30.562586,6.2708,80.176,6.168,231.1444,502.14,0.022,0.027,0
2019-07-10T18:55:45Z,-0.064,28.07,0.5955,0.7845,28.841,30.626389,6.2384,79.762,6.141,230.0087,489.23,0.022,0.026,0
2019-07-10T18:55:45Z,-0.052,28.0735,0.5879,0.7412,28.951,30.726619,6.2107,79.427,6.121,230.463,481,0.022,0.025,0
2019-07-10T18:55:45Z,-0.043,28.0659,0.6032,0.8133,28.899,30.674859,6.1888,79.175,6.085,230.6523,425.12,0.022,0.025,0
2019-07-10T18:55:45Z,-0.038,28.0557,0.6184,0.9431,28.844,30.631552,6.1782,79.038,6.045,229.9709,388.38,0.022,0.024,0
2019-07-10T18:55:45Z,-0.03,28.0501,0.6184,0.871,28.901,30.66201,6.1787,79.031,6.029,230.3873,417.79,0.022,0.025,0
2019-07-10T18:55:45Z,-0.027,28.0454,0.6108,0.8133,28.854,30.636957,6.1794,79.027,6.019,230.6523,531.12,0.022,0.025,0
2019-07-10T18:55:45Z,-0.029,28.0415,0.5955,0.871,28.857,30.603484,6.1885,79.137,6.021,229.7059,401.03,0.022,0.023,0
2019-07-10T18:55:45Z,-0.034,28.0392,0.607,0.8998,28.754,30.525916,6.1937,79.198,6.036,230.728,374.43,0.0219,0.019,0
2019-07-10T18:55:45Z,-0.039,28.0397,0.6299,0.8422,28.704,30.437235,6.1841,79.074,6.046,231.4851,501.6,0.0219,0.013,0
2019-07-10T18:55:45Z,-0.045,28.0398,0.6222,0.7412,28.6,30.358343,6.1558,78.716,6.045,231.8259,449.97,0.0219,0.003,0
2019-07-10T18:55:45Z,-0.05,28.0396,0.6032,0.7989,28.652,30.387095,6.1031,78.049,6.029,231.8259,421.17,0.0219,-0.005,0
2019-07-10T18:55:45Z,-0.053,28.0535,0.6184,0.871,28.652,30.401453,6.021,77.008,6.016,232.4694,419,0.0219,-0.011,0
