Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Flag
2020-07-12T21:14:04Z,-0.686,23.8911,-0.5488,1.5198,2.461,2.405654,5.4698,92.64,7.034,1238.471,112.88,0.12169410267036436,0,0
2020-07-12T21:14:04Z,-0.686,23.8889,-0.2737,3.7563,3.717,3.634763,5.4689,92.637,7.184,1220.8862,109.38,0.1833147765591041,0.003,0
2020-07-12T21:14:04Z,-0.687,23.885,-0.141,4.9826,8.63,8.447231,5.4695,92.632,7.499,1027.4527,106.16,0.4335105944493579,0.013,0
2020-07-12T21:14:04Z,-0.687,23.8839,-0.1467,5.1191,17.122,16.803084,5.4699,92.628,7.749,641.8932,108.27,0.8849856904530014,0.033,0
2020-07-12T21:14:04Z,-0.686,23.8782,-0.2182,5.2019,25.74,25.368799,5.4681,92.639,7.873,359.6444,141.77,1.3587007504591124,0.061,0
2020-07-12T21:14:04Z,-0.678,23.8799,-1.006,6.0867000000000004,31.422,31.106044,5.4692,92.65,7.982,254.6642,493.95,1.6772233853016492,0.087,0
2020-07-12T21:14:04Z,-0.647,23.8694,-2.4523,7.7138,33.233,33.018761,5.4692,92.644,8.11,220.8468,896.65,1.7800793567569628,0.106,0
2020-07-12T21:14:04Z,-0.594,23.9412,-3.2377,8.6013,33.137,33.017091,5.4611,92.633,8.251,217.741,682.8,1.7718475312487019,0.115,0
2020-07-12T21:14:04Z,-0.545,24.213,-3.2637,8.9213,32.975,32.926006,5.4345,92.631,8.386,217.5428,361.7,1.7522466770478125,0.114,0
2020-07-12T21:14:04Z,-0.515,24.4979,-2.8898,11.2733,32.861,32.869276,5.407,92.624,8.496,217.4179,443.8,1.7350519465912246,0.112,0
2020-07-12T21:14:04Z,-0.502,24.6896,-2.2267,15.4447,32.778,32.838838,5.387,92.615,8.568,216.6612,614.1,1.7232415584477037,0.118,0
2020-07-12T21:14:04Z,-0.495,24.8253,-1.8842,17.643,32.693,32.811845,5.3722,92.635,8.598,215.8786,678.92,1.7134801424269983,0.132,0
