DateTime,Depth_m,Temp_C,Chla_ugL,Turbidity_NTU,Cond_uScm,SpCond_uScm,DO_mgL,DOsat_percent,pH,ORP_mV,PAR,Salinity,DescRate_ms ,Flag
2019-07-25T04:07:05Z,-0.105,25.7275,1.7385,1.3404,27.702619,27.327,6.3508,77.833,8.547,328.4477,0.1237,1.390644950937989,0.016,0
2019-07-25T04:07:05Z,-0.1,25.7159,1.835,1.3217,27.715204,27.342,6.3548,77.872,8.534,328.7022,0.12371,1.3917934804274237,0.013,0
2019-07-25T04:07:05Z,-0.096,25.7059,2.0056,1.3032,27.703764,27.332,6.3601,77.936,8.522,328.9541,0.12376,1.3915522883631013,0.01,0
2019-07-25T04:07:05Z,-0.094,25.6931,2.094,1.2817,27.691188,27.317,6.3689,78.051,8.511,329.1701,0.12372,1.3911252439003015,0.007,0
2019-07-25T04:07:05Z,-0.094,25.6805,2.0966,1.258,27.690044,27.311,6.3818,78.22,8.499,329.1624,0.12367,1.3911757291276796,0.004,0
2019-07-25T04:07:05Z,-0.094,25.6726,2.1071,1.2788,27.689939,27.303,6.3975,78.433,8.489,329.1192,0.12368,1.3909796078743668,0.002,0
2019-07-25T04:07:05Z,-0.094,25.6736,2.1433,1.3365,27.689928,27.294,6.4145,78.664,8.479,329.1638,0.1237,1.3904662920894255,0,0
2019-07-25T04:07:05Z,-0.094,25.6793,2.1696,1.365,27.689927,27.288,6.43,78.87,8.469,329.271,0.12369,1.389975221689856,0,0
2019-07-25T04:07:05Z,-0.095,25.6851,2.1661,1.3612,27.689927,27.288,6.4425,79.025,8.46,329.4697,0.12369,1.3898037110427173,0,0
2019-07-25T04:07:05Z,-0.095,25.6999,2.1348,1.3564,27.689936,27.291,6.4499,79.11,8.452,329.6732,0.12377,1.389527403680182,0.001,0
2019-07-25T04:07:05Z,-0.095,25.7215,2.0858,1.3394,27.690031,27.293,6.4505,79.11,8.445,329.9247,0.12384,1.3889966306104387,0.001,0
2019-07-25T04:07:05Z,-0.094,25.7332,2.0597,1.3203,27.691081,27.298,6.4449,79.033,8.439,330.1878,0.12381,1.3889195182165033,0.001,0
2019-07-25T04:07:05Z,-0.093,25.7308,2.0535,1.3217,27.702617,27.313,6.4324,78.869,8.434,330.3591,0.12374,1.3897956171679948,0.002,0
2019-07-25T04:07:05Z,-0.093,25.7247,2.0537,1.3563,27.702618,27.318,6.4109,78.593,8.428,330.5336,0.12374,1.3902443331131236,0.002,0
2019-07-25T04:07:05Z,-0.093,25.7216,2.0709,1.3792,27.691092,27.31,6.3829,78.241,8.422,330.662,0.12382,1.3899064160934547,0.001,0
2019-07-25T04:07:05Z,-0.093,25.7167,2.0887,1.3354,27.690137,27.31,6.3539,77.883,8.417,330.621,0.12391,1.390051242915502,0.001,0
2019-07-25T04:07:05Z,-0.092,25.7074,2.0957,1.286,27.691071,27.309,6.3277,77.567,8.412,330.4684,0.12396,1.390272478797085,0.001,0
2019-07-25T04:07:05Z,-0.092,25.6984,2.0944,1.2735,27.702376,27.317,6.3071,77.322,8.407,330.2791,0.12392,1.3909683907126678,0.001,0
2019-07-25T04:07:05Z,-0.092,25.6905,2.098,1.2821,27.699953,27.314,6.2918,77.136,8.403,330.0532,0.12376,1.3910409682164173,0.001,0
2019-07-25T04:07:05Z,-0.092,25.6877,2.1135,1.3248,27.661773,27.279,6.2796,76.977,8.398,329.8886,0.12369,1.3892432307825655,0.001,0
2019-07-25T04:07:05Z,-0.092,25.6948,2.118,1.3633,27.6214,27.245,6.2685,76.826,8.393,329.838,0.12374,1.387206993900999,0,0
2019-07-25T04:07:05Z,-0.092,25.7021,2.1082,1.3227,27.592458,27.225,6.2565,76.658,8.388,329.7855,0.12378,1.385917491116646,-0.001,0
2019-07-25T04:07:05Z,-0.092,25.703,2.0733,1.2587,27.565593,27.206,6.2393,76.427,8.384,329.6837,0.12381,1.3848706139005196,-0.001,0
2019-07-25T04:07:05Z,-0.092,25.6967,2.0166,1.2777,27.550351,27.197,6.2134,76.094,8.382,329.5533,0.12375,1.3845728230598915,-0.001,0
2019-07-25T04:07:05Z,-0.093,25.6842,1.9862,1.3238,27.535047,27.186,6.1781,75.651,8.379,329.4131,0.12368,1.3843501308625035,0,0
2019-07-25T04:07:05Z,-0.094,25.6702,1.9832,1.3238,27.507427,27.164,6.1336,75.094,8.374,329.2798,0.12373,1.3835803950197518,0.001,0
2019-07-25T04:07:05Z,-0.093,25.6537,2.0149,1.3109,27.470176,27.135,6.0829,74.454,8.369,329.1457,0.12376,1.3825075331335246,0.002,0
2019-07-25T04:07:05Z,-0.092,25.6406,2.0747,1.3316,27.401848,27.079,6.0297,73.774,8.364,329.0818,0.12372,1.379882520142203,0.003,0
2019-07-25T04:07:05Z,-0.09,25.6363,2.0996,1.345,27.31569,27.008,5.9733,73.049,8.36,329.0237,0.12368,1.3761921494216738,0.003,0
2019-07-25T04:07:05Z,-0.089,25.6292,2.0908,1.3414,27.253181,26.961,5.9128,72.271,8.357,328.9602,0.12362,1.3738736444624553,0.002,0
2019-07-25T04:07:05Z,-0.089,25.6138,2.0283,1.354,27.217023,26.94,5.8505,71.475,8.354,329.0016,0.12361,1.373195067406055,0.001,0
2019-07-25T04:07:05Z,-0.089,25.5916,1.9256,1.366,27.195693,26.93,5.7893,70.699,8.35,329.0076,0.1237,1.3733065563202278,-0.001,0
