Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Flag
2022-08-08T07:22:36Z,-0.16,27.5269,4.024,2.9334,30.562004,29.167,5.3148,66.722,7.776,157.3721,1556,1.4344440782297039,0.042,0
2022-08-08T07:22:36Z,-0.141,27.5113,4.0218,2.9557,30.579941,29.207,5.3601,66.359,7.831,151.9128,1582.2,1.4369849135105834,0.076,0
2022-08-08T07:22:36Z,-0.115,27.4802,4.0969,2.9981,30.575551,29.222,5.3591,66.389,7.878,148.3788,1435.3,1.4386905505487817,0.101,0
2022-08-08T07:22:36Z,-0.08,27.4329,4.2416,3.0358,30.572296,29.235,5.3254,66.835,7.917,147.3378,1038.2,1.4407780414880536,0.118,0
2022-08-08T07:22:36Z,-0.041,27.3829,4.3233,3.0353,30.603943,29.282,5.2722,67.691,7.948,146.8982,892.61,1.4447210007724707,0.134,0
2022-08-08T07:22:36Z,-0.007,27.3393,4.319,2.992,30.641207,29.334,5.2429,68.828,7.972,147.1931,990.58,1.4487402907746691,0.149,0
2022-08-08T07:22:36Z,0.022,27.3056,4.3229,2.991,30.642458,29.35,5.2498,69.902,7.991,147.8057,1010.4,1.4505895724777276,0.16,0
2022-08-08T07:22:36Z,0.06,27.2802,4.3618,3.0567,30.61904,29.339,5.2862,70.567,8.001,148.283,932.08,1.4507808343904454,0.165,0
2022-08-08T07:22:36Z,0.114,27.2518,4.3899,3.0695,30.611621,29.341,5.3592,70.692,8.008,148.7478,706.5,1.4517414836324232,0.164,0
2022-08-08T07:22:36Z,0.171,27.2207,4.3793,3.0085,30.61614,29.351,5.4636,70.357,8.013,149.2097,504.6,1.4532029078183744,0.16,0
2022-08-08T07:22:36Z,0.216,27.1919,4.3587,2.9683,30.610274,29.349,5.5639,69.801,8.017,149.4795,442.42,1.4539689715304804,0.152,0
2022-08-08T07:22:36Z,0.248,27.1723,4.3411,2.9594,30.604086,29.344,5.6207,69.257,8.021,149.4295,407.92,1.4543003582109768,0.138,0
2022-08-08T07:22:36Z,0.273,27.1591,4.3241,2.9691,30.604709,29.346,5.6302,68.771,8.023,149.3792,382.67,1.4548045677279529,0.122,0
2022-08-08T07:22:36Z,0.298,27.1477,4.3199,2.9832,30.617803,29.359,5.5974,68.316,8.015,149.6457,368.73,1.4558303023993,0.107,0
2022-08-08T07:22:36Z,0.326,27.1418,4.3157,2.9593,30.635613,29.372,5.5444,67.873,7.996,150.0704,373.33,1.4566895504680843,0.092,0
2022-08-08T07:22:36Z,0.353,27.1403,4.3137,2.9191,30.629878,29.349,5.5024,67.373,7.975,150.5563,373.95,1.4555303459955764,0.077,0
2022-08-08T07:22:36Z,0.376,27.1381,4.3386,2.9406,30.611878,29.296,5.4657,66.851,7.955,150.7883,295.6,1.452821530983618,0.059,0
2022-08-08T07:22:36Z,0.392,27.1375,4.3756,3.0155,30.608214,29.256,5.4279,66.598,7.939,150.8969,189,1.4507450995229787,0.041,0
2022-08-08T07:22:36Z,0.395,27.1355,4.3858,3.0394,30.64904,29.28,5.3968,67.003,7.932,151.1813,133.28,1.4520621327699406,0.028,0
2022-08-08T07:22:36Z,0.39,27.1586,4.379,3.0237,30.725159,29.375,5.3556,68.523,7.932,151.3009,112.61,1.4563361087142186,0.02,0
2022-08-08T07:22:36Z,0.385,27.2372,4.3924,2.9972,30.767799,29.464,5.297,71.594,7.935,151.3975,103.61,1.4586071857958622,0.019,0
2022-08-08T07:22:36Z,0.39,27.3196,4.4154,2.9921,30.784152,29.526,5.2566,75.808,7.935,151.5747,101.93,1.4593459133360025,0.024,0
2022-08-08T07:22:36Z,0.402,27.3569,4.424,3.0635,30.796016,29.568,5.2779,80.033,7.934,151.6365,105.36,1.4604057380325446,0.032,0
2022-08-08T07:22:36Z,0.417,27.312,4.3966,3.0749,30.78441,29.575,5.3786,83.604,7.934,151.4555,112.41,1.4621337635676188,0.041,0
2022-08-08T07:22:36Z,0.43,27.2011,4.3421,3.0274,30.770583,29.574,5.6432,86.332,7.94,151.1079,122.16,1.4654575446274332,0.047,0
2022-08-08T07:22:36Z,0.44,27.1125,4.315,3.0368,30.755601,29.57,6.0361,88.15,7.953,151.3058,128.8,1.4679546785755762,0.052,0
2022-08-08T07:22:36Z,0.45,27.0634,4.3177,3.0517,30.730037,29.555,6.3895,89.145,7.965,152.0417,133.59,1.468671012278752,0.058,0
2022-08-08T07:22:36Z,0.462,27.0344,4.3328,3.002,30.715056,29.552,6.6797,89.459,7.971,152.6055,140.05,1.4694021498474656,0.065,0
2022-08-08T07:22:36Z,0.479,27.0147,4.3569,2.9486,30.701236,29.55,6.9038,89.246,7.973,153.0468,143.3,1.4699011314049653,0.071,0
2022-08-08T07:22:36Z,0.502,26.9979,4.3681,2.9861,30.689711,29.547,7.046,88.771,7.973,153.4194,141.37,1.470258752024312,0.076,0
2022-08-08T07:22:36Z,0.529,26.9826,4.3685,3.0456,30.702475,29.566,7.123,88.285,7.972,153.4968,136.96,1.4717268063879783,0.077,0
2022-08-08T07:22:36Z,0.551,26.9621,4.3696,3.0533,30.728766,29.596,7.1483,87.895,7.971,153.3805,133.16,1.4739344773275522,0.073,0
2022-08-08T07:22:36Z,0.569,26.941,4.3898,2.9765,30.75401,29.624,7.1253,87.637,7.972,153.389,129.23,1.4760574589538547,0.064,0
2022-08-08T07:22:36Z,0.584,26.9256,4.4213,2.8694,30.754115,29.625,7.0805,87.496,7.974,153.6861,123.76,1.4765849712563823,0.054,0
2022-08-08T07:22:36Z,0.595,26.9142,4.4253,2.8513,30.730034,29.603,7.0426,87.445,7.976,154.1346,119.8,1.4757784839594623,0.044,0
2022-08-08T07:22:36Z,0.601,26.9052,4.4216,2.8938,30.716432,29.589,7.0102,87.467,7.977,154.4221,117.22,1.4753189746121131,0.039,0
2022-08-08T07:22:36Z,0.606,26.9007,4.4343,2.9391,30.716442,29.589,6.9918,87.547,7.979,154.4961,116.21,1.475457716693798,0.036,0
2022-08-08T07:22:36Z,0.616,26.8993,4.4459,2.9906,30.73015,29.602,6.9814,87.678,7.981,154.5129,116.26,1.4761853753070686,0.036,0
2022-08-08T07:22:36Z,0.627,26.8983,4.4537,3.0375,30.755392,29.623,6.9773,87.791,7.984,154.4533,116.24,1.4773220105054403,0.038,0
2022-08-08T07:22:36Z,0.637,26.8976,4.4621,3.0279,30.768069,29.632,6.9807,87.807,7.985,154.6357,117.7,1.477817524303038,0.042,0
2022-08-08T07:22:36Z,0.647,26.8971,4.4641,3.0108,30.756639,29.619,6.9858,87.768,7.985,155.2555,118.67,1.4771481559403317,0.046,0
2022-08-08T07:22:36Z,0.658,26.8983,4.4609,3.0357,30.743979,29.607,6.9984,87.729,7.981,155.8389,117.96,1.4764789471613768,0.047,0
2022-08-08T07:22:36Z,0.671,26.9044,4.4567,3.0217,30.741788,29.607,7.011,87.679,7.976,156.0104,116.66,1.476290489038302,0.047,0
2022-08-08T07:22:36Z,0.685,26.9113,4.4641,3.0122,30.73015,29.597,7.0083,87.61,7.971,155.9529,114.25,1.4755508561421207,0.044,0
2022-08-08T07:22:36Z,0.7,26.9142,4.509,3.0577,30.730045,29.597,7.0028,87.546,7.966,156.0039,111.39,1.4754611771117419,0.039,0
2022-08-08T07:22:36Z,0.711,26.9143,4.5755,3.1282,30.740521,29.607,7.0008,87.504,7.962,156.1101,108.79,1.47598436096754,0.033,0
