Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Flag
2019-08-15T03:00:02Z,-0.616,20.451,-0.10780000000000001,-0.4824,8.577,7.890722,8.5428,95.151,7.196,310.8597,0.40969,0.46455258457457804,0.013,0
2019-08-15T03:00:02Z,-0.616,20.4574,-0.1041,-0.4252,20.449,19.142727,8.4293,95.113,7.69,288.9626,0.40536,1.1512577914687048,0.038,0
2019-08-15T03:00:02Z,-0.615,20.4473,-0.115,-0.3202,31.983,30.55809,8.2331,95.05,8.261,277.3962,0.39729,1.8460655570033058,0.075,0
2019-08-15T03:00:02Z,-0.607,20.4647,-0.1175,-0.1965,37.058,36.1173,8.045,94.985,8.708,275.8933,0.37039,2.1570246555870134,0.12,0
2019-08-15T03:00:02Z,-0.574,20.4375,-0.0302,0.6767,37.753,37.441278,7.9068,94.943,9.001,274.4045,0.33603,2.2013531145261855,0.165,0
2019-08-15T03:00:02Z,-0.509,21.0282,0.9658,10.1067,37.581,37.808023,7.8015,94.938,9.185,271.9572,0.30071,2.161118426378949,0.206,0
2019-08-15T03:00:02Z,-0.433,22.5821,2.787,27.3349,37.186,37.822951,7.7282,95.01,9.3,269.9645,0.23811,2.063147247055755,0.24,0
2019-08-15T03:00:02Z,-0.362,23.8124,3.7749,36.7301,36.715,37.622384,7.6897,95.19,9.365,268.8085,0.16294,1.9807054184456718,0.258,0
2019-08-15T03:00:02Z,-0.294,24.6033,3.8677,37.5458,36.279,37.351131,7.6806,95.494,9.394,267.8751,0.12726,1.92232297170485,0.254,0
2019-08-15T03:00:02Z,-0.227,25.3693,3.8919,36.8693,35.979,37.145979,7.6949,95.918,9.401,267.1956,0.12408,1.8742707724280536,0.231,0
2019-08-15T03:00:02Z,-0.161,25.9163,4.0144,28.5836,35.785,36.982813,7.7271,96.408,9.396,266.8741,0.12383,1.8419309350230797,0.196,0
2019-08-15T03:00:02Z,-0.107,26.2827,4.2395,13.461,35.661,36.838236,7.7688,96.888,9.386,266.5699,0.12377,1.8209699600065603,0.156,0
2019-08-15T03:00:02Z,-0.072,26.5006,4.3605,5.2679,35.645,36.794283,7.8081,97.309,9.375,266.1845,0.12371,1.8117517689909075,0.115,0
2019-08-15T03:00:02Z,-0.057,26.6504,4.3755,4.5367,35.751,36.895638,7.8362,97.64,9.363,265.6557,0.12371,1.8117358321815304,0.075,0
2019-08-15T03:00:02Z,-0.053,26.7001,4.4477,4.4563,35.946,37.111612,7.8497,97.847,9.351,265.3386,0.12376,1.8203008397403952,0.042,0
2019-08-15T03:00:02Z,-0.053,26.6451,4.5832,4.4591,36.117,37.311012,7.8547,97.965,9.339,265.5346,0.12386,1.8315905440120894,0.019,0
2019-08-15T03:00:02Z,-0.052,26.5932,4.6603,4.44,36.192,37.402396,7.8799,98.313,9.327,265.702,0.12482,1.8376250827492446,0.006,0
2019-08-15T03:00:02Z,-0.052,26.5803,4.6607,4.4216,36.235,37.454863,7.9695,99.451,9.317,265.4695,0.1257,1.8404375845239083,0.001,0
2019-08-15T03:00:02Z,-0.052,26.6107,4.6138,4.4666,36.266,37.501083,8.0945,101.046,9.308,265.0468,0.12484,1.8409272673110886,6.6052e-10,0
2019-08-15T03:00:02Z,-0.052,26.6561,4.5362,4.4923,36.262,37.516935,8.1672,102.004,9.3,264.8068,0.12391,1.8389550837741238,7.2658e-9,0
2019-08-15T03:00:02Z,-0.052,26.6697,4.502,4.4703,36.244,37.51961,8.1746,102.149,9.292,264.8903,0.12379,1.8374626340160691,7.9923e-8,0
2019-08-15T03:00:02Z,-0.052,26.6728,4.5037,4.4628,36.241,37.53346,8.1488,101.87,9.284,265.0251,0.12374,1.8371817883050892,7.6257e-8,0
2019-08-15T03:00:02Z,-0.053,26.6925,4.5388,4.467,36.252,37.557469,8.1025,101.322,9.277,264.8879,0.12373,1.8370116338507907,-3.707e-8,0
2019-08-15T03:00:02Z,-0.053,26.7246,4.6153,4.4556,36.245,37.556022,8.039,100.543,9.267,264.5216,0.12376,1.8353975261824105,-4.874e-7,0
2019-08-15T03:00:02Z,-0.053,26.7542,4.6562,4.4564,36.205,37.515973,7.9556,99.503,9.259,264.0381,0.1238,1.8321127053157729,0,0
2019-08-15T03:00:02Z,-0.053,26.7794,4.6521,4.4764,36.146,37.454093,7.856,98.256,9.253,263.5161,0.1238,1.8279830726485966,0,0
2019-08-15T03:00:02Z,-0.053,26.7973,4.61,4.5005,36.075,37.379107,7.7615,97.07,9.246,263.1134,0.12377,1.8234949816061108,-0.001,0
2019-08-15T03:00:02Z,-0.053,26.8043,4.5373,4.5188,36.067,37.371012,7.6884,96.156,9.241,262.8692,0.12375,1.8227989313683939,-0.002,0
2019-08-15T03:00:02Z,-0.053,26.8057,4.5003,4.5012,36.173,37.483157,7.6303,95.435,9.234,262.6281,0.12372,1.828420000693313,-0.004,0
2019-08-15T03:00:02Z,-0.053,26.8035,4.5016,4.4842,36.279,37.592516,7.5787,94.789,9.226,262.3497,0.1237,1.834180508298599,-0.005,0
2019-08-15T03:00:02Z,-0.055,26.7997,4.5093,4.4768,36.304,37.61419,7.5291,94.16,9.219,262.1699,0.12373,1.8356657913979502,-0.006,0
2019-08-15T03:00:02Z,-0.059,26.7991,4.6013,4.411,36.311,37.618261,7.4772,93.505,9.211,261.9175,0.12397,1.836063908935322,-0.007,0
2019-08-15T03:00:02Z,-0.061,26.806,4.7826,4.312,36.333,37.641732,7.4242,92.842,9.202,261.5346,0.12627,1.8369763611202532,-0.007,0
2019-08-15T03:00:02Z,-0.062,26.8073,4.8888,4.2634,36.333,37.644073,7.376,92.246,9.194,261.2399,0.12874,1.836926273291769,-0.006,0
2019-08-15T03:00:02Z,-0.063,26.7978,4.8968,4.2485,36.33,37.646583,7.3389,91.794,9.188,261.1937,0.12707,1.8371318025476933,-0.005,0
2019-08-15T03:00:02Z,-0.065,26.793,4.871,4.2307,36.35,37.672076,7.3292,91.684,9.181,261.406,0.12457,1.8383883706826822,-0.003,0
2019-08-15T03:00:02Z,-0.066,26.7933,4.8374,4.2117000000000004,36.373,37.698419,7.3701,92.2,9.173,261.2262,0.12407,1.8396090294263554,-0.002,0
2019-08-15T03:00:02Z,-0.065,26.7974,4.8286,4.2162,36.387,37.711201,7.464,93.371,9.166,260.5683,0.12393,1.840200725603434,-0.001,0
2019-08-15T03:00:02Z,-0.065,26.8062,4.8337,4.2513,36.379,37.699671,7.591,94.951,9.16,260.2483,0.12381,1.839432453028985,-0,0
2019-08-15T03:00:02Z,-0.065,26.8145,4.8469,4.3092,36.368,37.685947,7.7296,96.681,9.154,260.1968,0.12374,1.8385231051783215,0.001,0
2019-08-15T03:00:02Z,-0.065,26.8175,4.8669,4.3916,36.354,37.672214,7.8661,98.388,9.149,260.1175,0.12369,1.837657719827668,0.001,0
2019-08-15T03:00:02Z,-0.065,26.8137,4.8855,4.4614,36.343,37.660569,7.987,99.902,9.143,260.1494,0.12368,1.837215193380063,0.001,0
2019-08-15T03:00:02Z,-0.065,26.8076,4.906,4.4974,36.354,37.6721,8.084,101.114,9.137,259.8943,0.12369,1.8380394481667934,0.001,0
2019-08-15T03:00:02Z,-0.064,26.8053,4.925,4.4994,36.367,37.68469,8.1526,101.969,9.132,259.1845,0.12366,1.8388244252122325,0.002,0
2019-08-15T03:00:02Z,-0.064,26.8065,4.9409,4.4853,36.369,37.685844,8.1856,102.379,9.128,258.6218,0.12366,1.8388852470044563,0.002,0
