DateTime,Depth_m,Temp_C,Chla_ugL,Turbidity_NTU,Cond_uScm,SpCond_uScm,DO_mgL,DOsat_percent,pH,ORP_mV,PAR,Salinity,DescRate_ms ,Flag
2026-08-17T10:23:20Z,-0.139,26.6,0.268,0.8553,40.298,41.587859,7.0616,87.995,10.151,90.5523,854.81,12149.776502968642,0.12,0
2026-08-17T10:23:20Z,-0.096,26.5989,0.2955,0.927,40.287,41.57546,7.0599,88.078,10.155,89.8859,864.39,12141.491379491526,0.12,0
2026-08-17T10:23:20Z,-0.062,26.5981,0.3081,0.919,40.3,41.587848,7.0563,88.187,10.159,89.96,755.06,12150.897613565565,0.125,0
2026-08-17T10:23:20Z,-0.041,26.5958,0.3046,0.8952,40.323,41.61071,7.0558,88.298,10.163,90.2437,605.35,12168.762627991688,0.144,0
2026-08-17T10:23:20Z,-0.028,26.5932,0.2871,0.9127,40.312,41.598007,7.0618,88.374,10.168,90.0477,932.54,12161.14579680229,0.171,0
2026-08-17T10:23:20Z,-0.003,26.5919,0.2875,0.9929,40.279,41.561185,7.0679,88.378,10.175,89.6543,1305.7,12135.367729877185,0.196,0
2026-08-17T10:23:20Z,0.063,26.5914,0.3009,0.9776,40.267,41.5463,7.0775,88.319,10.182,89.4455,1055.6,12124.938973942235,0.216,0
2026-08-17T10:23:20Z,0.163,26.5909,0.3076,0.8987,40.268,41.544956,7.0877,88.258,10.187,89.4157,707.38,12124.263408065019,0.221,0
2026-08-17T10:23:20Z,0.247,26.5894,0.3021,0.8922,40.268,41.54494,7.0951,88.213,10.193,89.4657,593.63,12125.140627742878,0.206,0
2026-08-17T10:23:20Z,0.299,26.5855,0.2923,0.8995,40.269,41.546102,7.0965,88.159,10.198,89.4483,541.07,12128.295569875901,0.171,0
2026-08-17T10:23:20Z,0.329,26.5814,0.3054,0.953,40.281,41.559002,7.0889,88.111,10.203,89.4629,528.49,12140.03144986405,0.122,0
2026-08-17T10:23:20Z,0.339,26.5792,0.3191,0.9245,40.295,41.573984,7.0843,88.092,10.207,89.6422,532.45,12152.14704918658,0.074,0
2026-08-17T10:23:20Z,0.337,26.5785,0.2999,0.7936,40.319,41.600316,7.0825,88.101,10.21,89.9818,653.12,12171.57174458289,0.043,0
2026-08-17T10:23:20Z,0.338,26.5789,0.2729,0.7702,40.34,41.62351,7.077,88.127,10.213,90.4711,776.68,12188.090070291777,0.026,0
2026-08-17T10:23:20Z,0.344,26.5795,0.2841,0.8468,40.316,41.600554,7.072,88.154,10.216,90.9125,661.82,12171.1461784179,0.016,0
2026-08-17T10:23:20Z,0.353,26.5802,0.3105,0.9351,40.292,41.576626,7.0708,88.167,10.22,91.1887,594.34,12153.45659115954,0.009,0
2026-08-17T10:23:20Z,0.361,26.5819,0.3015,0.9151,40.302,41.588071,7.0716,88.173,10.223,91.4879,661.98,12160.701220410976,0.003,0
2026-08-17T10:23:20Z,0.363,26.5844,0.2746,0.8095,40.325,41.612,7.0738,88.183,10.226,91.9489,599.03,12176.485497561403,-0.004,0
2026-08-17T10:23:20Z,0.356,26.587,0.2596,0.785,40.324,41.612086,7.0763,88.2,10.228,92.4614,539.6,12174.995068970102,-0.009,0
2026-08-17T10:23:20Z,0.343,26.5887,0.2705,0.8581,40.3,41.58911,7.0768,88.216,10.231,92.7796,608.8,12157.39616095467,-0.011,0
2026-08-17T10:23:20Z,0.335,26.5892,0.3057,0.9768,40.297,41.588069,7.0769,88.224,10.234,92.9572,880.18,12156.34735311643,-0.008,0
2026-08-17T10:23:20Z,0.335,26.5894,0.3116,0.9904,40.306,41.599504,7.0775,88.244,10.237,93.2326,1071.6,12164.4795296178,-0.003,0
2026-08-17T10:23:20Z,0.341,26.5905,0.2751,0.852,40.304,41.600439,7.0787,88.256,10.24,93.5271,793.29,12164.497748549773,0.003,0
2026-08-17T10:23:20Z,0.347,26.5927,0.2551,0.737,40.301,41.599381,7.0809,88.228,10.243,93.7655,517.41,12162.421508149015,0.01,0
2026-08-17T10:23:20Z,0.35,26.5956,0.27,0.7965,40.286,41.586706,7.0792,88.184,10.245,94.0499,556.82,12151.548558100134,0.015,0
2026-08-17T10:23:20Z,0.35,26.5989,0.2972,0.9556,40.272,41.574126,7.0814,88.166,10.247,94.2121,611.62,12140.513494776345,0.02,0
2026-08-17T10:23:20Z,0.351,26.6017,0.3088,0.9534,40.272,41.574221,7.0839,88.179,10.251,94.1775,588.16,12138.915220187355,0.024,0
2026-08-17T10:23:20Z,0.358,26.6048,0.2938,0.8035,40.286,41.58785,7.0799,88.213,10.255,94.2346,605.52,12146.892165475172,0.028,0
2026-08-17T10:23:20Z,0.371,26.6079,0.2741,0.7498,40.311,41.611978,7.0742,88.273,10.258,94.3006,647.15,12162.443620043565,0.032,0
2026-08-17T10:23:20Z,0.384,26.61,0.2876,0.8502,40.312,41.612081,7.0725,88.352,10.26,94.2867,712.12,12161.265081965934,0.033,0
2026-08-17T10:23:20Z,0.394,26.6101,0.3315,0.958,40.291,41.589099,7.0748,88.445,10.263,94.3252,728.09,12144.6347130344,0.032,0
