DateTime,Depth_m,Temp_C,Chla_ugL,Turbidity_NTU,Cond_uScm,SpCond_uScm,DO_mgL,DOsat_percent,pH,ORP_mV,PAR,Salinity,DescRate_ms ,Flag
2025-09-22T12:12:42Z,-0.101,22.2745,1.6331,6.6671,37.933995,40.115,10.3279,118.546,11.322,84.3476,339.08,2.2514608518312036,0.008,0
2025-09-22T12:12:42Z,-0.1,22.2756,1.6334,6.599,37.951727,40.134,10.3269,118.536,11.325,84.3486,338.45,2.252537303194393,0.013,0
2025-09-22T12:12:42Z,-0.099,22.2767,1.6058,6.5023,37.982663,40.167,10.3133,118.596,11.327,84.31,338.35,2.2544480373180185,0.019,0
2025-09-22T12:12:42Z,-0.094,22.2768,1.5983,6.5576,37.990762,40.174,10.309,118.732,11.329,84.3108,335.95,2.254860011730978,0.024,0
2025-09-22T12:12:42Z,-0.086,22.2759,1.6178,6.7543,37.986198,40.168,10.3103,118.883,11.331,84.1861,321.75,2.2545478754006107,0.029,0
2025-09-22T12:12:42Z,-0.074,22.2756,1.6421,6.8651,37.990937,40.171,10.3046,119.005,11.333,83.8352,293.27,2.2547415732598797,0.03,0
2025-09-22T12:12:42Z,-0.063,22.2763,1.6339,6.8041,37.984601,40.164,10.3103,119.074,11.334,83.5092,266.53,2.2542886350664713,0.029,0
2025-09-22T12:12:42Z,-0.054,22.277,1.6021,6.7691,37.973056,40.152,10.3246,119.063,11.336,83.3421,249.14,2.2535378169967633,0.028,0
2025-09-22T12:12:42Z,-0.049,22.2787,1.5731,6.8517,37.978258,40.158,10.3387,118.949,11.336,83.3637,238.09,2.253809083910213,0.027,0
2025-09-22T12:12:42Z,-0.047,22.2814,1.5582,6.9145,37.984041,40.164,10.3489,118.754,11.337,83.4264,227.09,2.254029738338142,0.024,0
2025-09-22T12:12:42Z,-0.042,22.2824,1.5723,6.9138,37.979521,40.159,10.3559,118.529,11.339,83.2402,214.43,2.2536810330631893,0.024,0
2025-09-22T12:12:42Z,-0.034,22.2814,1.5857,6.7744,37.987056,40.167,10.3561,118.33,11.342,82.9194,209.29,2.2542081989589167,0.028,0
2025-09-22T12:12:42Z,-0.025,22.2804,1.5957,6.5956,38.011701,40.194,10.3458,118.195,11.345,83.6771,211.09,2.255867504271947,0.038,0
2025-09-22T12:12:42Z,-0.019,22.2805,1.6187,6.5957,38.023664,40.208,10.3265,118.091,11.349,95.1543,213.81,2.2566965718879923,0.051,0
2025-09-22T12:12:42Z,-0.011,22.2807,1.6379,6.6736,38.004779,40.189,10.3057,117.999,11.355,107.5159,216.97,2.2555541183698904,0.062,0
2025-09-22T12:12:42Z,0.007,22.2808,1.6365,6.6499,37.973742,40.156,10.2863,117.999,11.36,100.0368,217.47,2.2535822692224423,0.07,0
2025-09-22T12:12:42Z,0.035,22.2799,1.6104,6.5143,37.965672,40.149,10.2761,118.107,11.361,89.1299,212.7,2.2532099750074472,0.075,0
2025-09-22T12:12:42Z,0.063,22.2785,1.6045,6.4685,37.970665,40.156,10.2705,118.251,11.36,86.9769,203.29,2.253697296782184,0.077,0
2025-09-22T12:12:42Z,0.083,22.2783,1.6315,6.608,37.970656,40.157,10.2567,118.396,11.36,86.1354,191.66,2.2537665804587754,0.075,0
2025-09-22T12:12:42Z,0.098,22.2781,1.6455,6.7321,37.965559,40.153,10.2565,118.508,11.36,85.667,181.51,2.2535380215367993,0.067,0
2025-09-22T12:12:42Z,0.113,22.2764,1.6331,6.6712,37.972485,40.162,10.2706,118.59,11.36,85.4433,173.59,2.254160159206579,0.055,0
2025-09-22T12:12:42Z,0.128,22.2735,1.6066,6.5204,37.990946,40.182,10.2831,118.715,11.36,85.1511,167.73,2.2554987517275698,0.042,0
2025-09-22T12:12:42Z,0.14,22.272,1.6,6.5139,37.998398,40.19,10.2976,118.916,11.361,84.8877,165.53,2.256051306184055,0.03,0
2025-09-22T12:12:42Z,0.146,22.271,1.6191,6.6278,37.999127,40.19,10.3088,119.199,11.362,84.8389,167.1,2.256101879852931,0.02,0
2025-09-22T12:12:42Z,0.147,22.2693,1.5967,6.6334,37.99976,40.191,10.3115,119.541,11.361,84.8194,170.37,2.256247805192661,0.013,0
2025-09-22T12:12:42Z,0.144,22.2684,1.5381,6.5471,38.00606,40.197,10.3228,119.905,11.361,84.738,174.97,2.2566512147864426,0.01,0
2025-09-22T12:12:42Z,0.142,22.2683,1.5174,6.4732,38.011838,40.203,10.3398,120.228,11.362,84.6305,179.32,2.2570140039086324,0.012,0
2025-09-22T12:12:42Z,0.143,22.2684,1.5377,6.4914,38.00617,40.198,10.3647,120.397,11.363,84.5518,180.6,2.2567108454919684,0.017,0
2025-09-22T12:12:42Z,0.15,22.2688,1.5839,6.5956,38.000979,40.193,10.3969,120.389,11.364,84.56,178.43,2.2563923664025207,0.021,0
